Category,Confirmed case,Year
April-13,1.00,2020
April-14,1.00,2020
April-18,1.00,2020
April-29,1.00,2020
May-10,1.00,2020
May-15,1.00,2020
May-16,1.00,2020
May-18,1.00,2020
May-20,1.00,2020
May-22,5.00,2020
May-24,1.00,2020
May-29,4.00,2020
May-31,2.00,2020
June-01,3.00,2020
June-03,5.00,2020
June-05,2.00,2020
June-06,1.00,2020
June-07,1.00,2020
June-08,5.00,2020
June-09,4.00,2020
June-10,2.00,2020
June-12,15.00,2020
June-13,10.00,2020
June-14,3.00,2020
June-15,10.00,2020
June-17,18.00,2020
June-18,1.00,2020
June-19,3.00,2020
June-20,6.00,2020
June-21,2.00,2020
June-22,10.00,2020
June-23,12.00,2020
June-24,5.00,2020
June-25,9.00,2020
June-26,14.00,2020
June-27,3.00,2020
June-28,24.00,2020
June-29,8.00,2020
June-30,1.00,2020
July-01,7.00,2020
July-02,2.00,2020
July-03,13.00,2020
July-04,14.00,2020
July-05,5.00,2020
July-06,3.00,2020
July-07,15.00,2020
July-08,25.00,2020
July-09,31.00,2020
July-10,8.00,2020
July-11,10.00,2020
July-12,26.00,2020
July-13,13.00,2020
July-14,21.00,2020
July-15,6.00,2020
July-16,2.00,2020
July-17,12.00,2020
July-18,29.00,2020
July-19,6.00,2020
July-20,17.00,2020
July-21,39.00,2020
July-22,23.00,2020
July-23,33.00,2020
July-24,9.00,2020
July-25,13.00,2020
July-26,8.00,2020
July-27,8.00,2020
July-28,23.00,2020
July-29,3.00,2020
July-30,5.00,2020
July-31,11.00,2020
August-01,7.00,2020
August-02,20.00,2020
August-03,2.00,2020
August-04,5.00,2020
August-05,7.00,2020
August-06,44.00,2020
August-07,20.00,2020
August-08,28.00,2020
August-09,8.00,2020
August-10,3.00,2020
August-11,8.00,2020
August-12,16.00,2020
August-13,35.00,2020
August-14,4.00,2020
August-15,15.00,2020
August-16,5.00,2020
August-17,7.00,2020
August-18,15.00,2020
August-19,4.00,2020
August-20,22.00,2020
August-21,34.00,2020
August-22,17.00,2020
August-23,5.00,2020
August-24,1.00,2020
August-25,9.00,2020
August-26,8.00,2020
August-27,8.00,2020
August-28,11.00,2020
August-29,4.00,2020
August-30,11.00,2020
August-31,10.00,2020
September-01,1.00,2020
September-02,11.00,2020
September-03,6.00,2020
September-04,13.00,2020
September-05,5.00,2020
September-06,4.00,2020
September-07,2.00,2020
September-08,1.00,2020
September-09,10.00,2020
September-10,13.00,2020
