Category,Confirmed case,Year
April-15,1.00,2020
April-16,1.00,2020
April-21,3.00,2020
April-27,2.00,2020
April-29,1.00,2020
April-30,2.00,2020
May-16,1.00,2020
May-17,1.00,2020
May-20,1.00,2020
May-22,1.00,2020
May-25,2.00,2020
May-27,4.00,2020
May-28,2.00,2020
May-29,2.00,2020
May-30,2.00,2020
May-31,3.00,2020
June-03,2.00,2020
June-06,8.00,2020
June-07,1.00,2020
June-08,14.00,2020
June-09,10.00,2020
June-10,6.00,2020
June-11,1.00,2020
June-12,2.00,2020
June-13,6.00,2020
June-14,4.00,2020
June-16,8.00,2020
June-17,16.00,2020
June-18,30.00,2020
June-19,30.00,2020
June-20,19.00,2020
June-21,6.00,2020
June-22,39.00,2020
June-23,38.00,2020
June-24,8.00,2020
June-25,22.00,2020
June-26,35.00,2020
June-27,18.00,2020
June-28,20.00,2020
June-29,6.00,2020
June-30,37.00,2020
July-01,18.00,2020
July-02,14.00,2020
July-03,10.00,2020
July-04,4.00,2020
July-05,5.00,2020
July-06,8.00,2020
July-07,19.00,2020
July-08,10.00,2020
July-09,2.00,2020
July-10,13.00,2020
July-11,3.00,2020
July-12,11.00,2020
July-13,9.00,2020
July-14,5.00,2020
July-16,9.00,2020
July-17,5.00,2020
July-18,2.00,2020
July-19,1.00,2020
July-20,1.00,2020
July-21,9.00,2020
July-22,3.00,2020
July-23,3.00,2020
July-24,3.00,2020
July-25,5.00,2020
July-27,3.00,2020
July-28,4.00,2020
July-29,6.00,2020
July-30,2.00,2020
July-31,10.00,2020
August-03,4.00,2020
August-04,6.00,2020
August-05,18.00,2020
August-06,5.00,2020
August-07,7.00,2020
August-08,2.00,2020
August-09,9.00,2020
August-10,2.00,2020
August-11,9.00,2020
August-12,2.00,2020
August-13,6.00,2020
August-14,7.00,2020
August-15,6.00,2020
August-16,5.00,2020
August-17,9.00,2020
August-18,2.00,2020
August-19,4.00,2020
August-20,9.00,2020
August-21,1.00,2020
August-22,2.00,2020
August-23,5.00,2020
August-24,12.00,2020
August-25,5.00,2020
August-26,2.00,2020
August-27,3.00,2020
August-28,5.00,2020
August-29,10.00,2020
August-31,4.00,2020
September-01,3.00,2020
September-02,7.00,2020
September-03,9.00,2020
September-04,3.00,2020
September-05,2.00,2020
September-06,1.00,2020
September-07,2.00,2020
September-08,5.00,2020
September-09,4.00,2020
September-11,12.00,2020
September-12,9.00,2020
September-13,8.00,2020
September-14,6.00,2020
September-15,4.00,2020
September-18,7.00,2020
September-19,1.00,2020
September-20,2.00,2020
September-21,9.00,2020
September-22,1.00,2020
September-23,4.00,2020
September-24,3.00,2020
September-25,7.00,2020
September-26,1.00,2020
September-27,1.00,2020
September-30,5.00,2020
October-02,3.00,2020
October-03,5.00,2020
October-04,1.00,2020
October-05,1.00,2020
October-06,1.00,2020
October-09,2.00,2020
October-10,1.00,2020
October-13,2.00,2020
October-14,2.00,2020
October-16,2.00,2020
October-17,3.00,2020
October-18,5.00,2020
October-20,1.00,2020
October-21,3.00,2020
October-24,3.00,2020
October-27,1.00,2020
October-28,4.00,2020
November-01,1.00,2020
November-02,1.00,2020
November-05,3.00,2020
November-07,1.00,2020
November-08,9.00,2020
November-10,1.00,2020
November-11,8.00,2020
November-17,3.00,2020
November-18,2.00,2020
November-19,1.00,2020
November-20,1.00,2020
November-21,3.00,2020
November-23,1.00,2020
November-25,3.00,2020
November-26,2.00,2020
November-27,9.00,2020
November-28,1.00,2020
November-30,3.00,2020
December-05,1.00,2020
December-07,1.00,2020
December-09,1.00,2020
December-10,15.00,2020
December-13,1.00,2020
December-14,8.00,2020
December-15,1.00,2020
December-16,3.00,2020
December-17,1.00,2020
December-18,3.00,2020
December-20,1.00,2020
December-21,5.00,2020
December-22,3.00,2020
December-23,5.00,2020
December-27,2.00,2020
December-29,1.00,2020
January-02,3.00,2021
January-04,6.00,2021
January-06,2.00,2021
January-09,1.00,2021
January-12,2.00,2021
January-22,1.00,2021
January-24,1.00,2021
January-31,2.00,2021
