Category,Confirmed case,Year
April-11,1.00,2020
April-12,2.00,2020
April-14,1.00,2020
April-15,1.00,2020
April-16,2.00,2020
April-17,6.00,2020
April-18,2.00,2020
April-20,4.00,2020
April-21,4.00,2020
April-22,1.00,2020
April-23,3.00,2020
April-24,9.00,2020
April-25,5.00,2020
April-30,1.00,2020
May-01,1.00,2020
May-02,3.00,2020
May-04,1.00,2020
May-08,2.00,2020
May-09,2.00,2020
May-17,2.00,2020
May-19,8.00,2020
May-23,1.00,2020
May-24,4.00,2020
May-29,12.00,2020
May-30,1.00,2020
May-31,3.00,2020
June-01,4.00,2020
June-03,6.00,2020
June-04,2.00,2020
June-08,2.00,2020
June-09,14.00,2020
June-10,4.00,2020
June-12,7.00,2020
June-13,14.00,2020
June-14,13.00,2020
June-15,1.00,2020
June-16,10.00,2020
June-17,4.00,2020
June-18,2.00,2020
June-19,8.00,2020
June-20,8.00,2020
June-22,1.00,2020
June-23,7.00,2020
June-24,16.00,2020
June-25,2.00,2020
June-26,7.00,2020
June-27,26.00,2020
June-28,9.00,2020
June-29,19.00,2020
June-30,4.00,2020
July-01,6.00,2020
July-02,11.00,2020
July-03,18.00,2020
July-04,22.00,2020
July-06,21.00,2020
July-07,25.00,2020
July-08,9.00,2020
July-09,12.00,2020
July-10,6.00,2020
July-11,15.00,2020
July-12,16.00,2020
July-13,9.00,2020
July-14,16.00,2020
July-15,10.00,2020
July-16,14.00,2020
July-17,17.00,2020
July-18,37.00,2020
July-19,23.00,2020
July-20,1.00,2020
July-21,24.00,2020
July-22,14.00,2020
July-23,14.00,2020
July-24,22.00,2020
July-25,12.00,2020
July-26,10.00,2020
July-27,13.00,2020
July-28,10.00,2020
July-29,12.00,2020
July-30,12.00,2020
July-31,15.00,2020
August-01,4.00,2020
August-02,1.00,2020
August-03,2.00,2020
August-04,17.00,2020
August-05,15.00,2020
August-06,2.00,2020
August-07,14.00,2020
August-08,3.00,2020
August-09,16.00,2020
August-10,8.00,2020
August-11,1.00,2020
August-12,22.00,2020
August-13,10.00,2020
August-14,3.00,2020
August-15,8.00,2020
August-16,8.00,2020
August-17,5.00,2020
August-18,17.00,2020
August-19,11.00,2020
August-20,4.00,2020
August-21,3.00,2020
August-22,7.00,2020
August-23,2.00,2020
August-24,12.00,2020
August-25,11.00,2020
August-26,10.00,2020
August-27,8.00,2020
August-28,8.00,2020
August-29,3.00,2020
August-30,8.00,2020
September-01,7.00,2020
September-02,1.00,2020
September-03,5.00,2020
September-04,1.00,2020
September-05,4.00,2020
September-06,8.00,2020
September-07,2.00,2020
September-08,3.00,2020
September-09,3.00,2020
September-10,2.00,2020
September-11,2.00,2020
September-12,4.00,2020
September-13,2.00,2020
September-14,5.00,2020
September-15,1.00,2020
September-17,1.00,2020
September-18,4.00,2020
September-19,3.00,2020
September-20,3.00,2020
September-21,1.00,2020
September-23,5.00,2020
September-24,3.00,2020
September-25,2.00,2020
September-26,1.00,2020
September-28,1.00,2020
September-29,1.00,2020
September-30,2.00,2020
October-02,1.00,2020
October-03,1.00,2020
October-04,1.00,2020
October-05,1.00,2020
October-06,1.00,2020
October-07,1.00,2020
October-08,3.00,2020
October-10,1.00,2020
October-11,1.00,2020
October-12,1.00,2020
October-13,5.00,2020
October-15,1.00,2020
October-16,1.00,2020
October-17,1.00,2020
October-18,3.00,2020
October-19,1.00,2020
October-20,3.00,2020
October-21,2.00,2020
October-22,3.00,2020
October-23,1.00,2020
October-24,3.00,2020
October-25,2.00,2020
October-27,1.00,2020
October-28,2.00,2020
October-29,1.00,2020
October-30,1.00,2020
November-01,3.00,2020
November-03,2.00,2020
November-04,7.00,2020
November-05,1.00,2020
November-06,5.00,2020
November-07,4.00,2020
November-08,4.00,2020
November-10,7.00,2020
November-11,4.00,2020
November-12,4.00,2020
November-13,3.00,2020
November-15,7.00,2020
November-16,1.00,2020
November-17,3.00,2020
November-18,4.00,2020
November-19,1.00,2020
November-20,2.00,2020
November-21,1.00,2020
November-22,7.00,2020
November-24,1.00,2020
November-25,3.00,2020
November-26,8.00,2020
November-27,2.00,2020
November-28,6.00,2020
November-30,1.00,2020
December-01,2.00,2020
December-02,3.00,2020
December-04,5.00,2020
December-07,1.00,2020
December-08,2.00,2020
December-09,1.00,2020
December-10,2.00,2020
December-11,1.00,2020
December-12,1.00,2020
December-13,2.00,2020
December-14,1.00,2020
December-15,1.00,2020
December-16,1.00,2020
December-18,2.00,2020
December-19,4.00,2020
December-23,1.00,2020
December-25,1.00,2020
December-29,1.00,2020
December-30,1.00,2020
December-31,7.00,2020
January-01,1.00,2021
January-02,1.00,2021
January-05,1.00,2021
January-08,1.00,2021
January-09,2.00,2021
January-12,2.00,2021
January-13,1.00,2021
January-14,1.00,2021
January-21,1.00,2021
January-24,1.00,2021
January-26,1.00,2021
January-29,3.00,2021
February-02,1.00,2021
February-06,1.00,2021
February-11,1.00,2021
February-15,1.00,2021
February-25,1.00,2021
March-01,1.00,2021
March-04,1.00,2021
March-07,2.00,2021
March-11,1.00,2021
March-14,1.00,2021
March-15,1.00,2021
March-17,4.00,2021
March-18,5.00,2021
March-19,1.00,2021
March-21,2.00,2021
March-22,1.00,2021
March-23,3.00,2021
March-24,6.00,2021
March-25,1.00,2021
March-26,1.00,2021
March-27,4.00,2021
March-28,5.00,2021
March-29,3.00,2021
March-30,4.00,2021
March-31,6.00,2021
April-01,9.00,2021
April-02,13.00,2021
April-03,10.00,2021
April-04,9.00,2021
April-05,5.00,2021
April-06,3.00,2021
April-07,13.00,2021
April-08,15.00,2021
April-09,3.00,2021
April-10,1.00,2021
April-11,4.00,2021
April-12,2.00,2021
April-13,3.00,2021
April-14,2.00,2021
April-15,3.00,2021
April-16,17.00,2021
April-17,3.00,2021
April-18,7.00,2021
April-19,2.00,2021
April-20,2.00,2021
April-21,8.00,2021
April-22,10.00,2021
April-23,1.00,2021
April-25,3.00,2021
April-26,1.00,2021
April-27,4.00,2021
April-28,2.00,2021
April-30,1.00,2021
May-01,3.00,2021
May-02,4.00,2021
May-03,4.00,2021
May-04,2.00,2021
May-05,4.00,2021
May-06,2.00,2021
May-07,1.00,2021
May-08,1.00,2021
May-09,2.00,2021
May-10,2.00,2021
May-11,1.00,2021
May-12,1.00,2021
May-13,1.00,2021
May-19,1.00,2021
May-20,1.00,2021
May-21,1.00,2021
May-23,1.00,2021
May-24,2.00,2021
May-27,4.00,2021
May-28,1.00,2021
May-29,4.00,2021
May-30,2.00,2021
May-31,7.00,2021
June-01,1.00,2021
June-02,6.00,2021
June-03,7.00,2021
June-04,4.00,2021
June-05,3.00,2021
June-06,3.00,2021
June-07,5.00,2021
June-08,1.00,2021
June-09,2.00,2021
June-10,3.00,2021
June-11,1.00,2021
June-12,1.00,2021
June-13,4.00,2021
June-14,1.00,2021
June-15,2.00,2021
June-17,2.00,2021
June-18,2.00,2021
June-19,6.00,2021
June-20,1.00,2021
June-21,15.00,2021
June-22,8.00,2021
June-23,2.00,2021
June-24,3.00,2021
June-25,9.00,2021
June-26,14.00,2021
June-27,7.00,2021
June-28,9.00,2021
June-29,11.00,2021
June-30,3.00,2021
July-01,8.00,2021
July-02,2.00,2021
July-03,7.00,2021
July-04,1.00,2021
July-05,25.00,2021
July-06,8.00,2021
July-07,7.00,2021
July-08,13.00,2021
July-09,16.00,2021
July-10,12.00,2021
July-11,6.00,2021
July-12,5.00,2021
July-13,12.00,2021
July-14,5.00,2021
July-15,9.00,2021
July-16,13.00,2021
July-17,9.00,2021
July-18,9.00,2021
July-19,27.00,2021
July-20,9.00,2021
July-21,8.00,2021
July-22,5.00,2021
July-23,2.00,2021
July-24,12.00,2021
July-25,6.00,2021
July-26,9.00,2021
July-27,15.00,2021
July-28,2.00,2021
July-29,19.00,2021
July-30,2.00,2021
July-31,6.00,2021
August-01,11.00,2021
August-02,6.00,2021
August-03,3.00,2021
August-04,5.00,2021
August-05,7.00,2021
August-06,1.00,2021
August-07,7.00,2021
August-08,3.00,2021
August-09,39.00,2021
August-10,3.00,2021
August-11,2.00,2021
August-12,4.00,2021
August-13,18.00,2021
August-14,4.00,2021
August-15,2.00,2021
August-16,5.00,2021
August-17,2.00,2021
August-18,4.00,2021
August-19,8.00,2021
August-20,41.00,2021
August-21,1.00,2021
August-22,5.00,2021
August-23,7.00,2021
August-24,1.00,2021
August-25,1.00,2021
August-26,4.00,2021
August-27,3.00,2021
August-28,7.00,2021
August-29,4.00,2021
August-31,4.00,2021
September-01,3.00,2021
September-02,5.00,2021
September-03,1.00,2021
September-04,2.00,2021
September-05,6.00,2021
September-06,3.00,2021
September-07,1.00,2021
September-08,3.00,2021
September-09,1.00,2021
September-10,4.00,2021
September-11,1.00,2021
September-12,1.00,2021
September-13,1.00,2021
September-15,1.00,2021
September-16,2.00,2021
September-17,2.00,2021
September-19,4.00,2021
September-22,3.00,2021
September-23,1.00,2021
September-24,2.00,2021
September-25,1.00,2021
September-26,1.00,2021
September-28,13.00,2021
September-29,1.00,2021
October-03,2.00,2021
October-04,1.00,2021
October-06,16.00,2021
October-08,1.00,2021
October-10,5.00,2021
October-12,1.00,2021
October-13,1.00,2021
October-14,2.00,2021
October-15,2.00,2021
October-19,1.00,2021
October-20,1.00,2021
November-04,1.00,2021
November-08,1.00,2021
November-09,1.00,2021
November-17,1.00,2021
November-22,1.00,2021
November-28,1.00,2021
December-02,1.00,2021
December-10,1.00,2021
December-14,2.00,2021
December-21,1.00,2021
December-22,1.00,2021
December-28,3.00,2021
January-02,1.00,2022
January-03,2.00,2022
January-04,2.00,2022
January-05,1.00,2022
January-07,3.00,2022
January-09,4.00,2022
January-11,3.00,2022
January-12,1.00,2022
January-14,3.00,2022
January-16,4.00,2022
January-17,5.00,2022
January-18,2.00,2022
January-19,6.00,2022
January-20,10.00,2022
January-21,8.00,2022
January-22,11.00,2022
January-23,6.00,2022
January-24,9.00,2022
January-25,8.00,2022
January-26,7.00,2022
January-27,15.00,2022
January-28,17.00,2022
January-29,8.00,2022
January-30,19.00,2022
January-31,20.00,2022
February-01,13.00,2022
February-02,13.00,2022
February-03,9.00,2022
February-04,8.00,2022
February-05,16.00,2022
February-06,24.00,2022
February-07,9.00,2022
February-08,15.00,2022
February-09,16.00,2022
February-10,7.00,2022
February-11,13.00,2022
February-12,8.00,2022
February-13,6.00,2022
February-14,23.00,2022
February-15,10.00,2022
February-16,7.00,2022
February-17,20.00,2022
February-18,10.00,2022
February-19,13.00,2022
February-20,4.00,2022
February-21,4.00,2022
February-22,11.00,2022
February-23,46.00,2022
February-24,2.00,2022
February-25,18.00,2022
February-26,1.00,2022
February-27,1.00,2022
February-28,9.00,2022
March-01,2.00,2022
March-02,11.00,2022
March-05,3.00,2022
March-07,1.00,2022
March-08,2.00,2022
March-09,2.00,2022
March-10,1.00,2022
