Category,Confirmed case,Year
April-23,3.00,2020
April-24,1.00,2020
April-29,1.00,2020
May-06,1.00,2020
May-10,3.00,2020
May-16,6.00,2020
May-18,1.00,2020
May-20,1.00,2020
May-21,1.00,2020
May-22,1.00,2020
May-23,3.00,2020
May-25,1.00,2020
May-27,8.00,2020
May-29,2.00,2020
May-30,2.00,2020
May-31,7.00,2020
June-02,1.00,2020
June-03,9.00,2020
June-04,8.00,2020
June-05,5.00,2020
June-06,2.00,2020
June-08,3.00,2020
June-10,1.00,2020
June-11,1.00,2020
June-12,15.00,2020
June-13,24.00,2020
June-14,2.00,2020
June-15,31.00,2020
June-16,18.00,2020
June-17,20.00,2020
June-18,1.00,2020
June-19,1.00,2020
June-20,3.00,2020
June-21,3.00,2020
June-22,23.00,2020
June-24,8.00,2020
June-25,8.00,2020
June-26,19.00,2020
June-27,21.00,2020
June-28,16.00,2020
June-29,24.00,2020
June-30,24.00,2020
July-02,8.00,2020
July-03,17.00,2020
July-05,8.00,2020
July-06,15.00,2020
July-07,12.00,2020
July-08,9.00,2020
July-10,13.00,2020
July-11,13.00,2020
July-12,19.00,2020
July-13,2.00,2020
July-14,14.00,2020
July-15,8.00,2020
July-17,22.00,2020
July-18,2.00,2020
July-19,13.00,2020
July-20,16.00,2020
July-21,6.00,2020
July-23,5.00,2020
July-24,8.00,2020
July-25,6.00,2020
July-26,9.00,2020
July-27,8.00,2020
July-28,7.00,2020
July-29,10.00,2020
July-30,10.00,2020
July-31,6.00,2020
August-01,2.00,2020
August-02,6.00,2020
August-03,4.00,2020
August-04,11.00,2020
August-05,1.00,2020
August-06,8.00,2020
August-07,5.00,2020
August-08,2.00,2020
August-09,11.00,2020
August-10,8.00,2020
August-11,6.00,2020
August-12,8.00,2020
August-13,6.00,2020
August-14,7.00,2020
August-15,2.00,2020
August-16,5.00,2020
August-17,6.00,2020
August-18,1.00,2020
August-19,7.00,2020
August-20,3.00,2020
August-21,4.00,2020
August-22,4.00,2020
August-23,6.00,2020
August-24,7.00,2020
August-26,3.00,2020
August-27,6.00,2020
August-28,4.00,2020
August-29,1.00,2020
August-30,3.00,2020
August-31,6.00,2020
September-01,3.00,2020
September-02,4.00,2020
September-03,9.00,2020
September-04,2.00,2020
September-05,4.00,2020
September-06,3.00,2020
September-07,1.00,2020
September-08,7.00,2020
September-09,4.00,2020
September-10,2.00,2020
September-11,3.00,2020
September-12,2.00,2020
September-13,1.00,2020
September-14,1.00,2020
September-15,7.00,2020
September-16,1.00,2020
September-17,1.00,2020
September-18,1.00,2020
September-19,3.00,2020
September-20,4.00,2020
September-21,3.00,2020
September-22,2.00,2020
September-23,2.00,2020
September-24,3.00,2020
September-25,2.00,2020
September-27,2.00,2020
September-28,5.00,2020
September-29,1.00,2020
September-30,2.00,2020
October-01,3.00,2020
October-03,5.00,2020
October-04,6.00,2020
October-05,2.00,2020
October-06,1.00,2020
October-07,3.00,2020
October-08,2.00,2020
October-09,1.00,2020
October-10,2.00,2020
October-11,4.00,2020
October-12,7.00,2020
October-13,3.00,2020
October-14,7.00,2020
October-15,5.00,2020
October-16,1.00,2020
October-17,5.00,2020
October-18,6.00,2020
October-20,7.00,2020
October-21,7.00,2020
October-22,3.00,2020
October-24,2.00,2020
October-25,3.00,2020
October-26,2.00,2020
October-27,4.00,2020
October-28,2.00,2020
October-29,8.00,2020
October-30,6.00,2020
October-31,5.00,2020
November-01,7.00,2020
November-02,6.00,2020
November-03,1.00,2020
November-04,9.00,2020
November-05,6.00,2020
November-06,1.00,2020
November-07,5.00,2020
November-08,6.00,2020
November-10,8.00,2020
November-11,10.00,2020
November-12,5.00,2020
November-13,11.00,2020
November-14,4.00,2020
November-15,4.00,2020
November-16,5.00,2020
