Category,Confirmed case,Year
April-09,1.00,2020
April-20,1.00,2020
April-23,1.00,2020
April-24,1.00,2020
April-26,1.00,2020
April-27,1.00,2020
April-28,1.00,2020
April-30,5.00,2020
May-01,1.00,2020
May-08,1.00,2020
May-09,10.00,2020
May-10,14.00,2020
May-16,14.00,2020
May-17,6.00,2020
May-18,9.00,2020
May-19,10.00,2020
May-20,21.00,2020
May-21,1.00,2020
May-22,28.00,2020
May-23,29.00,2020
May-24,5.00,2020
May-25,8.00,2020
May-26,17.00,2020
May-27,46.00,2020
May-28,35.00,2020
May-29,23.00,2020
May-30,29.00,2020
May-31,27.00,2020
June-01,35.00,2020
June-02,55.00,2020
June-03,23.00,2020
June-04,52.00,2020
June-05,54.00,2020
June-06,64.00,2020
June-07,66.00,2020
June-08,90.00,2020
June-09,50.00,2020
June-10,111.00,2020
June-11,109.00,2020
June-12,40.00,2020
June-13,102.00,2020
June-14,212.00,2020
June-15,112.00,2020
June-16,96.00,2020
June-17,124.00,2020
June-18,123.00,2020
June-19,74.00,2020
June-20,188.00,2020
June-21,122.00,2020
June-22,138.00,2020
June-23,99.00,2020
June-24,130.00,2020
June-25,114.00,2020
June-26,95.00,2020
June-27,89.00,2020
June-28,89.00,2020
June-29,121.00,2020
June-30,185.00,2020
July-01,152.00,2020
July-02,53.00,2020
July-03,43.00,2020
July-04,66.00,2020
July-05,72.00,2020
July-06,81.00,2020
July-07,61.00,2020
July-08,68.00,2020
July-09,68.00,2020
July-10,64.00,2020
July-11,74.00,2020
July-12,64.00,2020
July-13,55.00,2020
July-14,81.00,2020
July-15,60.00,2020
July-16,83.00,2020
July-17,87.00,2020
July-18,83.00,2020
July-19,75.00,2020
July-20,63.00,2020
July-21,103.00,2020
July-22,65.00,2020
July-23,59.00,2020
July-24,33.00,2020
July-25,68.00,2020
July-26,59.00,2020
July-27,87.00,2020
July-28,75.00,2020
July-29,68.00,2020
July-30,77.00,2020
July-31,81.00,2020
August-01,22.00,2020
August-02,35.00,2020
August-03,35.00,2020
August-04,47.00,2020
August-05,63.00,2020
August-06,53.00,2020
August-07,94.00,2020
August-08,61.00,2020
August-09,82.00,2020
August-10,108.00,2020
August-11,69.00,2020
August-12,73.00,2020
August-13,85.00,2020
August-14,92.00,2020
August-15,72.00,2020
August-16,97.00,2020
August-17,77.00,2020
August-18,47.00,2020
August-19,104.00,2020
August-20,76.00,2020
August-21,60.00,2020
August-22,77.00,2020
August-23,81.00,2020
August-24,60.00,2020
August-25,61.00,2020
August-26,54.00,2020
August-27,67.00,2020
August-28,49.00,2020
August-29,66.00,2020
August-30,57.00,2020
August-31,74.00,2020
September-01,44.00,2020
September-02,41.00,2020
September-03,50.00,2020
September-04,45.00,2020
September-05,36.00,2020
September-06,37.00,2020
September-07,48.00,2020
September-08,39.00,2020
September-09,39.00,2020
September-10,41.00,2020
September-11,36.00,2020
September-12,29.00,2020
September-13,41.00,2020
September-14,47.00,2020
September-15,29.00,2020
September-16,34.00,2020
September-17,25.00,2020
September-18,34.00,2020
September-19,42.00,2020
September-20,21.00,2020
September-21,33.00,2020
September-22,57.00,2020
September-23,33.00,2020
September-24,5.00,2020
September-25,33.00,2020
September-26,41.00,2020
September-27,39.00,2020
September-28,16.00,2020
September-29,19.00,2020
September-30,18.00,2020
October-01,10.00,2020
October-02,13.00,2020
October-03,20.00,2020
October-04,26.00,2020
October-05,23.00,2020
October-06,83.00,2020
October-07,6.00,2020
October-08,4.00,2020
October-09,5.00,2020
October-10,3.00,2020
