Category,Confirmed case,Year
April-10,1.00,2020
April-11,1.00,2020
April-12,1.00,2020
April-15,2.00,2020
April-16,2.00,2020
April-19,1.00,2020
April-20,1.00,2020
April-21,1.00,2020
April-22,1.00,2020
April-23,2.00,2020
April-24,4.00,2020
April-25,1.00,2020
April-26,1.00,2020
April-27,1.00,2020
April-28,10.00,2020
April-29,3.00,2020
April-30,4.00,2020
May-01,2.00,2020
May-02,1.00,2020
May-03,12.00,2020
May-07,2.00,2020
May-18,1.00,2020
May-21,17.00,2020
May-22,5.00,2020
May-25,1.00,2020
May-26,14.00,2020
May-27,1.00,2020
May-28,1.00,2020
May-30,1.00,2020
June-01,31.00,2020
June-02,7.00,2020
June-03,27.00,2020
June-04,37.00,2020
June-06,9.00,2020
June-07,26.00,2020
June-08,27.00,2020
June-10,90.00,2020
June-11,1.00,2020
June-12,1.00,2020
June-13,1.00,2020
June-14,4.00,2020
June-15,8.00,2020
June-17,13.00,2020
June-18,2.00,2020
June-19,2.00,2020
June-20,79.00,2020
June-21,28.00,2020
June-22,49.00,2020
June-23,45.00,2020
June-24,2.00,2020
June-25,58.00,2020
June-26,57.00,2020
June-27,4.00,2020
June-28,33.00,2020
June-29,8.00,2020
June-30,1.00,2020
July-01,25.00,2020
July-02,67.00,2020
July-03,99.00,2020
July-04,25.00,2020
July-05,69.00,2020
July-06,67.00,2020
July-07,17.00,2020
July-08,23.00,2020
July-09,63.00,2020
July-10,37.00,2020
July-11,1.00,2020
July-12,93.00,2020
July-13,5.00,2020
July-14,102.00,2020
July-15,3.00,2020
July-16,71.00,2020
July-17,26.00,2020
July-18,26.00,2020
July-19,17.00,2020
July-20,37.00,2020
July-21,6.00,2020
July-22,42.00,2020
July-23,7.00,2020
July-24,19.00,2020
July-25,4.00,2020
July-26,42.00,2020
July-27,9.00,2020
July-28,24.00,2020
July-29,22.00,2020
July-30,4.00,2020
July-31,3.00,2020
August-01,1.00,2020
August-02,4.00,2020
August-03,4.00,2020
August-04,3.00,2020
August-05,41.00,2020
August-06,1.00,2020
August-07,44.00,2020
August-08,2.00,2020
August-09,39.00,2020
August-10,5.00,2020
August-11,4.00,2020
August-12,56.00,2020
August-13,4.00,2020
August-14,44.00,2020
August-15,6.00,2020
August-16,20.00,2020
August-17,3.00,2020
August-18,15.00,2020
August-19,28.00,2020
August-20,9.00,2020
August-21,43.00,2020
August-22,5.00,2020
August-23,55.00,2020
August-24,6.00,2020
August-25,4.00,2020
August-26,17.00,2020
August-27,12.00,2020
August-28,16.00,2020
August-29,15.00,2020
August-30,7.00,2020
August-31,9.00,2020
September-01,7.00,2020
September-02,20.00,2020
September-03,24.00,2020
September-04,16.00,2020
September-05,6.00,2020
September-06,10.00,2020
September-07,2.00,2020
September-08,5.00,2020
September-09,14.00,2020
September-10,6.00,2020
September-11,22.00,2020
September-12,4.00,2020
September-13,7.00,2020
September-14,11.00,2020
September-15,3.00,2020
September-16,5.00,2020
September-17,5.00,2020
September-18,12.00,2020
September-19,4.00,2020
September-20,6.00,2020
September-21,1.00,2020
September-22,11.00,2020
September-23,4.00,2020
September-24,10.00,2020
September-25,1.00,2020
September-26,2.00,2020
September-27,13.00,2020
September-28,1.00,2020
September-29,6.00,2020
September-30,8.00,2020
October-01,5.00,2020
October-02,2.00,2020
October-03,2.00,2020
October-04,8.00,2020
October-05,5.00,2020
October-06,7.00,2020
October-07,5.00,2020
October-08,3.00,2020
October-09,4.00,2020
October-10,4.00,2020
October-11,5.00,2020
October-12,4.00,2020
October-13,5.00,2020
October-14,6.00,2020
October-15,8.00,2020
October-16,5.00,2020
October-17,2.00,2020
October-18,7.00,2020
October-19,4.00,2020
October-20,7.00,2020
October-21,6.00,2020
October-22,6.00,2020
October-23,10.00,2020
October-24,4.00,2020
October-25,9.00,2020
October-26,4.00,2020
October-27,7.00,2020
October-28,6.00,2020
October-29,8.00,2020
October-30,2.00,2020
October-31,7.00,2020
November-01,8.00,2020
November-02,8.00,2020
November-03,7.00,2020
November-04,8.00,2020
November-05,3.00,2020
November-06,4.00,2020
November-07,11.00,2020
November-08,5.00,2020
November-09,12.00,2020
November-10,7.00,2020
November-11,15.00,2020
November-12,3.00,2020
November-13,8.00,2020
November-14,13.00,2020
November-15,7.00,2020
November-16,15.00,2020
November-17,17.00,2020
November-18,10.00,2020
November-19,7.00,2020
November-20,11.00,2020
November-21,20.00,2020
November-22,7.00,2020
November-23,12.00,2020
November-24,18.00,2020
November-25,9.00,2020
November-26,8.00,2020
November-27,13.00,2020
November-28,4.00,2020
November-29,9.00,2020
November-30,15.00,2020
December-01,5.00,2020
December-02,7.00,2020
December-03,1.00,2020
December-04,6.00,2020
December-05,26.00,2020
December-06,5.00,2020
December-07,6.00,2020
December-08,8.00,2020
December-09,9.00,2020
December-10,5.00,2020
December-11,7.00,2020
December-12,15.00,2020
December-13,5.00,2020
December-14,2.00,2020
December-15,5.00,2020
December-16,5.00,2020
December-17,2.00,2020
December-18,14.00,2020
December-19,10.00,2020
December-20,5.00,2020
December-21,15.00,2020
December-22,2.00,2020
December-23,3.00,2020
December-24,9.00,2020
December-25,3.00,2020
December-26,2.00,2020
December-27,3.00,2020
December-28,3.00,2020
December-29,2.00,2020
December-30,1.00,2020
December-31,10.00,2020
January-01,1.00,2021
January-02,3.00,2021
January-03,2.00,2021
January-04,5.00,2021
January-05,6.00,2021
January-07,9.00,2021
January-08,2.00,2021
January-09,5.00,2021
January-10,1.00,2021
January-11,6.00,2021
January-12,2.00,2021
January-13,10.00,2021
January-14,3.00,2021
January-15,4.00,2021
January-16,7.00,2021
January-17,1.00,2021
January-18,9.00,2021
January-19,5.00,2021
January-20,3.00,2021
January-21,3.00,2021
January-22,7.00,2021
January-23,3.00,2021
January-24,8.00,2021
January-25,8.00,2021
January-26,3.00,2021
January-27,6.00,2021
January-28,1.00,2021
January-29,9.00,2021
January-30,3.00,2021
January-31,4.00,2021
February-01,3.00,2021
February-02,1.00,2021
February-03,3.00,2021
February-04,10.00,2021
February-05,3.00,2021
February-06,5.00,2021
February-08,2.00,2021
February-09,2.00,2021
February-11,4.00,2021
February-12,6.00,2021
February-13,5.00,2021
February-14,7.00,2021
February-15,3.00,2021
February-16,4.00,2021
February-17,2.00,2021
February-18,3.00,2021
February-19,2.00,2021
February-20,4.00,2021
February-21,6.00,2021
February-22,6.00,2021
February-23,4.00,2021
February-24,1.00,2021
February-25,3.00,2021
February-26,6.00,2021
February-27,4.00,2021
February-28,4.00,2021
March-01,3.00,2021
March-03,4.00,2021
March-04,2.00,2021
March-05,6.00,2021
March-06,1.00,2021
March-07,4.00,2021
March-08,7.00,2021
March-09,6.00,2021
March-10,6.00,2021
March-11,7.00,2021
March-12,4.00,2021
March-13,11.00,2021
March-14,14.00,2021
March-15,8.00,2021
March-16,8.00,2021
March-17,10.00,2021
March-18,19.00,2021
March-19,13.00,2021
March-20,9.00,2021
March-21,13.00,2021
March-22,9.00,2021
March-23,10.00,2021
March-24,15.00,2021
March-25,35.00,2021
March-26,21.00,2021
March-27,24.00,2021
March-28,23.00,2021
March-29,27.00,2021
March-30,29.00,2021
March-31,22.00,2021
April-01,47.00,2021
April-02,28.00,2021
April-03,61.00,2021
April-04,32.00,2021
April-05,31.00,2021
April-06,44.00,2021
April-07,46.00,2021
April-08,64.00,2021
April-09,51.00,2021
April-10,67.00,2021
April-11,44.00,2021
April-12,57.00,2021
April-13,29.00,2021
April-14,5.00,2021
April-15,44.00,2021
April-16,24.00,2021
April-17,43.00,2021
April-18,12.00,2021
April-19,60.00,2021
April-20,46.00,2021
April-21,50.00,2021
April-22,49.00,2021
April-23,54.00,2021
April-24,27.00,2021
April-25,26.00,2021
April-26,38.00,2021
April-27,34.00,2021
April-28,28.00,2021
April-29,20.00,2021
April-30,46.00,2021
May-01,15.00,2021
May-02,5.00,2021
May-03,29.00,2021
May-04,33.00,2021
May-05,32.00,2021
May-06,18.00,2021
May-07,18.00,2021
May-08,36.00,2021
May-09,18.00,2021
May-10,14.00,2021
May-11,7.00,2021
May-12,51.00,2021
May-13,11.00,2021
May-14,10.00,2021
May-15,4.00,2021
May-16,4.00,2021
May-17,14.00,2021
May-18,28.00,2021
May-19,14.00,2021
May-20,9.00,2021
May-21,13.00,2021
May-22,5.00,2021
May-23,14.00,2021
May-24,18.00,2021
May-25,10.00,2021
May-26,9.00,2021
May-27,17.00,2021
May-28,4.00,2021
May-29,9.00,2021
May-30,19.00,2021
May-31,12.00,2021
June-01,19.00,2021
June-02,13.00,2021
June-03,16.00,2021
June-04,8.00,2021
June-05,11.00,2021
June-06,23.00,2021
June-07,13.00,2021
June-08,7.00,2021
June-09,12.00,2021
June-10,9.00,2021
June-11,18.00,2021
June-12,16.00,2021
June-13,13.00,2021
June-14,22.00,2021
June-15,20.00,2021
June-16,20.00,2021
June-17,38.00,2021
June-18,4.00,2021
June-19,21.00,2021
June-20,30.00,2021
June-21,40.00,2021
June-22,10.00,2021
June-23,35.00,2021
June-24,27.00,2021
June-25,51.00,2021
June-26,44.00,2021
June-27,50.00,2021
June-28,40.00,2021
June-29,50.00,2021
June-30,38.00,2021
July-01,40.00,2021
July-02,47.00,2021
July-03,84.00,2021
July-04,73.00,2021
July-05,101.00,2021
July-06,84.00,2021
July-07,136.00,2021
July-08,56.00,2021
July-09,104.00,2021
July-10,89.00,2021
