Category,Confirmed case,Year
April-07,1.00,2020
April-08,5.00,2020
April-09,2.00,2020
April-11,1.00,2020
April-12,1.00,2020
April-13,1.00,2020
April-14,1.00,2020
April-15,1.00,2020
April-16,2.00,2020
April-17,1.00,2020
April-18,3.00,2020
April-19,2.00,2020
April-21,1.00,2020
April-24,1.00,2020
April-25,1.00,2020
April-26,1.00,2020
April-27,3.00,2020
April-28,11.00,2020
April-29,12.00,2020
April-30,1.00,2020
May-01,1.00,2020
May-02,4.00,2020
May-04,1.00,2020
May-06,1.00,2020
May-12,7.00,2020
May-17,8.00,2020
May-18,28.00,2020
May-19,4.00,2020
May-20,26.00,2020
May-21,1.00,2020
May-22,27.00,2020
May-23,61.00,2020
May-24,16.00,2020
May-26,27.00,2020
May-27,37.00,2020
May-28,37.00,2020
May-29,104.00,2020
May-31,2.00,2020
June-01,72.00,2020
June-02,149.00,2020
June-03,61.00,2020
June-04,110.00,2020
June-05,252.00,2020
June-06,150.00,2020
June-07,53.00,2020
June-08,105.00,2020
June-09,94.00,2020
June-10,76.00,2020
June-11,151.00,2020
June-12,119.00,2020
June-13,132.00,2020
June-14,91.00,2020
June-15,102.00,2020
June-16,256.00,2020
June-17,299.00,2020
June-18,83.00,2020
June-19,161.00,2020
June-20,166.00,2020
June-21,201.00,2020
June-22,180.00,2020
June-23,177.00,2020
June-24,137.00,2020
June-25,140.00,2020
June-26,96.00,2020
June-27,33.00,2020
June-28,129.00,2020
June-29,160.00,2020
June-30,173.00,2020
July-01,234.00,2020
July-02,214.00,2020
July-03,67.00,2020
July-04,135.00,2020
July-05,196.00,2020
July-06,193.00,2020
July-07,166.00,2020
July-08,117.00,2020
July-09,92.00,2020
July-10,114.00,2020
July-11,70.00,2020
July-12,115.00,2020
July-13,162.00,2020
July-14,161.00,2020
July-15,161.00,2020
July-16,149.00,2020
July-17,143.00,2020
July-18,80.00,2020
July-19,192.00,2020
July-20,122.00,2020
July-21,140.00,2020
July-22,119.00,2020
July-23,156.00,2020
July-24,140.00,2020
July-25,128.00,2020
July-26,94.00,2020
July-27,85.00,2020
July-28,112.00,2020
July-29,79.00,2020
July-30,111.00,2020
July-31,108.00,2020
August-01,22.00,2020
August-02,10.00,2020
August-03,22.00,2020
August-04,119.00,2020
August-05,139.00,2020
August-06,124.00,2020
August-07,119.00,2020
August-08,86.00,2020
August-09,158.00,2020
August-10,131.00,2020
August-11,145.00,2020
August-12,84.00,2020
August-13,108.00,2020
August-14,125.00,2020
August-15,49.00,2020
August-16,45.00,2020
August-17,133.00,2020
August-18,97.00,2020
August-19,89.00,2020
August-20,88.00,2020
August-21,76.00,2020
August-22,60.00,2020
August-23,90.00,2020
August-24,100.00,2020
August-25,77.00,2020
August-26,72.00,2020
August-27,104.00,2020
August-28,81.00,2020
August-29,43.00,2020
August-30,76.00,2020
August-31,44.00,2020
September-01,96.00,2020
September-02,99.00,2020
September-03,61.00,2020
September-04,63.00,2020
September-05,23.00,2020
September-06,56.00,2020
September-07,71.00,2020
September-08,61.00,2020
September-09,49.00,2020
September-10,49.00,2020
September-11,54.00,2020
September-12,45.00,2020
September-13,73.00,2020
September-14,72.00,2020
September-15,87.00,2020
September-16,45.00,2020
September-17,46.00,2020
September-18,54.00,2020
September-19,14.00,2020
September-20,55.00,2020
September-21,44.00,2020
September-22,69.00,2020
September-23,55.00,2020
September-24,49.00,2020
September-25,42.00,2020
September-26,27.00,2020
September-27,66.00,2020
September-28,42.00,2020
September-29,49.00,2020
September-30,72.00,2020
October-01,71.00,2020
October-02,73.00,2020
October-03,28.00,2020
October-04,63.00,2020
October-05,86.00,2020
October-06,67.00,2020
October-07,75.00,2020
October-08,90.00,2020
October-09,76.00,2020
October-10,48.00,2020
October-11,68.00,2020
October-12,70.00,2020
October-13,88.00,2020
October-14,73.00,2020
October-15,79.00,2020
October-16,80.00,2020
October-17,41.00,2020
October-18,101.00,2020
October-19,77.00,2020
October-20,56.00,2020
October-21,106.00,2020
October-22,89.00,2020
October-23,68.00,2020
October-24,36.00,2020
October-25,86.00,2020
October-26,78.00,2020
October-27,36.00,2020
October-28,86.00,2020
October-29,79.00,2020
October-30,99.00,2020
October-31,46.00,2020
November-01,88.00,2020
November-02,83.00,2020
November-03,92.00,2020
November-04,83.00,2020
November-05,85.00,2020
November-06,108.00,2020
November-07,41.00,2020
November-08,79.00,2020
November-09,147.00,2020
November-10,102.00,2020
November-11,89.00,2020
November-12,111.00,2020
November-13,130.00,2020
November-14,46.00,2020
November-15,174.00,2020
November-16,109.00,2020
November-17,147.00,2020
November-18,161.00,2020
November-19,125.00,2020
November-20,155.00,2020
November-21,107.00,2020
November-22,233.00,2020
November-23,180.00,2020
November-24,142.00,2020
November-25,156.00,2020
November-26,216.00,2020
November-27,178.00,2020
November-28,71.00,2020
November-29,242.00,2020
November-30,198.00,2020
December-01,259.00,2020
December-02,190.00,2020
December-03,262.00,2020
December-04,295.00,2020
December-05,107.00,2020
December-06,197.00,2020
December-07,176.00,2020
December-08,208.00,2020
December-09,206.00,2020
December-10,166.00,2020
December-11,184.00,2020
December-12,105.00,2020
December-13,179.00,2020
December-14,213.00,2020
December-15,221.00,2020
December-16,123.00,2020
December-17,86.00,2020
December-18,166.00,2020
December-19,135.00,2020
December-20,105.00,2020
December-21,133.00,2020
December-22,162.00,2020
December-23,142.00,2020
December-24,116.00,2020
December-25,92.00,2020
December-26,133.00,2020
December-27,139.00,2020
December-28,111.00,2020
December-29,156.00,2020
December-30,95.00,2020
December-31,143.00,2020
January-01,66.00,2021
January-02,90.00,2021
January-03,124.00,2021
January-04,110.00,2021
January-05,65.00,2021
January-06,130.00,2021
January-07,137.00,2021
January-08,94.00,2021
January-09,153.00,2021
January-10,110.00,2021
January-11,64.00,2021
January-12,114.00,2021
January-13,76.00,2021
January-14,117.00,2021
January-15,65.00,2021
January-16,65.00,2021
January-17,78.00,2021
January-18,78.00,2021
January-19,91.00,2021
January-20,85.00,2021
January-21,106.00,2021
January-22,25.00,2021
January-23,59.00,2021
January-24,73.00,2021
January-25,63.00,2021
January-26,55.00,2021
January-27,54.00,2021
January-28,48.00,2021
January-29,35.00,2021
January-30,57.00,2021
January-31,55.00,2021
February-01,108.00,2021
February-02,79.00,2021
February-03,52.00,2021
February-04,97.00,2021
February-05,20.00,2021
February-06,46.00,2021
February-07,85.00,2021
February-08,73.00,2021
February-09,60.00,2021
February-10,65.00,2021
February-11,62.00,2021
February-12,49.00,2021
February-13,65.00,2021
February-14,62.00,2021
February-15,54.00,2021
February-16,86.00,2021
February-17,97.00,2021
February-18,75.00,2021
February-19,47.00,2021
February-20,41.00,2021
February-21,67.00,2021
February-22,74.00,2021
February-23,85.00,2021
February-24,83.00,2021
February-25,78.00,2021
February-26,72.00,2021
February-27,48.00,2021
February-28,103.00,2021
March-01,100.00,2021
March-02,91.00,2021
March-03,116.00,2021
March-04,106.00,2021
March-05,67.00,2021
March-06,90.00,2021
March-07,126.00,2021
March-08,108.00,2021
March-09,113.00,2021
March-10,141.00,2021
March-11,119.00,2021
March-12,104.00,2021
March-13,129.00,2021
March-14,182.00,2021
March-15,174.00,2021
March-16,171.00,2021
March-17,161.00,2021
March-18,202.00,2021
March-19,196.00,2021
March-20,166.00,2021
March-21,249.00,2021
March-22,380.00,2021
March-23,265.00,2021
March-24,210.00,2021
March-25,356.00,2021
March-26,222.00,2021
March-27,196.00,2021
March-28,313.00,2021
March-29,235.00,2021
March-30,317.00,2021
March-31,343.00,2021
April-01,537.00,2021
April-02,318.00,2021
April-03,314.00,2021
April-04,463.00,2021
April-05,359.00,2021
April-06,547.00,2021
April-07,553.00,2021
April-08,509.00,2021
April-09,432.00,2021
April-10,305.00,2021
April-11,491.00,2021
April-12,446.00,2021
April-13,407.00,2021
April-14,284.00,2021
April-15,284.00,2021
April-16,309.00,2021
April-17,255.00,2021
April-18,348.00,2021
April-19,303.00,2021
April-20,344.00,2021
April-21,298.00,2021
April-22,308.00,2021
April-23,180.00,2021
April-24,114.00,2021
April-25,197.00,2021
April-26,327.00,2021
April-27,298.00,2021
April-28,176.00,2021
April-29,218.00,2021
April-30,167.00,2021
May-01,66.00,2021
May-02,161.00,2021
May-03,191.00,2021
May-04,112.00,2021
May-05,207.00,2021
May-06,143.00,2021
May-07,141.00,2021
May-08,90.00,2021
May-09,185.00,2021
May-10,111.00,2021
May-11,139.00,2021
May-12,145.00,2021
