Category,Confirmed case,Year
April-20,1.00,2020
April-21,1.00,2020
May-05,2.00,2020
May-12,1.00,2020
May-14,1.00,2020
May-16,7.00,2020
May-17,2.00,2020
May-28,1.00,2020
May-29,2.00,2020
May-31,6.00,2020
June-02,2.00,2020
June-03,2.00,2020
June-05,12.00,2020
June-06,1.00,2020
June-07,10.00,2020
June-08,7.00,2020
June-09,5.00,2020
June-10,3.00,2020
June-11,2.00,2020
June-12,3.00,2020
June-14,4.00,2020
June-15,1.00,2020
June-16,2.00,2020
June-17,21.00,2020
June-18,5.00,2020
June-19,8.00,2020
June-20,4.00,2020
June-21,6.00,2020
June-22,10.00,2020
June-23,11.00,2020
June-24,12.00,2020
June-26,2.00,2020
June-27,8.00,2020
June-28,2.00,2020
June-29,8.00,2020
June-30,9.00,2020
July-01,6.00,2020
July-02,46.00,2020
July-03,3.00,2020
July-04,1.00,2020
July-05,17.00,2020
July-06,3.00,2020
July-07,12.00,2020
July-08,7.00,2020
July-09,2.00,2020
July-10,14.00,2020
July-11,1.00,2020
July-12,10.00,2020
July-13,8.00,2020
July-14,15.00,2020
July-15,11.00,2020
July-16,16.00,2020
July-18,6.00,2020
July-19,4.00,2020
July-20,19.00,2020
July-22,8.00,2020
July-23,9.00,2020
July-24,2.00,2020
July-25,3.00,2020
July-26,7.00,2020
July-27,14.00,2020
July-28,8.00,2020
July-29,5.00,2020
July-30,11.00,2020
July-31,5.00,2020
August-01,26.00,2020
August-02,1.00,2020
August-03,16.00,2020
August-04,23.00,2020
August-05,43.00,2020
August-06,24.00,2020
August-07,24.00,2020
August-08,1.00,2020
August-09,34.00,2020
August-10,11.00,2020
August-11,26.00,2020
August-12,15.00,2020
August-13,1.00,2020
August-14,59.00,2020
August-15,6.00,2020
August-16,17.00,2020
August-17,54.00,2020
August-18,22.00,2020
August-19,18.00,2020
August-20,2.00,2020
August-22,16.00,2020
August-23,22.00,2020
August-24,3.00,2020
August-25,13.00,2020
August-26,19.00,2020
August-27,16.00,2020
August-28,18.00,2020
August-29,16.00,2020
August-30,5.00,2020
August-31,3.00,2020
September-01,21.00,2020
September-02,3.00,2020
September-03,6.00,2020
September-04,2.00,2020
September-05,3.00,2020
September-06,7.00,2020
September-07,6.00,2020
September-08,2.00,2020
September-09,3.00,2020
September-10,6.00,2020
September-11,4.00,2020
September-13,7.00,2020
September-14,3.00,2020
September-15,1.00,2020
September-16,1.00,2020
September-17,6.00,2020
September-18,5.00,2020
September-20,8.00,2020
September-21,3.00,2020
September-22,5.00,2020
September-23,4.00,2020
September-24,2.00,2020
September-25,2.00,2020
September-27,4.00,2020
September-28,5.00,2020
September-29,4.00,2020
September-30,1.00,2020
October-01,4.00,2020
October-02,4.00,2020
October-03,1.00,2020
October-04,7.00,2020
October-05,6.00,2020
October-06,5.00,2020
October-07,6.00,2020
October-08,3.00,2020
October-09,1.00,2020
October-10,1.00,2020
October-11,1.00,2020
October-12,2.00,2020
October-13,3.00,2020
October-14,5.00,2020
October-15,5.00,2020
October-16,8.00,2020
October-17,1.00,2020
October-18,9.00,2020
October-19,1.00,2020
October-21,2.00,2020
October-22,2.00,2020
October-23,7.00,2020
October-24,2.00,2020
October-25,6.00,2020
October-26,1.00,2020
October-28,2.00,2020
October-29,2.00,2020
October-30,1.00,2020
November-06,2.00,2020
November-07,1.00,2020
November-08,2.00,2020
November-09,1.00,2020
November-10,2.00,2020
November-12,1.00,2020
November-13,4.00,2020
November-15,3.00,2020
November-18,5.00,2020
November-19,1.00,2020
November-20,6.00,2020
November-22,3.00,2020
November-23,5.00,2020
November-24,1.00,2020
November-25,10.00,2020
November-26,2.00,2020
November-27,4.00,2020
November-29,2.00,2020
November-30,2.00,2020
December-01,2.00,2020
December-02,2.00,2020
December-03,1.00,2020
December-04,1.00,2020
December-07,3.00,2020
December-08,6.00,2020
December-10,2.00,2020
December-11,2.00,2020
December-12,1.00,2020
December-13,3.00,2020
December-14,2.00,2020
December-15,5.00,2020
December-16,1.00,2020
December-24,1.00,2020
December-25,1.00,2020
January-02,1.00,2021
January-05,1.00,2021
January-06,2.00,2021
January-16,1.00,2021
January-22,1.00,2021
January-25,1.00,2021
January-31,1.00,2021
February-02,1.00,2021
February-07,1.00,2021
February-10,4.00,2021
February-12,2.00,2021
February-16,1.00,2021
February-17,1.00,2021
February-24,2.00,2021
March-01,1.00,2021
March-03,1.00,2021
March-05,1.00,2021
March-06,1.00,2021
March-10,1.00,2021
March-11,1.00,2021
March-13,1.00,2021
March-14,1.00,2021
March-16,1.00,2021
March-18,1.00,2021
March-19,3.00,2021
March-20,3.00,2021
March-21,5.00,2021
March-22,4.00,2021
March-23,1.00,2021
March-24,1.00,2021
March-25,2.00,2021
March-26,2.00,2021
March-27,1.00,2021
March-28,2.00,2021
March-29,3.00,2021
March-30,1.00,2021
March-31,2.00,2021
April-01,6.00,2021
April-02,4.00,2021
April-03,10.00,2021
April-04,13.00,2021
April-05,11.00,2021
April-06,16.00,2021
April-07,7.00,2021
April-08,8.00,2021
April-09,12.00,2021
April-10,1.00,2021
April-11,3.00,2021
April-12,8.00,2021
April-13,16.00,2021
April-14,17.00,2021
April-16,2.00,2021
April-17,1.00,2021
April-18,5.00,2021
April-19,6.00,2021
April-20,8.00,2021
April-21,6.00,2021
April-22,6.00,2021
April-23,7.00,2021
April-25,11.00,2021
April-26,1.00,2021
April-27,1.00,2021
April-28,5.00,2021
April-29,3.00,2021
April-30,2.00,2021
May-02,1.00,2021
May-03,2.00,2021
May-05,3.00,2021
May-06,5.00,2021
May-07,1.00,2021
May-08,1.00,2021
May-09,5.00,2021
May-10,9.00,2021
May-12,3.00,2021
May-13,4.00,2021
May-14,4.00,2021
May-16,1.00,2021
May-17,6.00,2021
May-18,4.00,2021
May-19,6.00,2021
May-20,6.00,2021
May-21,2.00,2021
May-23,4.00,2021
May-24,4.00,2021
May-25,11.00,2021
May-26,8.00,2021
May-27,1.00,2021
May-28,9.00,2021
May-29,1.00,2021
May-30,15.00,2021
May-31,20.00,2021
June-01,14.00,2021
June-03,25.00,2021
June-04,8.00,2021
June-05,5.00,2021
June-06,6.00,2021
June-07,26.00,2021
June-08,49.00,2021
June-09,1.00,2021
June-10,16.00,2021
June-11,11.00,2021
June-12,29.00,2021
June-13,51.00,2021
June-14,68.00,2021
June-15,37.00,2021
June-16,40.00,2021
June-17,23.00,2021
June-18,36.00,2021
June-19,5.00,2021
June-20,28.00,2021
June-21,9.00,2021
June-22,5.00,2021
June-23,46.00,2021
June-24,24.00,2021
June-25,22.00,2021
June-26,51.00,2021
June-27,9.00,2021
June-28,8.00,2021
June-29,15.00,2021
June-30,13.00,2021
July-01,68.00,2021
July-02,15.00,2021
July-03,21.00,2021
July-04,37.00,2021
July-05,77.00,2021
July-06,34.00,2021
July-07,28.00,2021
July-08,23.00,2021
July-09,22.00,2021
July-10,27.00,2021
July-11,24.00,2021
July-12,22.00,2021
July-13,19.00,2021
July-14,15.00,2021
July-15,13.00,2021
July-16,2.00,2021
July-17,18.00,2021
July-18,18.00,2021
July-19,11.00,2021
July-20,12.00,2021
July-21,1.00,2021
July-22,7.00,2021
July-23,4.00,2021
July-24,22.00,2021
July-25,14.00,2021
July-26,17.00,2021
July-27,16.00,2021
July-28,3.00,2021
July-29,15.00,2021
July-31,13.00,2021
August-01,16.00,2021
August-02,9.00,2021
August-03,12.00,2021
August-04,18.00,2021
August-05,12.00,2021
August-07,4.00,2021
August-08,14.00,2021
August-09,8.00,2021
August-10,40.00,2021
August-11,17.00,2021
August-12,32.00,2021
August-13,17.00,2021
August-14,3.00,2021
August-15,2.00,2021
August-16,10.00,2021
August-17,6.00,2021
August-18,4.00,2021
August-19,9.00,2021
August-21,7.00,2021
August-22,4.00,2021
August-23,3.00,2021
August-24,5.00,2021
August-25,14.00,2021
August-26,2.00,2021
August-27,29.00,2021
August-28,8.00,2021
August-29,1.00,2021
August-30,12.00,2021
August-31,13.00,2021
September-01,11.00,2021
September-02,5.00,2021
September-03,6.00,2021
September-04,6.00,2021
September-05,8.00,2021
September-06,14.00,2021
September-07,12.00,2021
September-08,9.00,2021
September-09,12.00,2021
September-10,12.00,2021
September-11,4.00,2021
September-12,6.00,2021
September-13,6.00,2021
September-14,2.00,2021
September-15,4.00,2021
September-16,2.00,2021
September-17,6.00,2021
September-19,7.00,2021
September-20,5.00,2021
September-22,6.00,2021
September-23,4.00,2021
September-24,2.00,2021
September-25,2.00,2021
September-29,4.00,2021
October-01,2.00,2021
October-03,1.00,2021
October-04,1.00,2021
October-05,7.00,2021
October-06,3.00,2021
October-07,1.00,2021
October-11,1.00,2021
October-13,2.00,2021
October-18,1.00,2021
October-22,2.00,2021
October-24,1.00,2021
October-25,6.00,2021
October-28,1.00,2021
November-01,2.00,2021
November-02,1.00,2021
November-07,1.00,2021
November-09,5.00,2021
November-10,1.00,2021
November-11,1.00,2021
November-14,4.00,2021
November-15,1.00,2021
November-16,1.00,2021
November-17,1.00,2021
November-18,1.00,2021
November-22,3.00,2021
November-23,1.00,2021
November-24,2.00,2021
November-26,1.00,2021
November-27,1.00,2021
November-28,1.00,2021
November-29,1.00,2021
November-30,1.00,2021
December-02,2.00,2021
December-04,1.00,2021
December-10,2.00,2021
December-12,1.00,2021
December-13,1.00,2021
December-14,1.00,2021
December-18,1.00,2021
December-21,1.00,2021
December-22,2.00,2021
December-27,2.00,2021
December-29,1.00,2021
December-30,3.00,2021
January-02,4.00,2022
January-03,1.00,2022
January-05,1.00,2022
January-06,1.00,2022
January-08,3.00,2022
January-09,1.00,2022
January-10,2.00,2022
January-12,1.00,2022
January-14,2.00,2022
January-15,1.00,2022
January-17,16.00,2022
January-18,4.00,2022
January-19,11.00,2022
January-20,3.00,2022
January-21,13.00,2022
January-22,3.00,2022
January-23,22.00,2022
January-24,26.00,2022
January-25,19.00,2022
January-26,33.00,2022
January-27,34.00,2022
January-28,27.00,2022
January-29,10.00,2022
January-30,8.00,2022
January-31,58.00,2022
February-01,15.00,2022
February-02,13.00,2022
February-03,38.00,2022
February-04,19.00,2022
February-05,23.00,2022
February-06,22.00,2022
February-07,25.00,2022
February-08,12.00,2022
February-09,10.00,2022
February-10,27.00,2022
February-11,29.00,2022
February-12,4.00,2022
February-13,16.00,2022
February-14,4.00,2022
February-15,11.00,2022
February-16,8.00,2022
February-17,2.00,2022
February-18,7.00,2022
February-19,4.00,2022
February-20,1.00,2022
February-21,10.00,2022
February-23,8.00,2022
February-24,3.00,2022
February-25,8.00,2022
February-27,2.00,2022
February-28,1.00,2022
March-01,2.00,2022
March-04,1.00,2022
March-06,2.00,2022
March-07,2.00,2022
March-08,1.00,2022
