Category,Confirmed case,Year
April-07,1.00,2020
April-08,1.00,2020
April-10,2.00,2020
April-13,5.00,2020
April-14,1.00,2020
April-15,1.00,2020
April-16,3.00,2020
April-17,4.00,2020
April-18,5.00,2020
April-20,4.00,2020
April-22,2.00,2020
April-23,1.00,2020
April-24,3.00,2020
April-25,1.00,2020
April-27,6.00,2020
April-28,23.00,2020
April-29,16.00,2020
April-30,9.00,2020
May-01,4.00,2020
May-02,6.00,2020
May-03,1.00,2020
May-05,3.00,2020
May-06,15.00,2020
May-07,5.00,2020
May-08,1.00,2020
May-12,10.00,2020
May-16,8.00,2020
May-17,22.00,2020
May-18,6.00,2020
May-19,4.00,2020
May-20,1.00,2020
May-21,1.00,2020
May-22,2.00,2020
May-23,11.00,2020
May-24,1.00,2020
May-25,21.00,2020
May-26,5.00,2020
May-27,31.00,2020
May-28,21.00,2020
May-29,17.00,2020
May-30,10.00,2020
May-31,15.00,2020
June-02,69.00,2020
June-03,45.00,2020
June-04,85.00,2020
June-05,15.00,2020
June-06,14.00,2020
June-07,29.00,2020
June-08,64.00,2020
June-09,35.00,2020
June-10,3.00,2020
June-11,27.00,2020
June-12,4.00,2020
June-13,119.00,2020
June-14,91.00,2020
June-15,70.00,2020
June-16,71.00,2020
June-17,109.00,2020
June-18,105.00,2020
June-19,34.00,2020
June-20,87.00,2020
June-21,118.00,2020
June-22,101.00,2020
June-23,112.00,2020
June-24,145.00,2020
June-25,136.00,2020
June-26,149.00,2020
June-27,90.00,2020
June-28,79.00,2020
June-29,62.00,2020
June-30,29.00,2020
July-01,73.00,2020
July-02,41.00,2020
July-03,98.00,2020
July-04,52.00,2020
July-05,72.00,2020
July-06,72.00,2020
July-07,99.00,2020
July-08,67.00,2020
July-09,93.00,2020
July-10,68.00,2020
July-11,82.00,2020
July-12,106.00,2020
July-13,59.00,2020
July-14,106.00,2020
July-15,77.00,2020
July-16,56.00,2020
July-17,77.00,2020
July-18,49.00,2020
July-19,68.00,2020
July-20,64.00,2020
July-21,37.00,2020
July-22,50.00,2020
July-23,43.00,2020
July-24,89.00,2020
July-25,100.00,2020
July-26,15.00,2020
July-27,102.00,2020
July-28,79.00,2020
July-29,67.00,2020
July-30,55.00,2020
July-31,33.00,2020
August-01,9.00,2020
August-02,51.00,2020
August-03,51.00,2020
August-04,64.00,2020
August-05,56.00,2020
August-06,53.00,2020
August-07,54.00,2020
August-08,50.00,2020
August-09,86.00,2020
August-10,51.00,2020
August-11,84.00,2020
August-12,42.00,2020
August-13,65.00,2020
August-14,52.00,2020
August-15,50.00,2020
August-16,61.00,2020
August-17,63.00,2020
August-18,82.00,2020
August-19,54.00,2020
August-20,53.00,2020
August-21,52.00,2020
August-22,14.00,2020
August-23,56.00,2020
August-24,62.00,2020
August-25,54.00,2020
August-26,42.00,2020
August-27,31.00,2020
August-28,46.00,2020
August-29,35.00,2020
August-30,55.00,2020
August-31,29.00,2020
September-01,67.00,2020
September-02,25.00,2020
September-03,25.00,2020
September-04,28.00,2020
September-05,41.00,2020
September-06,36.00,2020
September-07,42.00,2020
September-08,39.00,2020
September-09,22.00,2020
September-10,26.00,2020
September-11,32.00,2020
September-12,50.00,2020
September-13,37.00,2020
September-14,27.00,2020
September-15,24.00,2020
September-16,28.00,2020
September-17,23.00,2020
September-18,32.00,2020
September-19,7.00,2020
September-20,31.00,2020
September-21,20.00,2020
September-22,32.00,2020
September-23,31.00,2020
September-24,22.00,2020
September-25,18.00,2020
September-26,24.00,2020
September-27,20.00,2020
September-28,19.00,2020
September-29,26.00,2020
September-30,29.00,2020
October-01,8.00,2020
October-02,15.00,2020
October-03,18.00,2020
October-04,22.00,2020
October-05,14.00,2020
October-06,18.00,2020
October-07,29.00,2020
October-08,20.00,2020
October-09,22.00,2020
October-10,14.00,2020
October-11,30.00,2020
October-12,18.00,2020
October-13,19.00,2020
October-14,23.00,2020
October-15,24.00,2020
October-16,31.00,2020
October-17,11.00,2020
October-18,31.00,2020
October-19,23.00,2020
October-20,25.00,2020
October-21,17.00,2020
October-22,32.00,2020
October-23,28.00,2020
October-24,10.00,2020
October-25,32.00,2020
October-26,12.00,2020
October-27,18.00,2020
October-28,32.00,2020
October-29,31.00,2020
October-30,11.00,2020
October-31,21.00,2020
November-01,29.00,2020
November-02,26.00,2020
November-03,30.00,2020
November-04,25.00,2020
November-05,28.00,2020
November-06,28.00,2020
November-07,27.00,2020
November-08,24.00,2020
November-09,28.00,2020
November-10,22.00,2020
November-11,36.00,2020
November-12,37.00,2020
November-13,10.00,2020
November-14,25.00,2020
November-15,31.00,2020
November-16,35.00,2020
November-17,34.00,2020
November-18,28.00,2020
November-19,35.00,2020
November-20,10.00,2020
November-21,36.00,2020
November-22,70.00,2020
November-23,37.00,2020
November-24,20.00,2020
November-25,59.00,2020
November-26,49.00,2020
November-27,26.00,2020
November-28,17.00,2020
November-29,41.00,2020
November-30,11.00,2020
December-01,15.00,2020
December-02,7.00,2020
December-03,29.00,2020
December-04,22.00,2020
December-05,14.00,2020
December-06,41.00,2020
December-07,67.00,2020
December-08,43.00,2020
December-09,28.00,2020
December-10,21.00,2020
December-11,31.00,2020
December-12,27.00,2020
December-13,36.00,2020
December-14,29.00,2020
December-15,33.00,2020
December-16,30.00,2020
December-17,7.00,2020
December-18,32.00,2020
December-19,28.00,2020
December-20,27.00,2020
December-21,17.00,2020
December-22,32.00,2020
December-23,20.00,2020
December-24,18.00,2020
December-25,20.00,2020
December-26,17.00,2020
December-27,16.00,2020
December-28,22.00,2020
December-29,12.00,2020
December-30,15.00,2020
December-31,17.00,2020
January-01,17.00,2021
January-02,7.00,2021
January-03,24.00,2021
January-04,11.00,2021
January-05,30.00,2021
January-06,15.00,2021
January-07,14.00,2021
January-08,19.00,2021
January-09,9.00,2021
January-10,13.00,2021
January-11,12.00,2021
January-12,26.00,2021
January-13,11.00,2021
January-14,9.00,2021
January-15,14.00,2021
January-16,6.00,2021
January-17,17.00,2021
January-18,11.00,2021
January-19,5.00,2021
January-20,7.00,2021
January-21,10.00,2021
January-22,14.00,2021
January-23,2.00,2021
January-24,11.00,2021
January-25,16.00,2021
January-26,11.00,2021
January-27,17.00,2021
January-28,6.00,2021
January-29,7.00,2021
January-30,5.00,2021
January-31,4.00,2021
February-01,7.00,2021
February-02,7.00,2021
February-03,11.00,2021
February-04,8.00,2021
February-05,8.00,2021
February-06,6.00,2021
February-07,5.00,2021
February-08,2.00,2021
February-09,7.00,2021
February-10,3.00,2021
February-11,11.00,2021
February-12,8.00,2021
February-13,10.00,2021
February-14,9.00,2021
February-15,9.00,2021
February-16,3.00,2021
February-17,5.00,2021
February-18,11.00,2021
February-19,3.00,2021
February-20,7.00,2021
February-21,7.00,2021
February-22,7.00,2021
February-23,18.00,2021
February-24,7.00,2021
February-25,11.00,2021
February-26,9.00,2021
February-27,5.00,2021
February-28,13.00,2021
March-01,6.00,2021
March-02,9.00,2021
March-03,5.00,2021
March-04,12.00,2021
March-05,10.00,2021
March-06,5.00,2021
March-07,13.00,2021
March-08,16.00,2021
March-09,17.00,2021
March-10,24.00,2021
March-11,23.00,2021
March-12,12.00,2021
March-13,12.00,2021
March-14,31.00,2021
March-15,30.00,2021
March-16,14.00,2021
March-17,22.00,2021
March-18,25.00,2021
March-19,26.00,2021
March-20,16.00,2021
March-21,39.00,2021
March-22,48.00,2021
March-23,53.00,2021
March-24,27.00,2021
March-25,60.00,2021
March-26,88.00,2021
March-27,65.00,2021
March-28,67.00,2021
March-29,74.00,2021
March-30,82.00,2021
March-31,121.00,2021
April-01,124.00,2021
April-02,86.00,2021
April-03,82.00,2021
April-04,75.00,2021
April-05,146.00,2021
April-06,133.00,2021
April-07,117.00,2021
April-08,104.00,2021
April-09,129.00,2021
April-10,122.00,2021
April-11,113.00,2021
April-12,102.00,2021
April-13,90.00,2021
April-14,75.00,2021
April-15,112.00,2021
April-16,84.00,2021
April-17,26.00,2021
April-18,109.00,2021
April-19,119.00,2021
April-20,102.00,2021
April-21,81.00,2021
April-22,78.00,2021
April-23,78.00,2021
April-24,86.00,2021
April-25,79.00,2021
April-26,88.00,2021
April-27,55.00,2021
April-28,76.00,2021
April-29,89.00,2021
April-30,65.00,2021
May-01,38.00,2021
May-02,29.00,2021
May-03,64.00,2021
May-04,60.00,2021
May-05,57.00,2021
May-06,53.00,2021
May-07,46.00,2021
May-08,38.00,2021
May-09,48.00,2021
May-10,61.00,2021
May-11,25.00,2021
May-12,46.00,2021
May-13,29.00,2021
May-14,7.00,2021
May-15,4.00,2021
May-16,14.00,2021
May-17,39.00,2021
May-18,58.00,2021
May-19,28.00,2021
May-20,27.00,2021
May-21,30.00,2021
May-22,6.00,2021
May-23,37.00,2021
May-24,38.00,2021
May-25,35.00,2021
May-26,14.00,2021
May-27,18.00,2021
May-28,17.00,2021
May-29,13.00,2021
May-30,33.00,2021
May-31,40.00,2021
June-01,35.00,2021
June-02,22.00,2021
June-03,23.00,2021
June-04,28.00,2021
June-05,10.00,2021
June-06,26.00,2021
June-07,32.00,2021
June-08,33.00,2021
June-09,26.00,2021
June-10,26.00,2021
June-11,9.00,2021
June-12,7.00,2021
June-13,56.00,2021
June-14,33.00,2021
June-15,61.00,2021
June-16,46.00,2021
June-17,42.00,2021
June-18,46.00,2021
June-19,27.00,2021
June-20,68.00,2021
