Category,Confirmed case,Year
April-10,5.00,2020
April-16,2.00,2020
April-17,1.00,2020
April-18,1.00,2020
April-19,2.00,2020
April-22,2.00,2020
April-23,1.00,2020
April-24,1.00,2020
April-26,2.00,2020
April-27,6.00,2020
April-28,6.00,2020
April-29,5.00,2020
April-30,9.00,2020
May-01,3.00,2020
May-02,1.00,2020
May-05,13.00,2020
May-11,1.00,2020
May-12,8.00,2020
May-16,23.00,2020
May-17,13.00,2020
May-18,10.00,2020
May-19,27.00,2020
May-20,21.00,2020
May-21,15.00,2020
May-22,25.00,2020
May-23,21.00,2020
May-24,49.00,2020
May-25,15.00,2020
May-26,35.00,2020
May-27,44.00,2020
May-28,52.00,2020
May-29,57.00,2020
May-30,23.00,2020
May-31,55.00,2020
June-01,67.00,2020
June-02,63.00,2020
June-03,20.00,2020
June-06,93.00,2020
June-07,33.00,2020
June-08,96.00,2020
June-09,93.00,2020
June-10,86.00,2020
June-11,62.00,2020
June-12,39.00,2020
June-13,72.00,2020
June-14,68.00,2020
June-15,88.00,2020
June-16,79.00,2020
June-17,82.00,2020
June-18,103.00,2020
June-19,164.00,2020
June-20,27.00,2020
June-21,69.00,2020
June-22,136.00,2020
June-23,114.00,2020
June-24,114.00,2020
June-25,89.00,2020
June-26,65.00,2020
June-27,40.00,2020
June-28,86.00,2020
June-29,72.00,2020
June-30,75.00,2020
July-01,58.00,2020
July-02,46.00,2020
July-03,53.00,2020
July-04,6.00,2020
July-05,51.00,2020
July-06,27.00,2020
July-07,45.00,2020
July-08,24.00,2020
July-09,42.00,2020
July-10,23.00,2020
July-11,10.00,2020
July-12,26.00,2020
July-13,24.00,2020
July-14,37.00,2020
July-15,20.00,2020
July-16,19.00,2020
July-17,34.00,2020
July-18,2.00,2020
July-19,18.00,2020
July-20,19.00,2020
July-21,14.00,2020
July-22,11.00,2020
July-23,25.00,2020
July-24,20.00,2020
July-25,24.00,2020
July-26,3.00,2020
July-27,20.00,2020
July-28,14.00,2020
July-29,31.00,2020
July-30,26.00,2020
July-31,23.00,2020
August-01,19.00,2020
August-02,3.00,2020
August-03,40.00,2020
August-04,17.00,2020
August-05,31.00,2020
August-06,25.00,2020
August-07,33.00,2020
August-08,21.00,2020
August-09,34.00,2020
August-10,37.00,2020
August-11,24.00,2020
August-12,7.00,2020
August-13,30.00,2020
August-14,25.00,2020
August-15,15.00,2020
August-16,12.00,2020
August-17,39.00,2020
August-18,20.00,2020
August-19,34.00,2020
August-20,19.00,2020
August-21,27.00,2020
August-22,25.00,2020
August-23,12.00,2020
August-24,23.00,2020
August-25,19.00,2020
August-26,31.00,2020
August-27,17.00,2020
August-28,31.00,2020
August-29,13.00,2020
August-30,12.00,2020
August-31,16.00,2020
September-01,21.00,2020
September-02,46.00,2020
September-03,9.00,2020
September-04,27.00,2020
September-05,19.00,2020
September-06,29.00,2020
September-07,34.00,2020
September-08,53.00,2020
September-09,50.00,2020
September-10,13.00,2020
September-11,34.00,2020
