Category,Confirmed case,Year
March-19,1.00,2020
March-20,1.00,2020
March-22,1.00,2020
March-25,1.00,2020
March-26,1.00,2020
March-27,1.00,2020
March-31,1.00,2020
April-04,17.00,2020
April-05,7.00,2020
April-06,15.00,2020
April-07,14.00,2020
April-08,79.00,2020
April-09,45.00,2020
April-10,44.00,2020
April-11,19.00,2020
April-12,41.00,2020
April-13,43.00,2020
April-14,73.00,2020
April-15,99.00,2020
April-16,154.00,2020
April-17,133.00,2020
April-18,138.00,2020
April-19,146.00,2020
April-20,145.00,2020
April-21,195.00,2020
April-22,153.00,2020
April-23,106.00,2020
April-24,210.00,2020
April-25,130.00,2020
April-26,230.00,2020
April-27,209.00,2020
April-28,298.00,2020
April-29,425.00,2020
April-30,390.00,2020
May-01,359.00,2020
May-02,254.00,2020
May-03,267.00,2020
May-04,278.00,2020
May-05,260.00,2020
May-06,210.00,2020
May-07,224.00,2020
May-08,385.00,2020
May-09,257.00,2020
May-10,194.00,2020
May-11,171.00,2020
May-12,47.00,2020
May-13,93.00,2020
May-14,75.00,2020
May-15,61.00,2020
May-16,267.00,2020
May-17,115.00,2020
May-18,263.00,2020
May-19,291.00,2020
May-20,219.00,2020
May-21,425.00,2020
May-22,167.00,2020
May-23,291.00,2020
May-24,478.00,2020
May-25,161.00,2020
May-26,227.00,2020
May-27,234.00,2020
May-28,528.00,2020
May-29,374.00,2020
May-30,404.00,2020
May-31,402.00,2020
June-01,360.00,2020
June-02,469.00,2020
June-03,438.00,2020
June-04,377.00,2020
June-05,517.00,2020
June-06,294.00,2020
June-07,389.00,2020
June-08,456.00,2020
June-09,370.00,2020
June-10,560.00,2020
June-11,546.00,2020
June-12,724.00,2020
June-13,612.00,2020
June-14,515.00,2020
June-15,580.00,2020
June-16,806.00,2020
June-17,828.00,2020
June-18,888.00,2020
June-19,785.00,2020
June-20,934.00,2020
June-21,844.00,2020
June-22,1105.00,2020
June-23,981.00,2020
June-24,849.00,2020
June-25,998.00,2020
June-26,683.00,2020
June-27,1201.00,2020
June-28,1159.00,2020
June-29,1167.00,2020
June-30,901.00,2020
July-01,948.00,2020
July-02,742.00,2020
July-03,719.00,2020
July-04,600.00,2020
July-05,722.00,2020
July-06,751.00,2020
July-07,832.00,2020
July-08,890.00,2020
July-09,767.00,2020
July-10,626.00,2020
July-11,703.00,2020
July-12,1065.00,2020
July-13,845.00,2020
July-14,1039.00,2020
July-15,924.00,2020
July-16,797.00,2020
July-17,521.00,2020
July-18,888.00,2020
July-19,1019.00,2020
July-20,1017.00,2020
