Category,Confirmed case,Year
April-09,1.00,2020
April-11,1.00,2020
April-14,4.00,2020
April-15,1.00,2020
April-17,3.00,2020
April-18,2.00,2020
April-19,1.00,2020
April-20,2.00,2020
April-21,1.00,2020
April-22,1.00,2020
April-23,1.00,2020
April-24,3.00,2020
April-25,1.00,2020
April-26,3.00,2020
April-27,6.00,2020
April-28,1.00,2020
April-29,1.00,2020
April-30,2.00,2020
May-01,1.00,2020
May-02,3.00,2020
May-04,2.00,2020
May-05,8.00,2020
May-06,3.00,2020
May-07,4.00,2020
May-08,2.00,2020
May-09,3.00,2020
May-15,16.00,2020
May-16,1.00,2020
May-17,2.00,2020
May-18,8.00,2020
May-19,7.00,2020
May-20,5.00,2020
May-23,1.00,2020
May-24,10.00,2020
May-25,2.00,2020
May-26,13.00,2020
May-27,31.00,2020
May-28,9.00,2020
May-29,26.00,2020
May-30,12.00,2020
May-31,3.00,2020
June-01,5.00,2020
June-02,23.00,2020
June-03,14.00,2020
June-04,3.00,2020
June-05,10.00,2020
June-06,26.00,2020
June-07,11.00,2020
June-08,7.00,2020
June-09,15.00,2020
June-10,16.00,2020
June-11,24.00,2020
June-12,7.00,2020
June-13,16.00,2020
June-14,18.00,2020
June-15,14.00,2020
June-16,15.00,2020
June-17,20.00,2020
June-18,13.00,2020
June-19,17.00,2020
June-20,16.00,2020
June-21,19.00,2020
June-22,5.00,2020
June-23,11.00,2020
June-24,12.00,2020
June-25,29.00,2020
June-26,12.00,2020
June-27,17.00,2020
June-28,14.00,2020
June-29,15.00,2020
June-30,17.00,2020
July-01,36.00,2020
July-02,50.00,2020
July-03,53.00,2020
July-04,17.00,2020
July-05,20.00,2020
July-06,14.00,2020
July-07,15.00,2020
July-08,42.00,2020
July-09,36.00,2020
July-10,33.00,2020
July-11,28.00,2020
July-12,28.00,2020
July-13,29.00,2020
July-14,41.00,2020
July-15,36.00,2020
July-16,42.00,2020
July-17,31.00,2020
July-18,38.00,2020
July-19,43.00,2020
July-20,20.00,2020
July-21,38.00,2020
July-22,33.00,2020
July-23,34.00,2020
July-24,30.00,2020
July-25,31.00,2020
July-26,45.00,2020
July-27,51.00,2020
July-28,50.00,2020
July-29,17.00,2020
July-30,33.00,2020
July-31,45.00,2020
August-01,9.00,2020
August-02,20.00,2020
August-03,15.00,2020
August-04,80.00,2020
August-05,43.00,2020
August-06,36.00,2020
August-07,57.00,2020
August-08,57.00,2020
August-09,49.00,2020
August-10,40.00,2020
August-11,19.00,2020
August-12,66.00,2020
August-13,50.00,2020
August-14,49.00,2020
August-15,97.00,2020
August-16,32.00,2020
August-17,69.00,2020
August-18,38.00,2020
August-19,44.00,2020
August-20,26.00,2020
August-21,42.00,2020
August-22,39.00,2020
August-23,40.00,2020
August-24,38.00,2020
August-25,31.00,2020
August-26,56.00,2020
August-27,38.00,2020
August-28,42.00,2020
August-29,31.00,2020
August-30,32.00,2020
August-31,57.00,2020
September-01,28.00,2020
September-02,40.00,2020
September-04,14.00,2020
September-07,18.00,2020
September-08,9.00,2020
September-09,26.00,2020
September-12,10.00,2020
September-14,4.00,2020
September-15,2.00,2020
September-16,10.00,2020
September-17,36.00,2020
September-18,11.00,2020
September-19,11.00,2020
September-20,27.00,2020
September-21,10.00,2020
September-22,8.00,2020
September-23,6.00,2020
September-24,5.00,2020
September-25,5.00,2020
September-26,9.00,2020
September-27,8.00,2020
September-28,6.00,2020
September-29,7.00,2020
September-30,6.00,2020
October-01,14.00,2020
October-02,4.00,2020
October-03,14.00,2020
October-04,8.00,2020
October-05,12.00,2020
October-06,11.00,2020
October-07,13.00,2020
October-08,8.00,2020
October-10,12.00,2020
October-11,5.00,2020
October-12,8.00,2020
October-13,9.00,2020
October-14,8.00,2020
October-15,4.00,2020
October-16,7.00,2020
October-17,10.00,2020
October-18,15.00,2020
October-19,5.00,2020
October-20,13.00,2020
October-21,12.00,2020
October-22,15.00,2020
October-23,8.00,2020
October-24,17.00,2020
October-25,6.00,2020
October-26,10.00,2020
October-27,7.00,2020
October-28,8.00,2020
October-29,15.00,2020
October-30,1.00,2020
October-31,15.00,2020
November-01,13.00,2020
November-02,18.00,2020
November-03,14.00,2020
November-04,13.00,2020
November-05,27.00,2020
November-06,11.00,2020
November-07,9.00,2020
November-08,7.00,2020
November-09,14.00,2020
November-10,14.00,2020
November-11,6.00,2020
November-12,18.00,2020
November-13,1.00,2020
November-14,16.00,2020
November-15,2.00,2020
November-16,11.00,2020
November-17,22.00,2020
November-18,18.00,2020
November-19,22.00,2020
November-20,18.00,2020
November-21,13.00,2020
November-22,13.00,2020
November-23,23.00,2020
November-24,15.00,2020
November-25,14.00,2020
November-26,31.00,2020
November-28,11.00,2020
November-29,21.00,2020
November-30,16.00,2020
December-01,10.00,2020
December-02,13.00,2020
December-03,18.00,2020
December-04,16.00,2020
December-05,20.00,2020
December-06,12.00,2020
December-07,10.00,2020
December-08,18.00,2020
December-09,26.00,2020
December-10,17.00,2020
December-11,5.00,2020
December-12,36.00,2020
December-13,19.00,2020
December-14,34.00,2020
December-15,16.00,2020
December-16,16.00,2020
December-17,17.00,2020
December-18,21.00,2020
December-19,10.00,2020
December-20,21.00,2020
December-21,20.00,2020
December-22,11.00,2020
December-23,11.00,2020
December-24,20.00,2020
December-26,22.00,2020
December-27,11.00,2020
December-28,11.00,2020
December-29,9.00,2020
December-30,5.00,2020
December-31,15.00,2020
January-01,14.00,2021
January-02,2.00,2021
January-03,9.00,2021
January-04,12.00,2021
January-05,8.00,2021
January-06,13.00,2021
January-07,7.00,2021
January-08,17.00,2021
January-09,5.00,2021
January-10,15.00,2021
January-11,4.00,2021
January-12,16.00,2021
January-13,9.00,2021
January-14,9.00,2021
January-15,11.00,2021
January-16,1.00,2021
January-17,9.00,2021
January-18,6.00,2021
January-19,1.00,2021
January-20,7.00,2021
January-21,10.00,2021
January-23,10.00,2021
January-24,5.00,2021
January-25,4.00,2021
January-26,5.00,2021
January-27,2.00,2021
January-28,5.00,2021
January-29,6.00,2021
January-30,3.00,2021
February-01,3.00,2021
February-02,4.00,2021
February-03,3.00,2021
February-04,3.00,2021
February-05,4.00,2021
February-06,2.00,2021
February-07,3.00,2021
February-08,2.00,2021
February-09,4.00,2021
February-10,2.00,2021
February-11,1.00,2021
February-13,1.00,2021
February-14,5.00,2021
February-15,4.00,2021
February-16,3.00,2021
February-17,2.00,2021
February-20,1.00,2021
February-21,1.00,2021
February-22,1.00,2021
February-23,1.00,2021
February-26,1.00,2021
February-27,3.00,2021
March-01,1.00,2021
March-02,1.00,2021
March-06,4.00,2021
March-07,1.00,2021
March-08,1.00,2021
March-09,4.00,2021
March-10,5.00,2021
March-11,8.00,2021
March-13,2.00,2021
March-14,6.00,2021
March-15,13.00,2021
March-16,3.00,2021
March-17,13.00,2021
March-18,6.00,2021
March-19,3.00,2021
March-20,2.00,2021
March-21,4.00,2021
March-22,3.00,2021
March-23,18.00,2021
March-24,24.00,2021
March-25,23.00,2021
March-26,3.00,2021
March-27,19.00,2021
March-28,18.00,2021
March-29,17.00,2021
March-30,18.00,2021
