Category,Confirmed case,Year
April-09,1.00,2020
April-15,1.00,2020
April-16,1.00,2020
April-18,1.00,2020
April-20,1.00,2020
April-22,1.00,2020
April-26,1.00,2020
April-27,2.00,2020
April-29,1.00,2020
May-03,1.00,2020
May-05,8.00,2020
May-09,5.00,2020
May-10,6.00,2020
May-11,4.00,2020
May-12,8.00,2020
May-13,1.00,2020
May-14,4.00,2020
May-15,2.00,2020
May-16,1.00,2020
May-17,2.00,2020
May-19,22.00,2020
May-20,2.00,2020
May-23,11.00,2020
May-24,11.00,2020
May-26,12.00,2020
May-27,2.00,2020
May-28,23.00,2020
May-29,20.00,2020
May-30,8.00,2020
May-31,20.00,2020
June-01,20.00,2020
June-02,33.00,2020
June-03,31.00,2020
June-04,68.00,2020
June-05,11.00,2020
June-06,67.00,2020
June-07,31.00,2020
June-08,60.00,2020
June-09,4.00,2020
June-10,55.00,2020
June-11,72.00,2020
June-12,59.00,2020
June-13,32.00,2020
June-14,46.00,2020
June-15,49.00,2020
June-16,103.00,2020
June-17,29.00,2020
June-18,53.00,2020
June-19,54.00,2020
June-20,104.00,2020
June-21,48.00,2020
June-22,87.00,2020
June-23,126.00,2020
June-24,66.00,2020
June-25,110.00,2020
June-26,97.00,2020
June-27,89.00,2020
June-28,91.00,2020
June-29,47.00,2020
June-30,79.00,2020
July-01,111.00,2020
July-02,89.00,2020
July-03,131.00,2020
July-04,117.00,2020
July-05,134.00,2020
July-06,89.00,2020
July-07,124.00,2020
July-08,124.00,2020
July-09,127.00,2020
July-10,123.00,2020
July-11,133.00,2020
July-12,122.00,2020
July-13,190.00,2020
July-14,114.00,2020
July-15,61.00,2020
July-16,49.00,2020
July-17,53.00,2020
July-18,46.00,2020
July-19,78.00,2020
July-20,131.00,2020
July-21,95.00,2020
July-22,67.00,2020
July-23,76.00,2020
July-24,35.00,2020
July-25,36.00,2020
July-26,82.00,2020
July-27,47.00,2020
July-28,83.00,2020
July-29,43.00,2020
July-30,52.00,2020
July-31,61.00,2020
August-01,19.00,2020
August-02,26.00,2020
August-03,62.00,2020
August-04,76.00,2020
August-05,72.00,2020
August-06,105.00,2020
August-07,83.00,2020
August-08,19.00,2020
August-09,118.00,2020
August-10,113.00,2020
August-11,56.00,2020
August-12,54.00,2020
August-13,84.00,2020
August-14,42.00,2020
August-15,29.00,2020
August-16,46.00,2020
August-17,43.00,2020
August-18,33.00,2020
August-19,53.00,2020
August-20,27.00,2020
August-21,36.00,2020
August-22,21.00,2020
August-23,54.00,2020
August-24,62.00,2020
August-25,47.00,2020
August-26,46.00,2020
August-27,3.00,2020
August-28,1.00,2020
August-29,95.00,2020
August-30,2.00,2020
August-31,7.00,2020
September-01,115.00,2020
September-02,35.00,2020
September-03,44.00,2020
September-04,30.00,2020
September-05,3.00,2020
September-06,35.00,2020
September-07,37.00,2020
September-08,22.00,2020
September-09,34.00,2020
September-10,21.00,2020
September-11,20.00,2020
September-12,15.00,2020
September-13,32.00,2020
September-14,14.00,2020
September-15,16.00,2020
September-16,31.00,2020
September-17,19.00,2020
September-18,20.00,2020
September-19,7.00,2020
September-20,22.00,2020
September-21,21.00,2020
September-22,14.00,2020
September-23,20.00,2020
September-24,30.00,2020
September-25,13.00,2020
September-26,4.00,2020
September-27,14.00,2020
September-28,19.00,2020
September-29,18.00,2020
September-30,11.00,2020
October-01,19.00,2020
October-02,12.00,2020
October-03,10.00,2020
October-04,6.00,2020
October-05,8.00,2020
October-06,13.00,2020
October-07,8.00,2020
October-08,14.00,2020
October-09,10.00,2020
October-10,8.00,2020
October-11,9.00,2020
October-12,6.00,2020
October-13,16.00,2020
October-14,14.00,2020
October-15,14.00,2020
October-16,12.00,2020
October-17,6.00,2020
October-18,12.00,2020
October-19,10.00,2020
