Category,Confirmed case,Year
April-17,1.00,2020
April-20,1.00,2020
April-26,1.00,2020
April-28,1.00,2020
April-29,2.00,2020
April-30,1.00,2020
May-19,1.00,2020
May-20,1.00,2020
May-23,5.00,2020
May-29,1.00,2020
June-01,1.00,2020
June-02,10.00,2020
June-03,1.00,2020
June-04,13.00,2020
June-05,7.00,2020
June-06,6.00,2020
June-07,25.00,2020
June-08,4.00,2020
June-09,11.00,2020
June-10,12.00,2020
June-11,28.00,2020
June-12,28.00,2020
June-13,5.00,2020
June-14,14.00,2020
June-15,43.00,2020
June-16,50.00,2020
June-17,34.00,2020
June-18,3.00,2020
June-19,7.00,2020
June-20,2.00,2020
June-21,1.00,2020
June-22,2.00,2020
June-23,40.00,2020
June-24,75.00,2020
June-25,43.00,2020
June-26,33.00,2020
June-27,10.00,2020
June-28,16.00,2020
June-29,11.00,2020
June-30,4.00,2020
July-01,10.00,2020
July-02,5.00,2020
July-03,19.00,2020
July-04,11.00,2020
July-05,2.00,2020
July-06,31.00,2020
July-07,27.00,2020
July-08,20.00,2020
July-09,31.00,2020
July-10,8.00,2020
July-11,17.00,2020
July-12,13.00,2020
July-13,21.00,2020
July-14,11.00,2020
July-15,5.00,2020
July-16,10.00,2020
July-17,1.00,2020
July-18,35.00,2020
July-19,17.00,2020
July-20,20.00,2020
July-21,2.00,2020
July-22,22.00,2020
July-23,56.00,2020
July-24,12.00,2020
July-25,19.00,2020
July-26,27.00,2020
July-27,24.00,2020
July-28,32.00,2020
July-29,18.00,2020
July-30,28.00,2020
July-31,29.00,2020
August-01,2.00,2020
August-02,4.00,2020
August-03,7.00,2020
August-04,16.00,2020
August-05,25.00,2020
August-06,22.00,2020
August-07,1.00,2020
August-08,28.00,2020
August-09,21.00,2020
August-10,35.00,2020
August-11,27.00,2020
August-12,2.00,2020
August-13,33.00,2020
August-14,2.00,2020
August-15,12.00,2020
August-16,18.00,2020
August-17,23.00,2020
August-18,20.00,2020
August-19,21.00,2020
August-20,20.00,2020
August-21,7.00,2020
August-22,16.00,2020
