Category,Confirmed case,Year
Mar-27,1,2020
Apr-06,1,2020
Apr-07,2,2020
Apr-11,1,2020
Apr-12,1,2020
Apr-13,2,2020
Apr-14,4,2020
Apr-15,1,2020
Apr-19,1,2020
Apr-22,3,2020
Apr-23,1,2020
Apr-24,1,2020
Apr-26,1,2020
Apr-27,1,2020
Apr-28,1,2020
Apr-29,1,2020
May-10,1,2020
May-15,1,2020
May-20,1,2020
May-21,1,2020
May-24,1,2020
May-27,4,2020
May-29,5,2020
May-30,9,2020
May-31,2,2020
Jun-01,2,2020
Jun-02,2,2020
Jun-03,6,2020
Jun-04,3,2020
Jun-05,2,2020
Jun-06,9,2020
Jun-07,3,2020
Jun-08,5,2020
Jun-09,29,2020
Jun-10,8,2020
Jun-11,11,2020
Jun-12,5,2020
Jun-13,12,2020
Jun-14,10,2020
Jun-15,5,2020
Jun-16,10,2020
Jun-17,10,2020
Jun-18,5,2020
Jun-19,9,2020
Jun-20,5,2020
Jun-21,4,2020
Jun-22,9,2020
Jun-23,1,2020
Jun-24,11,2020
Jun-25,10,2020
Jun-26,11,2020
Jun-27,9,2020
Jun-28,12,2020
Jun-29,6,2020
Jun-30,6,2020
Jul-01,76,2020
Jul-02,9,2020
Jul-03,14,2020
Jul-04,15,2020
Jul-05,15,2020
Jul-06,11,2020
Jul-07,7,2020
Jul-08,6,2020
Jul-09,15,2020
Jul-10,13,2020
Jul-11,11,2020
Jul-12,12,2020
Jul-13,9,2020
Jul-14,8,2020
Jul-15,14,2020
Jul-16,12,2020
Jul-17,4,2020
Jul-18,12,2020
Jul-19,15,2020
Jul-20,15,2020
Jul-21,10,2020
Jul-22,15,2020
Jul-23,8,2020
Jul-24,11,2020
Jul-25,17,2020
Jul-26,7,2020
Jul-27,7,2020
Jul-28,14,2020
Jul-29,8,2020
Jul-30,10,2020
Jul-31,7,2020
Aug-01,3,2020
Aug-02,18,2020
Aug-03,11,2020
Aug-04,7,2020
Aug-05,10,2020
Aug-06,8,2020
Aug-07,7,2020
Aug-08,18,2020
Aug-09,10,2020
Aug-10,8,2020
Aug-11,13,2020
Aug-12,11,2020
Aug-13,14,2020
Aug-14,15,2020
Aug-15,28,2020
Aug-16,3,2020
Aug-17,17,2020
Aug-18,8,2020
Aug-19,12,2020
Aug-20,10,2020
Aug-21,9,2020
Aug-22,6,2020
Aug-23,8,2020
Aug-24,10,2020
Aug-25,11,2020
Aug-26,12,2020
Aug-27,5,2020
Aug-28,10,2020
Aug-29,11,2020
Aug-30,54,2020
Aug-31,18,2020
Sep-01,17,2020
Sep-02,10,2020
Sep-03,2,2020
Sep-04,16,2020
Sep-05,12,2020
Sep-06,12,2020
Sep-07,6,2020
Sep-08,6,2020
Sep-09,8,2020
Sep-10,5,2020
Sep-11,7,2020
Sep-12,4,2020
Sep-13,7,2020
Sep-14,6,2020
Sep-15,4,2020
Sep-16,8,2020
Sep-17,2,2020
Sep-18,6,2020
Sep-19,4,2020
Sep-20,11,2020
Sep-21,8,2020
Sep-22,4,2020
Sep-23,6,2020
Sep-24,6,2020
Sep-25,2,2020
Sep-26,8,2020
Sep-27,7,2020
Sep-28,3,2020
Sep-29,10,2020
Sep-30,5,2020
Oct-01,5,2020
Oct-02,4,2020
Oct-03,9,2020
Oct-04,1,2020
Oct-06,1,2020
Oct-07,1,2020
Oct-09,3,2020
Oct-11,1,2020
Oct-12,2,2020
Oct-13,3,2020
Oct-14,3,2020
Oct-15,2,2020
Oct-16,1,2020
Oct-17,1,2020
Oct-18,3,2020
Oct-20,3,2020
Oct-21,3,2020
Oct-24,2,2020
Oct-25,1,2020
Oct-26,7,2020
Oct-27,4,2020
Oct-29,2,2020
Oct-30,2,2020
Oct-31,1,2020
Nov-02,2,2020
Nov-03,4,2020
Nov-04,1,2020
Nov-05,3,2020
Nov-06,4,2020
Nov-09,8,2020
Nov-10,1,2020
Nov-11,8,2020
Nov-12,2,2020
Nov-13,5,2020
Nov-14,5,2020
Nov-15,1,2020
Nov-16,15,2020
Nov-17,4,2020
Nov-18,8,2020
Nov-19,9,2020
Nov-20,5,2020
Nov-21,3,2020
Nov-22,1,2020
Nov-23,5,2020
Nov-24,3,2020
Nov-25,8,2020
Nov-27,5,2020
Nov-28,5,2020
Nov-29,2,2020
Nov-30,6,2020
Dec-01,1,2020
Dec-02,6,2020
Dec-03,11,2020
Dec-04,11,2020
Dec-05,7,2020
Dec-06,6,2020
Dec-07,3,2020
Dec-08,7,2020
Dec-09,3,2020
Dec-10,4,2020
Dec-11,4,2020
Dec-12,9,2020
Dec-13,4,2020
Dec-14,6,2020
Dec-15,6,2020
Dec-16,3,2020
Dec-17,3,2020
Dec-18,1,2020
Dec-19,7,2020
Dec-20,1,2020
Dec-21,1,2020
Dec-22,4,2020
Dec-23,2,2020
Dec-25,2,2020
Dec-26,1,2020
Dec-28,2,2020
Dec-29,4,2020
Dec-30,2,2020
Dec-31,1,2020
Jan-04,2,2021
Jan-05,4,2021
Jan-06,2,2021
Jan-07,2,2021
Jan-08,1,2021
Jan-09,2,2021
Jan-10,1,2021
Jan-12,3,2021
Jan-13,1,2021
Jan-14,2,2021
Jan-17,1,2021
Jan-18,1,2021
Jan-20,1,2021
Jan-21,1,2021
Jan-22,3,2021
Jan-24,2,2021
Jan-25,1,2021
Jan-26,2,2021
Jan-28,1,2021
Feb-03,1,2021
Feb-13,1,2021
Feb-15,1,2021
Feb-17,3,2021
Feb-18,1,2021
Feb-19,1,2021
Feb-23,1,2021
Feb-28,1,2021
Mar-01,1,2021
Mar-02,1,2021
Mar-03,2,2021
Mar-09,3,2021
Mar-10,4,2021
Mar-13,1,2021
Mar-14,1,2021
Mar-16,2,2021
Mar-18,1,2021
Mar-20,3,2021
Mar-21,1,2021
Mar-22,3,2021
Mar-23,2,2021
Mar-24,3,2021
Mar-25,8,2021
Mar-26,4,2021
Mar-27,5,2021
Mar-28,3,2021
Mar-29,8,2021
Mar-30,3,2021
Mar-31,5,2021
Apr-01,11,2021
Apr-02,4,2021
Apr-03,17,2021
Apr-04,5,2021
Apr-05,12,2021
Apr-06,22,2021
Apr-07,4,2021
Apr-08,20,2021
Apr-09,9,2021
Apr-10,3,2021
Apr-11,9,2021
Apr-12,7,2021
Apr-13,11,2021
Apr-14,8,2021
Apr-15,14,2021
Apr-16,8,2021
Apr-17,10,2021
Apr-18,10,2021
Apr-19,8,2021
Apr-20,8,2021
Apr-21,8,2021
Apr-22,11,2021
Apr-23,5,2021
Apr-24,3,2021
Apr-25,3,2021
Apr-26,5,2021
Apr-27,4,2021
Apr-28,8,2021
Apr-29,4,2021
Apr-30,5,2021
May-01,2,2021
May-02,4,2021
May-03,1,2021
May-04,3,2021
May-05,2,2021
May-06,1,2021
May-07,2,2021
May-08,3,2021
May-09,3,2021
May-10,5,2021
May-11,2,2021
May-13,1,2021
May-15,1,2021
May-17,1,2021
May-18,3,2021
May-20,5,2021
May-21,1,2021
May-22,3,2021
May-23,3,2021
May-24,3,2021
May-25,3,2021
May-26,1,2021
May-27,7,2021
May-28,3,2021
May-29,2,2021
May-31,1,2021
Jun-01,3,2021
Jun-02,3,2021
Jun-03,2,2021
Jun-04,5,2021
Jun-05,2,2021
Jun-06,3,2021
Jun-07,8,2021
Jun-08,2,2021
Jun-09,5,2021
Jun-10,5,2021
Jun-11,1,2021
Jun-12,4,2021
Jun-13,2,2021
Jun-14,7,2021
Jun-15,2,2021
Jun-16,10,2021
Jun-17,8,2021
Jun-18,4,2021
Jun-19,8,2021
Jun-20,7,2021
Jun-21,2,2021
Jun-22,8,2021
Jun-23,23,2021
Jun-24,9,2021
Jun-25,11,2021
Jun-26,19,2021
Jun-27,19,2021
Jun-28,29,2021
Jun-29,22,2021
Jun-30,60,2021
Jul-01,49,2021
Jul-02,20,2021
Jul-03,27,2021
Jul-04,19,2021
Jul-05,21,2021
Jul-06,54,2021
Jul-07,70,2021
Jul-08,35,2021
Jul-09,18,2021
Jul-10,49,2021
Jul-11,48,2021
Jul-12,34,2021
Jul-13,36,2021
Jul-14,33,2021
Jul-15,65,2021
Jul-16,74,2021
Jul-17,39,2021
Jul-18,68,2021
Jul-19,30,2021
Jul-20,27,2021
Jul-21,10,2021
Jul-22,23,2021
Jul-23,22,2021
Jul-24,51,2021
Jul-25,36,2021
Jul-26,64,2021
Jul-27,43,2021
Jul-28,60,2021
Jul-29,67,2021
Jul-30,20,2021
Jul-31,46,2021
Aug-01,21,2021
Aug-02,40,2021
Aug-03,28,2021
Aug-04,29,2021
Aug-05,27,2021
Aug-06,45,2021
Aug-07,19,2021
Aug-08,23,2021
Aug-09,25,2021
Aug-10,64,2021
Aug-11,26,2021
Aug-12,21,2021
Aug-13,11,2021
Aug-14,11,2021
Aug-15,14,2021
Aug-16,14,2021
Aug-17,17,2021
Aug-18,38,2021
Aug-19,24,2021
Aug-20,9,2021
Aug-21,15,2021
Aug-22,11,2021
Aug-23,10,2021
Aug-24,25,2021
Aug-25,71,2021
Aug-26,29,2021
Aug-27,6,2021
Aug-28,4,2021
Aug-29,5,2021
Aug-30,7,2021
Aug-31,5,2021
Sep-01,7,2021
Sep-02,7,2021
Sep-04,9,2021
Sep-05,5,2021
Sep-06,7,2021
Sep-07,30,2021
Sep-08,24,2021
Sep-09,33,2021
Sep-10,23,2021
Sep-11,7,2021
Sep-12,2,2021
Sep-13,1,2021
Sep-14,10,2021
Sep-15,3,2021
Sep-16,16,2021
Sep-17,1,2021
Sep-18,3,2021
Sep-19,2,2021
Sep-20,2,2021
Sep-21,2,2021
Sep-22,2,2021
Sep-23,2,2021
Sep-24,1,2021
Sep-25,6,2021
Sep-26,2,2021
Sep-28,1,2021
Sep-29,1,2021
Sep-30,1,2021
Oct-01,1,2021
Oct-03,1,2021
Oct-04,3,2021
Oct-05,1,2021
Oct-07,1,2021
Oct-13,1,2021
Oct-18,1,2021
Oct-20,1,2021
Oct-22,1,2021
Oct-30,1,2021
Oct-31,1,2021
Nov-01,1,2021
Nov-03,1,2021
Nov-06,2,2021
