Category,Confirmed case,Year
April-07,1.00,2020
April-08,7.00,2020
April-09,8.00,2020
April-10,2.00,2020
April-11,4.00,2020
April-12,7.00,2020
April-13,17.00,2020
April-14,19.00,2020
April-15,24.00,2020
April-16,12.00,2020
April-17,18.00,2020
April-18,25.00,2020
April-19,75.00,2020
April-20,33.00,2020
April-21,30.00,2020
April-22,12.00,2020
April-23,12.00,2020
April-24,16.00,2020
April-25,5.00,2020
April-26,17.00,2020
April-27,15.00,2020
April-28,6.00,2020
April-29,5.00,2020
April-30,3.00,2020
May-01,6.00,2020
May-02,4.00,2020
May-03,2.00,2020
May-04,1.00,2020
May-05,1.00,2020
May-07,1.00,2020
May-08,3.00,2020
May-09,1.00,2020
May-10,7.00,2020
May-11,9.00,2020
May-12,8.00,2020
May-13,17.00,2020
May-14,15.00,2020
May-15,2.00,2020
May-16,2.00,2020
May-17,1.00,2020
May-18,2.00,2020
May-19,14.00,2020
May-21,3.00,2020
May-23,7.00,2020
May-24,26.00,2020
May-25,1.00,2020
May-26,2.00,2020
May-27,1.00,2020
May-28,6.00,2020
May-29,5.00,2020
May-30,20.00,2020
May-31,1.00,2020
June-01,2.00,2020
June-02,5.00,2020
June-03,6.00,2020
June-04,54.00,2020
June-05,6.00,2020
June-06,7.00,2020
June-07,30.00,2020
June-08,7.00,2020
June-09,13.00,2020
June-10,18.00,2020
June-11,5.00,2020
June-12,11.00,2020
June-13,83.00,2020
June-14,3.00,2020
June-15,20.00,2020
June-16,104.00,2020
June-17,43.00,2020
June-18,49.00,2020
June-19,51.00,2020
June-20,12.00,2020
June-21,44.00,2020
June-22,21.00,2020
June-23,41.00,2020
June-24,62.00,2020
June-25,15.00,2020
June-26,32.00,2020
June-27,77.00,2020
June-28,59.00,2020
June-29,48.00,2020
June-30,69.00,2020
July-01,53.00,2020
July-02,18.00,2020
July-03,58.00,2020
July-04,36.00,2020
July-05,34.00,2020
July-06,9.00,2020
July-07,12.00,2020
July-08,12.00,2020
July-09,5.00,2020
July-10,13.00,2020
July-11,17.00,2020
July-12,26.00,2020
July-13,31.00,2020
July-14,34.00,2020
July-15,44.00,2020
July-16,27.00,2020
July-17,28.00,2020
July-18,22.00,2020
July-19,40.00,2020
July-20,30.00,2020
July-21,29.00,2020
July-22,35.00,2020
July-23,24.00,2020
July-24,11.00,2020
July-25,12.00,2020
July-26,21.00,2020
July-27,36.00,2020
July-28,29.00,2020
July-29,23.00,2020
July-30,24.00,2020
July-31,31.00,2020
August-01,3.00,2020
August-02,3.00,2020
August-03,19.00,2020
August-04,35.00,2020
August-05,39.00,2020
August-06,34.00,2020
August-07,25.00,2020
August-08,14.00,2020
August-09,38.00,2020
August-10,35.00,2020
August-11,43.00,2020
August-12,35.00,2020
August-13,30.00,2020
August-14,25.00,2020
August-15,12.00,2020
August-16,17.00,2020
August-17,37.00,2020
August-18,40.00,2020
August-19,27.00,2020
August-20,57.00,2020
