Category,Confirmed case,Year
April-12,5.00,2020
April-14,2.00,2020
April-17,1.00,2020
April-18,1.00,2020
April-19,2.00,2020
April-20,10.00,2020
April-21,5.00,2020
April-22,7.00,2020
April-23,7.00,2020
April-24,6.00,2020
April-25,5.00,2020
April-26,16.00,2020
April-27,6.00,2020
April-28,7.00,2020
April-29,2.00,2020
April-30,11.00,2020
May-01,5.00,2020
May-02,2.00,2020
May-04,1.00,2020
May-06,1.00,2020
May-07,1.00,2020
May-08,2.00,2020
May-09,4.00,2020
May-10,5.00,2020
May-11,1.00,2020
May-12,8.00,2020
May-15,8.00,2020
May-16,1.00,2020
May-20,4.00,2020
May-22,1.00,2020
May-24,6.00,2020
May-30,21.00,2020
June-01,1.00,2020
June-02,3.00,2020
June-03,1.00,2020
June-04,12.00,2020
June-05,6.00,2020
June-08,1.00,2020
June-10,4.00,2020
June-11,1.00,2020
June-12,16.00,2020
June-13,1.00,2020
June-15,2.00,2020
June-16,1.00,2020
June-18,1.00,2020
June-19,21.00,2020
June-20,15.00,2020
June-21,48.00,2020
June-22,56.00,2020
June-23,4.00,2020
June-25,3.00,2020
June-26,3.00,2020
June-27,5.00,2020
June-28,45.00,2020
June-29,8.00,2020
June-30,58.00,2020
July-01,27.00,2020
July-02,1.00,2020
July-03,24.00,2020
July-05,22.00,2020
July-06,3.00,2020
July-07,23.00,2020
July-08,4.00,2020
July-09,24.00,2020
July-11,12.00,2020
July-12,2.00,2020
July-13,2.00,2020
July-14,11.00,2020
July-15,65.00,2020
July-16,21.00,2020
July-17,6.00,2020
July-18,2.00,2020
July-19,1.00,2020
July-20,13.00,2020
July-21,5.00,2020
July-22,3.00,2020
July-23,28.00,2020
July-24,6.00,2020
July-25,6.00,2020
July-26,9.00,2020
July-27,2.00,2020
July-28,4.00,2020
July-29,9.00,2020
July-30,14.00,2020
July-31,15.00,2020
August-01,1.00,2020
August-02,7.00,2020
August-03,1.00,2020
August-04,20.00,2020
August-05,11.00,2020
August-06,15.00,2020
August-07,10.00,2020
August-08,7.00,2020
August-09,4.00,2020
August-10,34.00,2020
August-12,27.00,2020
August-13,23.00,2020
August-14,6.00,2020
August-15,19.00,2020
August-16,2.00,2020
August-17,8.00,2020
August-18,19.00,2020
August-19,17.00,2020
August-20,5.00,2020
August-21,10.00,2020
August-22,2.00,2020
August-23,21.00,2020
August-24,3.00,2020
August-25,22.00,2020
August-26,26.00,2020
August-27,5.00,2020
August-28,33.00,2020
August-29,4.00,2020
August-30,2.00,2020
August-31,23.00,2020
September-01,10.00,2020
September-02,8.00,2020
September-03,15.00,2020
September-04,3.00,2020
September-05,9.00,2020
September-06,8.00,2020
September-07,1.00,2020
September-08,7.00,2020
September-09,21.00,2020
September-10,15.00,2020
September-11,12.00,2020
September-12,2.00,2020
September-13,15.00,2020
September-14,1.00,2020
September-15,23.00,2020
September-16,9.00,2020
September-17,4.00,2020
September-18,8.00,2020
September-19,2.00,2020
September-20,11.00,2020
September-21,6.00,2020
September-22,7.00,2020
September-23,3.00,2020
September-24,5.00,2020
September-25,2.00,2020
September-26,3.00,2020
September-27,3.00,2020
September-28,4.00,2020
September-29,6.00,2020
September-30,3.00,2020
October-01,2.00,2020
October-02,5.00,2020
October-03,1.00,2020
October-04,6.00,2020
October-05,2.00,2020
October-06,3.00,2020
October-07,3.00,2020
October-08,1.00,2020
October-09,1.00,2020
October-10,1.00,2020
October-11,3.00,2020
October-12,2.00,2020
October-13,5.00,2020
October-14,3.00,2020
October-15,4.00,2020
October-16,5.00,2020
October-18,2.00,2020
October-19,6.00,2020
October-20,4.00,2020
October-21,3.00,2020
October-22,6.00,2020
October-23,4.00,2020
October-24,2.00,2020
October-26,3.00,2020
October-27,3.00,2020
October-28,10.00,2020
October-29,7.00,2020
October-30,4.00,2020
October-31,2.00,2020
November-01,12.00,2020
November-02,7.00,2020
November-03,7.00,2020
November-04,9.00,2020
November-05,7.00,2020
November-07,4.00,2020
November-08,4.00,2020
November-09,2.00,2020
November-10,5.00,2020
November-11,5.00,2020
November-12,8.00,2020
November-14,5.00,2020
November-15,7.00,2020
November-16,2.00,2020
November-17,1.00,2020
November-18,2.00,2020
November-19,1.00,2020
November-20,8.00,2020
November-22,3.00,2020
November-23,3.00,2020
November-24,2.00,2020
November-25,6.00,2020
November-26,3.00,2020
November-27,5.00,2020
November-28,3.00,2020
November-29,1.00,2020
November-30,4.00,2020
December-01,5.00,2020
December-02,2.00,2020
December-03,14.00,2020
December-04,1.00,2020
December-05,4.00,2020
December-06,1.00,2020
December-07,2.00,2020
December-08,2.00,2020
December-09,6.00,2020
December-11,8.00,2020
December-12,3.00,2020
December-13,3.00,2020
December-14,5.00,2020
December-15,4.00,2020
December-16,3.00,2020
December-18,7.00,2020
December-19,1.00,2020
December-20,1.00,2020
December-21,1.00,2020
December-22,1.00,2020
December-23,8.00,2020
December-24,1.00,2020
December-26,2.00,2020
December-27,1.00,2020
December-28,3.00,2020
December-29,1.00,2020
December-30,3.00,2020
December-31,1.00,2020
January-01,1.00,2021
January-03,2.00,2021
January-05,4.00,2021
January-06,4.00,2021
January-07,3.00,2021
January-08,1.00,2021
January-09,2.00,2021
January-10,1.00,2021
January-11,1.00,2021
January-12,1.00,2021
January-13,4.00,2021
January-14,2.00,2021
January-16,2.00,2021
January-17,1.00,2021
January-18,4.00,2021
January-21,1.00,2021
January-22,3.00,2021
January-23,5.00,2021
January-25,3.00,2021
January-26,1.00,2021
January-27,3.00,2021
January-28,2.00,2021
January-30,2.00,2021
January-31,1.00,2021
February-01,1.00,2021
February-02,3.00,2021
February-03,4.00,2021
February-09,2.00,2021
February-10,3.00,2021
February-11,3.00,2021
February-13,1.00,2021
February-14,1.00,2021
February-15,3.00,2021
February-16,1.00,2021
February-17,3.00,2021
February-18,2.00,2021
February-19,2.00,2021
February-20,3.00,2021
February-21,3.00,2021
February-23,2.00,2021
February-24,1.00,2021
February-25,4.00,2021
February-26,5.00,2021
February-27,5.00,2021
February-28,6.00,2021
March-01,1.00,2021
March-02,1.00,2021
March-03,4.00,2021
March-05,4.00,2021
March-06,1.00,2021
March-07,3.00,2021
March-08,2.00,2021
March-09,6.00,2021
March-10,3.00,2021
March-11,1.00,2021
March-12,2.00,2021
March-13,2.00,2021
March-14,2.00,2021
March-15,6.00,2021
March-16,3.00,2021
March-18,12.00,2021
March-19,1.00,2021
March-20,3.00,2021
March-21,14.00,2021
March-22,7.00,2021
March-23,2.00,2021
March-24,6.00,2021
March-25,15.00,2021
March-26,7.00,2021
March-27,9.00,2021
March-28,18.00,2021
March-29,22.00,2021
March-30,9.00,2021
March-31,14.00,2021
April-01,10.00,2021
April-02,23.00,2021
April-03,15.00,2021
April-04,17.00,2021
April-05,25.00,2021
April-06,9.00,2021
April-07,31.00,2021
April-08,22.00,2021
April-09,17.00,2021
April-10,33.00,2021
April-11,8.00,2021
April-12,32.00,2021
April-13,28.00,2021
April-14,6.00,2021
April-15,14.00,2021
April-16,2.00,2021
April-17,18.00,2021
April-18,8.00,2021
April-19,24.00,2021
April-20,37.00,2021
April-21,22.00,2021
April-22,12.00,2021
April-23,35.00,2021
April-24,6.00,2021
April-25,17.00,2021
April-26,20.00,2021
April-27,10.00,2021
April-28,20.00,2021
April-29,10.00,2021
April-30,16.00,2021
May-01,10.00,2021
May-02,3.00,2021
May-03,16.00,2021
May-04,17.00,2021
May-05,16.00,2021
May-06,16.00,2021
May-07,15.00,2021
May-08,8.00,2021
May-09,14.00,2021
May-10,78.00,2021
May-11,12.00,2021
May-12,3.00,2021
May-13,5.00,2021
May-14,2.00,2021
May-15,1.00,2021
May-16,2.00,2021
May-17,8.00,2021
May-18,22.00,2021
May-19,9.00,2021
May-20,8.00,2021
May-21,7.00,2021
May-22,1.00,2021
May-23,6.00,2021
May-24,16.00,2021
May-25,6.00,2021
May-26,6.00,2021
May-27,2.00,2021
May-28,14.00,2021
May-29,3.00,2021
May-30,11.00,2021
May-31,10.00,2021
June-01,12.00,2021
June-02,7.00,2021
June-03,3.00,2021
June-04,9.00,2021
June-05,10.00,2021
June-06,7.00,2021
June-07,11.00,2021
June-08,9.00,2021
June-09,5.00,2021
June-10,5.00,2021
June-11,5.00,2021
June-12,8.00,2021
June-13,7.00,2021
June-14,12.00,2021
June-15,13.00,2021
June-16,11.00,2021
June-17,2.00,2021
June-18,12.00,2021
June-19,6.00,2021
June-20,10.00,2021
June-21,7.00,2021
June-22,15.00,2021
June-23,21.00,2021
June-24,18.00,2021
June-25,10.00,2021
June-26,10.00,2021
June-27,32.00,2021
June-28,44.00,2021
June-29,30.00,2021
June-30,9.00,2021
July-01,39.00,2021
July-02,44.00,2021
July-03,20.00,2021
July-04,58.00,2021
July-05,34.00,2021
July-06,42.00,2021
July-07,63.00,2021
July-08,65.00,2021
July-09,52.00,2021
July-10,80.00,2021
July-11,38.00,2021
July-12,95.00,2021
July-13,109.00,2021
July-14,97.00,2021
July-15,134.00,2021
July-16,69.00,2021
July-17,59.00,2021
July-18,134.00,2021
July-19,44.00,2021
July-20,43.00,2021
July-21,41.00,2021
July-22,27.00,2021
July-23,73.00,2021
July-24,31.00,2021
July-25,148.00,2021
July-26,54.00,2021
July-27,48.00,2021
July-28,40.00,2021
July-29,32.00,2021
July-30,56.00,2021
July-31,316.00,2021
August-01,61.00,2021
August-02,137.00,2021
August-03,42.00,2021
August-04,111.00,2021
August-05,42.00,2021
August-06,97.00,2021
August-07,47.00,2021
August-08,83.00,2021
August-09,92.00,2021
August-10,33.00,2021
August-11,78.00,2021
August-12,32.00,2021
August-13,35.00,2021
August-14,64.00,2021
August-15,63.00,2021
August-16,79.00,2021
August-17,55.00,2021
August-18,32.00,2021
August-19,35.00,2021
August-20,22.00,2021
August-21,8.00,2021
August-22,34.00,2021
August-23,31.00,2021
August-24,24.00,2021
August-25,19.00,2021
August-26,30.00,2021
August-27,89.00,2021
August-28,64.00,2021
August-29,40.00,2021
August-30,15.00,2021
August-31,3.00,2021
September-01,21.00,2021
September-02,16.00,2021
September-03,15.00,2021
September-04,11.00,2021
September-05,9.00,2021
September-06,19.00,2021
September-07,21.00,2021
September-08,4.00,2021
September-09,7.00,2021
September-10,10.00,2021
September-11,1.00,2021
September-12,8.00,2021
September-13,4.00,2021
September-14,5.00,2021
September-15,6.00,2021
September-16,6.00,2021
September-17,1.00,2021
September-18,1.00,2021
September-19,6.00,2021
September-20,5.00,2021
September-21,2.00,2021
September-22,3.00,2021
September-23,2.00,2021
September-24,4.00,2021
September-25,4.00,2021
September-26,5.00,2021
September-27,3.00,2021
September-28,4.00,2021
September-29,3.00,2021
September-30,2.00,2021
October-01,5.00,2021
October-03,5.00,2021
October-04,3.00,2021
October-06,6.00,2021
October-07,3.00,2021
October-08,3.00,2021
October-10,2.00,2021
October-12,1.00,2021
October-14,1.00,2021
October-15,4.00,2021
October-18,1.00,2021
