Category,Confirmed case,Year
April-05,1.00,2020
April-08,1.00,2020
April-09,1.00,2020
April-11,3.00,2020
April-12,3.00,2020
April-13,7.00,2020
April-14,6.00,2020
April-15,3.00,2020
April-17,7.00,2020
April-18,4.00,2020
April-19,2.00,2020
April-20,5.00,2020
April-21,12.00,2020
April-23,2.00,2020
April-24,7.00,2020
April-25,7.00,2020
April-26,4.00,2020
April-27,10.00,2020
April-28,8.00,2020
April-29,3.00,2020
April-30,7.00,2020
May-01,2.00,2020
May-02,8.00,2020
May-04,1.00,2020
May-05,5.00,2020
May-06,1.00,2020
May-07,21.00,2020
May-08,1.00,2020
May-09,6.00,2020
May-12,1.00,2020
May-13,3.00,2020
May-14,1.00,2020
May-15,3.00,2020
May-16,2.00,2020
May-17,28.00,2020
May-18,1.00,2020
May-19,6.00,2020
May-20,1.00,2020
May-21,1.00,2020
May-25,2.00,2020
May-29,7.00,2020
May-30,30.00,2020
May-31,4.00,2020
June-01,5.00,2020
June-02,12.00,2020
June-04,18.00,2020
June-06,12.00,2020
June-07,15.00,2020
June-08,3.00,2020
June-09,9.00,2020
June-10,2.00,2020
June-11,18.00,2020
June-12,22.00,2020
June-13,11.00,2020
June-14,1.00,2020
June-16,4.00,2020
June-18,1.00,2020
June-19,2.00,2020
June-20,26.00,2020
June-21,11.00,2020
June-22,28.00,2020
June-23,3.00,2020
June-24,10.00,2020
June-25,8.00,2020
June-26,11.00,2020
June-27,3.00,2020
June-28,1.00,2020
June-29,17.00,2020
June-30,12.00,2020
July-01,14.00,2020
July-02,12.00,2020
July-03,17.00,2020
July-04,16.00,2020
July-05,13.00,2020
July-06,10.00,2020
July-07,12.00,2020
July-08,10.00,2020
July-09,15.00,2020
July-10,17.00,2020
July-11,11.00,2020
July-12,12.00,2020
July-13,12.00,2020
July-14,16.00,2020
July-15,15.00,2020
July-16,16.00,2020
July-17,18.00,2020
July-18,9.00,2020
July-19,21.00,2020
July-20,13.00,2020
July-21,13.00,2020
July-22,7.00,2020
July-23,19.00,2020
July-24,12.00,2020
July-25,9.00,2020
July-27,1.00,2020
July-28,2.00,2020
July-29,6.00,2020
July-30,22.00,2020
July-31,16.00,2020
August-01,12.00,2020
August-02,6.00,2020
August-03,17.00,2020
August-04,13.00,2020
August-05,14.00,2020
August-06,15.00,2020
August-07,28.00,2020
August-08,12.00,2020
August-09,17.00,2020
August-10,58.00,2020
August-11,17.00,2020
August-12,22.00,2020
August-13,23.00,2020
August-14,36.00,2020
August-15,6.00,2020
August-16,17.00,2020
August-17,13.00,2020
August-18,13.00,2020
August-19,8.00,2020
August-20,20.00,2020
August-21,20.00,2020
August-22,16.00,2020
August-23,11.00,2020
August-24,20.00,2020
August-25,7.00,2020
August-26,2.00,2020
August-27,21.00,2020
August-28,13.00,2020
August-29,14.00,2020
August-30,17.00,2020
August-31,12.00,2020
September-01,13.00,2020
September-02,7.00,2020
September-03,6.00,2020
September-04,4.00,2020
September-05,3.00,2020
September-06,12.00,2020
September-07,7.00,2020
September-08,7.00,2020
September-09,7.00,2020
September-10,15.00,2020
September-12,7.00,2020
September-13,8.00,2020
September-14,12.00,2020
September-15,12.00,2020
September-16,12.00,2020
September-17,6.00,2020
September-18,8.00,2020
September-19,6.00,2020
September-20,18.00,2020
September-21,3.00,2020
September-22,15.00,2020
September-23,10.00,2020
September-24,2.00,2020
September-25,4.00,2020
September-26,1.00,2020
September-27,7.00,2020
September-28,8.00,2020
September-29,3.00,2020
September-30,27.00,2020
October-01,6.00,2020
October-02,9.00,2020
October-03,7.00,2020
October-04,4.00,2020
October-05,10.00,2020
October-06,11.00,2020
October-07,7.00,2020
October-09,1.00,2020
October-10,11.00,2020
October-11,5.00,2020
October-12,9.00,2020
October-13,7.00,2020
October-14,4.00,2020
October-15,5.00,2020
October-17,6.00,2020
October-18,6.00,2020
October-19,3.00,2020
October-20,8.00,2020
October-21,5.00,2020
October-22,1.00,2020
October-23,2.00,2020
October-24,5.00,2020
October-25,3.00,2020
October-26,4.00,2020
October-27,3.00,2020
October-28,5.00,2020
October-29,3.00,2020
October-30,6.00,2020
October-31,2.00,2020
November-01,8.00,2020
November-02,7.00,2020
November-03,3.00,2020
November-04,4.00,2020
November-05,4.00,2020
November-07,3.00,2020
November-08,5.00,2020
November-09,5.00,2020
November-10,2.00,2020
November-11,3.00,2020
November-12,1.00,2020
November-13,3.00,2020
November-14,3.00,2020
November-15,2.00,2020
November-16,5.00,2020
November-17,6.00,2020
November-18,18.00,2020
November-19,4.00,2020
November-20,3.00,2020
November-21,1.00,2020
November-22,1.00,2020
November-23,3.00,2020
November-24,9.00,2020
November-25,4.00,2020
November-26,4.00,2020
November-27,4.00,2020
November-28,6.00,2020
November-29,3.00,2020
December-02,2.00,2020
December-03,5.00,2020
December-04,1.00,2020
December-05,7.00,2020
December-06,1.00,2020
December-07,2.00,2020
December-08,3.00,2020
December-09,4.00,2020
December-10,1.00,2020
December-11,4.00,2020
December-12,1.00,2020
December-13,2.00,2020
December-14,3.00,2020
December-15,1.00,2020
December-16,1.00,2020
December-17,9.00,2020
December-18,1.00,2020
December-19,3.00,2020
December-20,1.00,2020
December-21,5.00,2020
December-22,3.00,2020
December-23,1.00,2020
December-24,1.00,2020
December-25,1.00,2020
December-26,1.00,2020
December-29,2.00,2020
December-31,1.00,2020
January-01,1.00,2021
January-02,3.00,2021
January-06,1.00,2021
January-08,1.00,2021
January-10,3.00,2021
January-11,2.00,2021
January-12,7.00,2021
January-13,5.00,2021
January-14,6.00,2021
January-16,1.00,2021
January-17,1.00,2021
January-19,2.00,2021
January-21,1.00,2021
January-22,1.00,2021
January-23,2.00,2021
January-25,4.00,2021
January-26,3.00,2021
January-29,1.00,2021
January-30,2.00,2021
February-02,4.00,2021
February-03,1.00,2021
February-04,1.00,2021
February-06,1.00,2021
February-08,1.00,2021
February-09,1.00,2021
February-10,1.00,2021
February-14,1.00,2021
February-16,1.00,2021
February-20,1.00,2021
February-23,1.00,2021
February-25,1.00,2021
February-26,1.00,2021
February-27,4.00,2021
February-28,1.00,2021
March-05,4.00,2021
March-06,3.00,2021
March-08,2.00,2021
March-10,2.00,2021
March-11,1.00,2021
March-12,1.00,2021
March-13,1.00,2021
March-14,3.00,2021
March-15,1.00,2021
March-17,2.00,2021
March-18,3.00,2021
March-19,1.00,2021
March-20,5.00,2021
March-21,3.00,2021
March-22,7.00,2021
March-23,5.00,2021
March-24,4.00,2021
March-25,5.00,2021
March-26,2.00,2021
March-27,4.00,2021
March-28,3.00,2021
March-29,4.00,2021
March-30,12.00,2021
March-31,5.00,2021
April-01,14.00,2021
April-02,7.00,2021
April-03,11.00,2021
April-04,10.00,2021
April-05,14.00,2021
April-06,19.00,2021
April-07,11.00,2021
April-08,10.00,2021
April-09,10.00,2021
April-10,9.00,2021
April-11,11.00,2021
April-12,16.00,2021
