Category,Confirmed case,Year
April-11,1.00,2020
April-14,1.00,2020
April-18,2.00,2020
April-19,3.00,2020
April-20,2.00,2020
April-21,2.00,2020
April-22,4.00,2020
April-23,3.00,2020
April-24,7.00,2020
April-25,1.00,2020
April-26,7.00,2020
April-28,3.00,2020
April-29,3.00,2020
April-30,5.00,2020
May-01,1.00,2020
May-02,1.00,2020
May-04,1.00,2020
May-08,1.00,2020
May-12,5.00,2020
May-16,1.00,2020
May-17,1.00,2020
May-20,1.00,2020
May-21,1.00,2020
May-23,1.00,2020
May-24,1.00,2020
May-26,2.00,2020
May-30,4.00,2020
May-31,3.00,2020
June-03,5.00,2020
June-04,5.00,2020
June-05,8.00,2020
June-06,4.00,2020
June-07,11.00,2020
June-08,11.00,2020
June-09,2.00,2020
June-10,18.00,2020
June-11,12.00,2020
June-12,18.00,2020
June-13,15.00,2020
June-14,15.00,2020
June-15,14.00,2020
June-16,25.00,2020
June-17,15.00,2020
June-18,5.00,2020
June-19,1.00,2020
June-20,2.00,2020
June-21,34.00,2020
June-22,35.00,2020
June-23,29.00,2020
June-24,1.00,2020
June-25,29.00,2020
June-26,34.00,2020
June-27,49.00,2020
June-28,9.00,2020
June-29,46.00,2020
June-30,47.00,2020
July-01,44.00,2020
July-02,63.00,2020
July-03,39.00,2020
July-04,1.00,2020
July-05,2.00,2020
July-06,4.00,2020
July-07,97.00,2020
July-08,87.00,2020
July-09,30.00,2020
July-10,44.00,2020
July-11,36.00,2020
July-12,21.00,2020
July-13,76.00,2020
July-14,39.00,2020
July-15,77.00,2020
July-16,62.00,2020
July-17,25.00,2020
July-18,73.00,2020
July-19,36.00,2020
July-20,78.00,2020
July-21,37.00,2020
July-22,46.00,2020
July-23,28.00,2020
July-24,76.00,2020
July-25,31.00,2020
July-26,67.00,2020
July-27,6.00,2020
July-28,62.00,2020
July-29,60.00,2020
July-30,33.00,2020
July-31,37.00,2020
August-01,111.00,2020
August-02,6.00,2020
August-03,3.00,2020
August-04,2.00,2020
August-05,48.00,2020
August-06,82.00,2020
August-07,76.00,2020
August-08,71.00,2020
August-09,66.00,2020
August-10,50.00,2020
August-11,74.00,2020
August-12,66.00,2020
August-13,4.00,2020
August-14,6.00,2020
August-15,16.00,2020
August-16,29.00,2020
August-17,67.00,2020
August-18,9.00,2020
August-19,79.00,2020
August-20,60.00,2020
August-21,134.00,2020
August-22,99.00,2020
