Category,Confirmed case,Year
April-15,1.00,2020
April-20,1.00,2020
April-26,1.00,2020
April-27,1.00,2020
April-28,1.00,2020
April-29,2.00,2020
May-02,2.00,2020
May-05,1.00,2020
May-06,1.00,2020
May-08,1.00,2020
May-10,3.00,2020
May-16,4.00,2020
May-17,1.00,2020
May-18,2.00,2020
May-19,2.00,2020
May-21,6.00,2020
May-24,7.00,2020
May-25,2.00,2020
May-26,5.00,2020
May-27,3.00,2020
May-28,3.00,2020
May-29,1.00,2020
May-30,1.00,2020
May-31,3.00,2020
June-01,4.00,2020
June-03,3.00,2020
June-04,2.00,2020
June-05,4.00,2020
June-06,6.00,2020
June-08,1.00,2020
June-09,4.00,2020
June-11,3.00,2020
June-12,4.00,2020
June-13,2.00,2020
June-14,11.00,2020
June-15,5.00,2020
June-16,5.00,2020
June-17,2.00,2020
June-18,10.00,2020
June-19,13.00,2020
June-20,10.00,2020
June-21,15.00,2020
June-22,1.00,2020
June-23,21.00,2020
June-24,2.00,2020
June-25,19.00,2020
June-26,4.00,2020
June-27,2.00,2020
June-29,10.00,2020
June-30,11.00,2020
July-01,19.00,2020
July-02,4.00,2020
July-03,9.00,2020
July-04,2.00,2020
July-05,7.00,2020
July-06,26.00,2020
July-07,17.00,2020
July-08,16.00,2020
July-09,3.00,2020
July-10,10.00,2020
July-11,12.00,2020
July-12,7.00,2020
July-13,11.00,2020
July-14,11.00,2020
July-15,8.00,2020
July-16,17.00,2020
July-17,8.00,2020
July-18,12.00,2020
July-19,17.00,2020
July-20,3.00,2020
July-21,6.00,2020
July-22,12.00,2020
July-23,8.00,2020
July-24,6.00,2020
July-25,9.00,2020
July-26,3.00,2020
July-27,25.00,2020
July-28,2.00,2020
July-29,16.00,2020
July-30,14.00,2020
July-31,6.00,2020
August-02,1.00,2020
August-03,7.00,2020
August-04,8.00,2020
August-05,7.00,2020
August-06,2.00,2020
August-07,17.00,2020
August-08,1.00,2020
August-09,7.00,2020
August-10,1.00,2020
August-11,6.00,2020
August-12,8.00,2020
August-13,5.00,2020
August-14,1.00,2020
August-15,5.00,2020
August-16,8.00,2020
August-17,13.00,2020
August-18,3.00,2020
August-19,14.00,2020
August-20,4.00,2020
August-21,12.00,2020
August-22,2.00,2020
August-23,8.00,2020
August-24,9.00,2020
August-25,4.00,2020
August-26,19.00,2020
August-27,6.00,2020
August-28,2.00,2020
August-29,3.00,2020
August-30,9.00,2020
August-31,1.00,2020
September-01,5.00,2020
September-02,13.00,2020
September-03,4.00,2020
September-04,1.00,2020
September-05,2.00,2020
September-06,1.00,2020
September-07,3.00,2020
September-08,6.00,2020
September-09,6.00,2020
September-10,3.00,2020
September-11,2.00,2020
September-12,2.00,2020
September-13,1.00,2020
September-14,3.00,2020
September-16,1.00,2020
September-17,2.00,2020
September-18,3.00,2020
September-20,2.00,2020
September-21,1.00,2020
September-22,1.00,2020
September-23,4.00,2020
September-25,1.00,2020
September-27,1.00,2020
September-28,4.00,2020
September-29,1.00,2020
September-30,1.00,2020
October-01,1.00,2020
October-04,7.00,2020
October-05,1.00,2020
October-07,4.00,2020
October-08,1.00,2020
October-09,2.00,2020
October-11,1.00,2020
October-12,4.00,2020
October-13,2.00,2020
October-14,1.00,2020
October-15,1.00,2020
October-16,2.00,2020
October-18,1.00,2020
October-19,1.00,2020
October-20,1.00,2020
October-21,1.00,2020
October-22,1.00,2020
October-23,2.00,2020
October-25,4.00,2020
October-26,1.00,2020
October-27,1.00,2020
October-28,1.00,2020
October-29,3.00,2020
October-30,1.00,2020
November-02,1.00,2020
November-03,5.00,2020
November-04,5.00,2020
November-05,1.00,2020
November-06,5.00,2020
November-07,1.00,2020
November-08,3.00,2020
November-09,2.00,2020
November-10,1.00,2020
November-11,1.00,2020
November-12,4.00,2020
November-13,2.00,2020
November-16,6.00,2020
November-18,1.00,2020
November-19,2.00,2020
November-20,5.00,2020
November-21,1.00,2020
November-22,5.00,2020
November-23,3.00,2020
November-24,1.00,2020
November-25,1.00,2020
November-26,4.00,2020
November-27,1.00,2020
November-28,2.00,2020
November-29,10.00,2020
November-30,3.00,2020
December-01,7.00,2020
December-02,7.00,2020
December-03,1.00,2020
December-04,2.00,2020
December-08,3.00,2020
December-10,1.00,2020
December-11,2.00,2020
December-12,1.00,2020
December-13,1.00,2020
December-14,4.00,2020
December-15,3.00,2020
December-16,2.00,2020
December-18,3.00,2020
December-20,1.00,2020
December-21,3.00,2020
December-22,4.00,2020
December-23,2.00,2020
December-24,1.00,2020
December-25,1.00,2020
December-27,4.00,2020
December-28,1.00,2020
December-29,2.00,2020
December-31,2.00,2020
January-03,1.00,2021
January-05,2.00,2021
January-06,1.00,2021
January-07,1.00,2021
January-09,2.00,2021
January-10,1.00,2021
January-15,1.00,2021
January-16,1.00,2021
January-17,1.00,2021
January-24,2.00,2021
January-27,1.00,2021
January-30,1.00,2021
February-02,3.00,2021
February-08,1.00,2021
February-10,1.00,2021
February-11,1.00,2021
February-14,1.00,2021
February-19,1.00,2021
February-20,1.00,2021
February-22,1.00,2021
February-25,1.00,2021
February-26,1.00,2021
March-03,1.00,2021
March-04,1.00,2021
March-07,1.00,2021
March-08,1.00,2021
March-09,1.00,2021
March-10,1.00,2021
March-12,1.00,2021
March-14,1.00,2021
March-15,3.00,2021
March-16,1.00,2021
March-17,1.00,2021
March-18,5.00,2021
March-19,1.00,2021
March-20,7.00,2021
March-21,4.00,2021
March-22,3.00,2021
March-23,5.00,2021
March-24,1.00,2021
March-26,4.00,2021
March-27,3.00,2021
March-28,5.00,2021
March-29,1.00,2021
March-30,4.00,2021
March-31,7.00,2021
April-01,4.00,2021
April-02,2.00,2021
April-03,11.00,2021
April-04,19.00,2021
April-05,8.00,2021
April-06,14.00,2021
April-07,32.00,2021
April-08,16.00,2021
April-09,7.00,2021
April-10,4.00,2021
April-11,23.00,2021
April-12,7.00,2021
April-13,9.00,2021
April-14,10.00,2021
April-15,8.00,2021
April-16,8.00,2021
April-17,19.00,2021
April-18,15.00,2021
April-19,8.00,2021
April-20,8.00,2021
April-21,9.00,2021
April-22,7.00,2021
April-23,11.00,2021
April-24,10.00,2021
April-25,6.00,2021
April-26,10.00,2021
April-27,9.00,2021
April-28,5.00,2021
April-29,4.00,2021
April-30,5.00,2021
May-01,8.00,2021
May-02,1.00,2021
May-03,6.00,2021
May-04,10.00,2021
May-05,5.00,2021
May-06,2.00,2021
May-07,2.00,2021
May-08,3.00,2021
May-09,2.00,2021
May-10,3.00,2021
May-11,3.00,2021
May-12,2.00,2021
May-13,5.00,2021
May-14,1.00,2021
May-15,4.00,2021
May-16,6.00,2021
May-17,4.00,2021
May-18,7.00,2021
May-19,1.00,2021
May-20,1.00,2021
May-22,2.00,2021
May-23,2.00,2021
May-24,1.00,2021
May-27,5.00,2021
May-28,1.00,2021
May-29,6.00,2021
May-31,6.00,2021
June-01,2.00,2021
June-02,6.00,2021
June-04,4.00,2021
June-05,3.00,2021
June-06,1.00,2021
June-07,4.00,2021
June-08,3.00,2021
June-09,5.00,2021
June-10,4.00,2021
June-12,7.00,2021
June-13,9.00,2021
June-14,2.00,2021
June-15,2.00,2021
June-16,15.00,2021
June-17,14.00,2021
June-18,6.00,2021
June-19,19.00,2021
June-20,13.00,2021
June-21,12.00,2021
June-22,11.00,2021
June-23,16.00,2021
June-24,9.00,2021
June-25,12.00,2021
June-26,11.00,2021
June-27,14.00,2021
June-28,11.00,2021
June-29,70.00,2021
June-30,27.00,2021
July-01,12.00,2021
July-02,3.00,2021
July-03,15.00,2021
July-04,17.00,2021
July-05,45.00,2021
July-06,18.00,2021
July-07,41.00,2021
July-08,21.00,2021
July-09,54.00,2021
July-10,57.00,2021
July-11,25.00,2021
July-12,25.00,2021
July-13,65.00,2021
July-14,57.00,2021
July-15,22.00,2021
July-16,62.00,2021
July-17,42.00,2021
July-18,41.00,2021
July-19,33.00,2021
July-20,25.00,2021
July-21,6.00,2021
July-22,22.00,2021
July-23,9.00,2021
July-24,28.00,2021
July-25,41.00,2021
July-26,29.00,2021
July-27,31.00,2021
July-28,17.00,2021
July-29,38.00,2021
July-30,10.00,2021
July-31,12.00,2021
August-01,26.00,2021
August-02,11.00,2021
August-03,15.00,2021
August-04,3.00,2021
August-05,7.00,2021
August-06,3.00,2021
August-07,3.00,2021
August-08,8.00,2021
August-09,11.00,2021
August-10,13.00,2021
August-11,6.00,2021
August-12,4.00,2021
August-13,2.00,2021
August-14,6.00,2021
August-15,4.00,2021
August-16,7.00,2021
August-17,5.00,2021
August-18,6.00,2021
August-19,3.00,2021
August-20,1.00,2021
August-21,10.00,2021
August-22,3.00,2021
August-23,4.00,2021
August-24,1.00,2021
August-25,7.00,2021
August-26,4.00,2021
August-27,2.00,2021
August-28,9.00,2021
August-29,2.00,2021
August-30,1.00,2021
August-31,3.00,2021
September-01,2.00,2021
September-02,1.00,2021
September-03,3.00,2021
September-04,1.00,2021
September-05,4.00,2021
September-07,2.00,2021
September-09,1.00,2021
September-11,2.00,2021
September-12,2.00,2021
September-14,1.00,2021
September-15,2.00,2021
September-17,1.00,2021
September-20,1.00,2021
September-21,1.00,2021
September-22,2.00,2021
September-23,2.00,2021
September-24,2.00,2021
September-26,1.00,2021
September-27,2.00,2021
September-30,1.00,2021
October-03,1.00,2021
October-04,1.00,2021
October-06,2.00,2021
October-07,2.00,2021
October-10,1.00,2021
October-11,2.00,2021
October-17,1.00,2021
October-29,1.00,2021
October-31,1.00,2021
November-07,1.00,2021
November-09,1.00,2021
November-21,1.00,2021
November-24,1.00,2021
December-11,1.00,2021
December-17,1.00,2021
December-20,1.00,2021
December-24,3.00,2021
December-28,1.00,2021
December-30,1.00,2021
January-04,1.00,2022
January-05,3.00,2022
January-07,3.00,2022
January-08,1.00,2022
