Category,Confirmed case,Year
April-13,2.00,2020
April-14,1.00,2020
April-17,1.00,2020
April-20,2.00,2020
April-23,1.00,2020
April-24,1.00,2020
April-25,7.00,2020
April-26,5.00,2020
April-27,3.00,2020
April-28,1.00,2020
April-29,3.00,2020
April-30,5.00,2020
May-05,1.00,2020
May-08,2.00,2020
May-10,15.00,2020
May-18,3.00,2020
May-20,8.00,2020
May-23,5.00,2020
May-24,5.00,2020
May-26,1.00,2020
May-27,1.00,2020
May-30,22.00,2020
May-31,2.00,2020
June-02,11.00,2020
June-03,5.00,2020
June-12,9.00,2020
June-13,21.00,2020
June-14,2.00,2020
June-15,1.00,2020
June-17,9.00,2020
June-18,3.00,2020
June-19,2.00,2020
June-20,1.00,2020
June-21,1.00,2020
June-22,3.00,2020
June-23,3.00,2020
June-24,1.00,2020
June-25,7.00,2020
June-26,46.00,2020
June-27,52.00,2020
June-28,29.00,2020
June-29,1.00,2020
June-30,37.00,2020
July-01,13.00,2020
July-02,2.00,2020
July-03,21.00,2020
July-04,9.00,2020
July-05,46.00,2020
July-06,2.00,2020
July-07,4.00,2020
July-09,41.00,2020
July-10,1.00,2020
July-12,1.00,2020
July-13,46.00,2020
July-14,4.00,2020
July-15,3.00,2020
July-16,24.00,2020
July-17,2.00,2020
July-18,4.00,2020
July-19,21.00,2020
July-20,4.00,2020
July-21,4.00,2020
July-22,2.00,2020
July-23,4.00,2020
July-24,2.00,2020
July-25,3.00,2020
July-26,21.00,2020
July-27,20.00,2020
July-28,4.00,2020
July-30,6.00,2020
July-31,61.00,2020
August-02,1.00,2020
August-03,1.00,2020
August-04,25.00,2020
August-05,3.00,2020
August-06,23.00,2020
August-07,13.00,2020
August-08,5.00,2020
August-10,3.00,2020
August-11,11.00,2020
August-12,3.00,2020
August-13,5.00,2020
August-14,17.00,2020
August-15,5.00,2020
August-16,4.00,2020
August-17,9.00,2020
August-18,12.00,2020
August-19,6.00,2020
August-20,1.00,2020
August-21,12.00,2020
August-22,1.00,2020
August-24,11.00,2020
August-25,2.00,2020
August-26,2.00,2020
August-27,4.00,2020
August-28,24.00,2020
August-29,2.00,2020
August-30,2.00,2020
August-31,20.00,2020
September-01,1.00,2020
September-02,2.00,2020
September-03,2.00,2020
September-04,19.00,2020
September-05,1.00,2020
September-07,31.00,2020
September-08,5.00,2020
September-10,1.00,2020
September-12,15.00,2020
September-13,15.00,2020
September-14,3.00,2020
September-15,3.00,2020
September-17,1.00,2020
September-18,15.00,2020
September-19,2.00,2020
September-20,4.00,2020
September-21,1.00,2020
September-22,10.00,2020
September-24,4.00,2020
September-25,12.00,2020
September-26,2.00,2020
September-28,8.00,2020
September-29,2.00,2020
October-01,2.00,2020
October-02,9.00,2020
October-04,2.00,2020
October-05,2.00,2020
October-06,2.00,2020
October-07,9.00,2020
October-08,1.00,2020
October-09,2.00,2020
October-10,5.00,2020
October-11,2.00,2020
October-12,1.00,2020
October-13,5.00,2020
October-15,2.00,2020
October-16,2.00,2020
October-20,7.00,2020
October-22,2.00,2020
October-23,2.00,2020
October-24,1.00,2020
October-28,7.00,2020
October-31,3.00,2020
November-03,9.00,2020
November-05,13.00,2020
November-10,5.00,2020
November-11,1.00,2020
November-13,6.00,2020
November-15,1.00,2020
November-16,2.00,2020
November-17,15.00,2020
November-18,1.00,2020
November-19,1.00,2020
November-20,11.00,2020
November-23,1.00,2020
November-25,9.00,2020
November-26,6.00,2020
November-27,6.00,2020
November-29,1.00,2020
November-30,1.00,2020
December-01,7.00,2020
December-03,6.00,2020
December-04,6.00,2020
December-05,1.00,2020
December-06,3.00,2020
December-07,1.00,2020
December-08,8.00,2020
December-09,1.00,2020
December-10,4.00,2020
December-11,14.00,2020
December-12,2.00,2020
December-13,1.00,2020
December-14,3.00,2020
December-15,5.00,2020
December-16,12.00,2020
December-17,2.00,2020
December-18,8.00,2020
December-19,5.00,2020
December-20,1.00,2020
December-22,7.00,2020
December-23,3.00,2020
December-24,3.00,2020
December-25,8.00,2020
December-27,2.00,2020
December-28,2.00,2020
December-29,3.00,2020
December-30,6.00,2020
December-31,6.00,2020
January-01,1.00,2021
January-02,1.00,2021
January-03,3.00,2021
January-05,9.00,2021
January-06,4.00,2021
January-07,2.00,2021
January-08,3.00,2021
January-09,3.00,2021
January-10,1.00,2021
January-12,2.00,2021
January-13,6.00,2021
January-16,4.00,2021
January-18,2.00,2021
January-19,3.00,2021
January-20,1.00,2021
January-22,2.00,2021
January-23,1.00,2021
January-25,1.00,2021
January-28,4.00,2021
January-29,1.00,2021
January-31,1.00,2021
February-01,1.00,2021
February-02,2.00,2021
February-04,3.00,2021
February-12,3.00,2021
February-14,1.00,2021
February-16,1.00,2021
February-17,2.00,2021
February-23,1.00,2021
February-24,2.00,2021
February-28,3.00,2021
March-05,3.00,2021
March-10,2.00,2021
March-11,1.00,2021
March-12,4.00,2021
March-14,1.00,2021
March-16,1.00,2021
March-17,1.00,2021
March-18,1.00,2021
March-19,2.00,2021
March-23,2.00,2021
March-26,5.00,2021
March-27,1.00,2021
March-28,1.00,2021
March-29,1.00,2021
March-30,9.00,2021
March-31,3.00,2021
April-01,1.00,2021
April-03,20.00,2021
April-04,1.00,2021
April-05,1.00,2021
April-06,1.00,2021
April-07,3.00,2021
April-08,9.00,2021
April-09,4.00,2021
April-10,2.00,2021
April-11,1.00,2021
April-12,1.00,2021
April-13,2.00,2021
April-14,25.00,2021
April-15,15.00,2021
April-16,3.00,2021
April-17,2.00,2021
April-18,2.00,2021
April-20,4.00,2021
April-21,1.00,2021
April-22,6.00,2021
April-23,1.00,2021
April-24,3.00,2021
April-25,1.00,2021
April-26,5.00,2021
April-27,1.00,2021
April-28,8.00,2021
April-30,5.00,2021
May-01,1.00,2021
May-03,1.00,2021
May-04,9.00,2021
May-06,1.00,2021
May-07,2.00,2021
May-08,2.00,2021
May-09,1.00,2021
May-10,2.00,2021
May-11,1.00,2021
May-13,6.00,2021
May-14,1.00,2021
May-15,1.00,2021
May-16,2.00,2021
May-22,1.00,2021
May-25,3.00,2021
May-26,1.00,2021
May-27,1.00,2021
May-28,1.00,2021
May-29,4.00,2021
May-30,8.00,2021
May-31,1.00,2021
June-01,3.00,2021
June-02,4.00,2021
June-03,10.00,2021
June-04,2.00,2021
June-05,2.00,2021
June-06,7.00,2021
June-07,7.00,2021
June-08,1.00,2021
June-09,23.00,2021
June-10,5.00,2021
June-11,9.00,2021
June-12,11.00,2021
June-13,13.00,2021
June-14,7.00,2021
June-15,7.00,2021
June-16,6.00,2021
June-17,5.00,2021
June-18,9.00,2021
June-19,8.00,2021
June-20,7.00,2021
June-21,11.00,2021
June-22,5.00,2021
June-23,20.00,2021
June-24,22.00,2021
June-25,6.00,2021
June-26,17.00,2021
June-27,19.00,2021
June-28,60.00,2021
June-29,31.00,2021
June-30,56.00,2021
July-01,18.00,2021
July-02,2.00,2021
July-03,16.00,2021
July-04,33.00,2021
July-05,47.00,2021
July-06,53.00,2021
July-07,17.00,2021
July-08,12.00,2021
July-09,7.00,2021
July-10,32.00,2021
July-11,16.00,2021
July-12,3.00,2021
July-13,15.00,2021
July-14,5.00,2021
July-15,6.00,2021
July-16,2.00,2021
July-17,22.00,2021
July-18,19.00,2021
July-19,5.00,2021
July-20,6.00,2021
July-22,21.00,2021
July-23,8.00,2021
July-24,43.00,2021
July-25,5.00,2021
July-26,19.00,2021
July-27,12.00,2021
July-28,7.00,2021
July-29,4.00,2021
July-31,18.00,2021
August-01,5.00,2021
August-02,7.00,2021
August-03,8.00,2021
August-04,9.00,2021
August-05,2.00,2021
August-07,2.00,2021
August-08,3.00,2021
August-09,18.00,2021
August-10,24.00,2021
August-12,1.00,2021
August-13,20.00,2021
August-14,8.00,2021
August-15,4.00,2021
August-17,14.00,2021
August-18,8.00,2021
August-19,1.00,2021
August-20,2.00,2021
August-21,5.00,2021
August-22,33.00,2021
August-23,3.00,2021
August-24,1.00,2021
August-25,16.00,2021
August-26,1.00,2021
August-28,4.00,2021
September-01,1.00,2021
September-02,18.00,2021
September-04,3.00,2021
September-05,3.00,2021
September-06,12.00,2021
September-08,1.00,2021
September-09,9.00,2021
September-13,1.00,2021
September-14,6.00,2021
September-17,1.00,2021
September-18,1.00,2021
September-19,2.00,2021
September-20,2.00,2021
September-21,4.00,2021
September-22,3.00,2021
September-25,5.00,2021
September-26,2.00,2021
September-29,5.00,2021
September-30,2.00,2021
October-02,2.00,2021
October-03,1.00,2021
October-04,1.00,2021
October-05,1.00,2021
October-08,2.00,2021
October-09,2.00,2021
October-10,1.00,2021
October-11,1.00,2021
October-13,1.00,2021
October-14,1.00,2021
October-16,3.00,2021
October-19,2.00,2021
October-22,1.00,2021
October-23,1.00,2021
October-25,1.00,2021
October-29,1.00,2021
October-30,1.00,2021
November-05,1.00,2021
November-06,2.00,2021
November-08,1.00,2021
November-09,2.00,2021
November-12,1.00,2021
November-16,2.00,2021
November-18,1.00,2021
November-19,1.00,2021
November-20,1.00,2021
November-23,1.00,2021
November-25,1.00,2021
November-26,2.00,2021
November-27,1.00,2021
November-30,3.00,2021
December-02,1.00,2021
December-03,2.00,2021
December-06,5.00,2021
December-09,2.00,2021
December-10,4.00,2021
December-11,1.00,2021
December-13,1.00,2021
December-14,3.00,2021
December-17,3.00,2021
December-21,4.00,2021
December-24,1.00,2021
December-27,4.00,2021
December-28,2.00,2021
December-31,1.00,2021
January-06,2.00,2022
January-08,1.00,2022
January-09,1.00,2022
January-12,1.00,2022
January-13,6.00,2022
January-14,1.00,2022
January-15,8.00,2022
January-16,7.00,2022
January-17,4.00,2022
January-18,16.00,2022
January-19,7.00,2022
January-20,6.00,2022
January-21,5.00,2022
January-22,10.00,2022
January-23,16.00,2022
January-24,35.00,2022
January-25,21.00,2022
January-26,30.00,2022
January-27,20.00,2022
January-28,5.00,2022
January-29,22.00,2022
January-30,48.00,2022
January-31,28.00,2022
February-01,43.00,2022
February-02,16.00,2022
February-03,23.00,2022
February-04,22.00,2022
February-05,12.00,2022
February-06,12.00,2022
February-07,11.00,2022
February-08,7.00,2022
February-09,30.00,2022
February-10,18.00,2022
February-11,20.00,2022
February-12,10.00,2022
February-13,22.00,2022
February-14,1.00,2022
February-15,30.00,2022
February-16,1.00,2022
February-17,3.00,2022
February-18,9.00,2022
February-19,1.00,2022
February-20,1.00,2022
February-21,1.00,2022
February-22,6.00,2022
February-23,2.00,2022
February-24,4.00,2022
February-25,5.00,2022
February-26,1.00,2022
February-27,1.00,2022
March-01,9.00,2022
March-05,2.00,2022
March-06,1.00,2022
