Category,Confirmed case,Year
April-12,1.00,2020
April-13,2.00,2020
April-14,1.00,2020
April-18,1.00,2020
April-19,2.00,2020
April-21,4.00,2020
April-22,3.00,2020
April-23,1.00,2020
April-24,1.00,2020
April-26,1.00,2020
April-27,1.00,2020
April-29,1.00,2020
April-30,2.00,2020
May-02,3.00,2020
May-09,1.00,2020
May-16,1.00,2020
May-20,3.00,2020
May-21,4.00,2020
May-22,3.00,2020
May-23,2.00,2020
May-24,4.00,2020
May-26,3.00,2020
May-27,4.00,2020
May-28,11.00,2020
May-29,2.00,2020
May-30,2.00,2020
May-31,6.00,2020
June-01,17.00,2020
June-02,22.00,2020
June-03,2.00,2020
June-04,27.00,2020
June-06,27.00,2020
June-07,27.00,2020
June-08,25.00,2020
June-09,17.00,2020
June-10,35.00,2020
June-11,34.00,2020
June-12,39.00,2020
June-13,42.00,2020
June-14,29.00,2020
June-15,48.00,2020
June-16,50.00,2020
June-17,99.00,2020
June-18,86.00,2020
June-19,134.00,2020
June-20,194.00,2020
June-21,127.00,2020
June-22,69.00,2020
June-23,89.00,2020
June-24,207.00,2020
June-25,83.00,2020
June-26,103.00,2020
June-27,124.00,2020
June-28,59.00,2020
June-29,72.00,2020
June-30,155.00,2020
July-01,111.00,2020
July-02,155.00,2020
July-03,121.00,2020
July-04,121.00,2020
July-05,91.00,2020
July-06,85.00,2020
July-07,141.00,2020
July-08,107.00,2020
July-09,116.00,2020
July-10,80.00,2020
July-11,95.00,2020
July-12,79.00,2020
July-13,90.00,2020
July-14,104.00,2020
July-15,63.00,2020
July-16,70.00,2020
July-17,82.00,2020
July-18,76.00,2020
July-19,67.00,2020
July-20,72.00,2020
July-21,49.00,2020
July-22,41.00,2020
July-23,55.00,2020
July-24,65.00,2020
July-25,66.00,2020
July-26,51.00,2020
July-27,48.00,2020
July-28,104.00,2020
July-29,67.00,2020
July-30,53.00,2020
July-31,58.00,2020
August-01,6.00,2020
August-02,16.00,2020
August-03,26.00,2020
August-04,51.00,2020
August-05,78.00,2020
August-06,40.00,2020
August-07,51.00,2020
August-08,42.00,2020
August-09,65.00,2020
August-10,86.00,2020
August-11,58.00,2020
August-12,39.00,2020
August-13,65.00,2020
August-14,47.00,2020
August-15,39.00,2020
August-16,57.00,2020
August-17,54.00,2020
August-18,49.00,2020
August-19,45.00,2020
August-20,33.00,2020
August-21,113.00,2020
August-22,55.00,2020
August-23,39.00,2020
August-24,33.00,2020
August-25,29.00,2020
August-26,41.00,2020
August-27,29.00,2020
August-28,38.00,2020
August-29,52.00,2020
August-30,30.00,2020
August-31,50.00,2020
September-01,51.00,2020
September-02,45.00,2020
September-03,33.00,2020
September-04,52.00,2020
September-05,34.00,2020
September-06,32.00,2020
September-07,35.00,2020
September-08,11.00,2020
September-09,32.00,2020
September-10,30.00,2020
September-11,22.00,2020
September-12,31.00,2020
September-13,22.00,2020
September-14,23.00,2020
September-15,27.00,2020
September-16,33.00,2020
September-17,17.00,2020
September-18,30.00,2020
September-19,19.00,2020
September-20,13.00,2020
September-21,7.00,2020
September-22,10.00,2020
September-23,10.00,2020
September-24,13.00,2020
September-25,16.00,2020
September-26,5.00,2020
September-27,12.00,2020
September-28,28.00,2020
September-29,14.00,2020
September-30,8.00,2020
October-01,8.00,2020
October-02,11.00,2020
October-03,6.00,2020
October-04,18.00,2020
October-05,5.00,2020
October-06,17.00,2020
October-07,12.00,2020
October-08,10.00,2020
October-09,12.00,2020
October-10,4.00,2020
October-11,9.00,2020
October-12,15.00,2020
October-13,19.00,2020
October-14,8.00,2020
October-15,7.00,2020
October-16,14.00,2020
October-17,1.00,2020
October-18,8.00,2020
October-19,5.00,2020
October-20,10.00,2020
October-21,9.00,2020
October-22,8.00,2020
October-23,2.00,2020
October-24,2.00,2020
October-25,11.00,2020
October-26,6.00,2020
October-27,4.00,2020
October-28,8.00,2020
October-29,16.00,2020
October-30,9.00,2020
October-31,19.00,2020
November-01,11.00,2020
November-02,8.00,2020
November-03,11.00,2020
November-04,9.00,2020
November-05,8.00,2020
November-06,14.00,2020
November-07,3.00,2020
November-08,12.00,2020
November-09,13.00,2020
November-10,6.00,2020
November-11,10.00,2020
November-12,7.00,2020
November-13,2.00,2020
November-14,6.00,2020
November-15,6.00,2020
November-16,7.00,2020
November-17,12.00,2020
November-18,10.00,2020
November-19,4.00,2020
November-20,4.00,2020
November-21,9.00,2020
November-22,4.00,2020
November-23,8.00,2020
November-24,12.00,2020
November-25,18.00,2020
November-26,12.00,2020
November-27,1.00,2020
November-28,7.00,2020
November-29,6.00,2020
November-30,12.00,2020
December-01,7.00,2020
December-02,7.00,2020
December-03,1.00,2020
December-04,15.00,2020
December-05,6.00,2020
December-06,24.00,2020
December-07,16.00,2020
December-08,20.00,2020
December-09,10.00,2020
December-10,3.00,2020
December-11,15.00,2020
December-12,7.00,2020
December-13,3.00,2020
December-14,9.00,2020
December-15,8.00,2020
