Category,Confirmed case,Year
April-07,1.00,2020
April-08,1.00,2020
April-09,5.00,2020
April-12,3.00,2020
April-13,3.00,2020
April-14,7.00,2020
April-15,7.00,2020
April-16,12.00,2020
April-17,29.00,2020
April-18,43.00,2020
April-19,63.00,2020
April-20,32.00,2020
April-21,14.00,2020
April-22,12.00,2020
April-23,7.00,2020
April-24,16.00,2020
April-25,6.00,2020
April-26,10.00,2020
April-27,8.00,2020
April-28,10.00,2020
April-29,6.00,2020
April-30,8.00,2020
May-01,4.00,2020
May-02,3.00,2020
May-04,1.00,2020
May-07,1.00,2020
May-11,2.00,2020
May-16,1.00,2020
May-17,1.00,2020
May-20,1.00,2020
May-23,1.00,2020
May-24,1.00,2020
May-28,1.00,2020
May-29,1.00,2020
May-30,1.00,2020
May-31,1.00,2020
June-02,1.00,2020
June-04,1.00,2020
June-05,3.00,2020
June-06,4.00,2020
June-07,1.00,2020
June-08,1.00,2020
June-09,1.00,2020
June-10,1.00,2020
June-11,2.00,2020
June-12,3.00,2020
June-13,2.00,2020
June-14,1.00,2020
June-15,1.00,2020
June-16,3.00,2020
June-18,4.00,2020
June-19,18.00,2020
June-20,13.00,2020
June-21,11.00,2020
June-22,12.00,2020
June-23,18.00,2020
June-24,16.00,2020
June-25,31.00,2020
June-26,17.00,2020
June-27,24.00,2020
June-28,33.00,2020
June-29,36.00,2020
June-30,62.00,2020
July-01,35.00,2020
July-02,30.00,2020
July-03,29.00,2020
July-04,9.00,2020
July-05,12.00,2020
July-06,18.00,2020
July-07,11.00,2020
July-08,14.00,2020
July-09,22.00,2020
July-10,12.00,2020
July-11,10.00,2020
July-12,15.00,2020
July-13,27.00,2020
July-14,10.00,2020
July-15,16.00,2020
July-16,18.00,2020
July-17,14.00,2020
July-18,28.00,2020
July-19,15.00,2020
July-20,16.00,2020
July-21,13.00,2020
July-22,22.00,2020
July-23,13.00,2020
July-24,14.00,2020
July-25,18.00,2020
July-26,18.00,2020
July-27,17.00,2020
July-28,11.00,2020
July-29,26.00,2020
July-30,27.00,2020
July-31,10.00,2020
August-01,1.00,2020
August-02,25.00,2020
August-03,19.00,2020
August-04,17.00,2020
August-05,11.00,2020
August-06,19.00,2020
August-07,19.00,2020
August-08,16.00,2020
August-09,15.00,2020
August-10,24.00,2020
August-11,25.00,2020
August-12,13.00,2020
August-13,11.00,2020
August-14,18.00,2020
August-15,21.00,2020
August-16,53.00,2020
August-17,24.00,2020
August-18,29.00,2020
August-19,27.00,2020
August-20,18.00,2020
August-21,25.00,2020
August-22,32.00,2020
August-23,10.00,2020
August-24,16.00,2020
August-25,32.00,2020
August-26,16.00,2020
August-27,10.00,2020
August-28,10.00,2020
August-29,18.00,2020
August-30,17.00,2020
August-31,13.00,2020
September-01,11.00,2020
September-02,8.00,2020
September-03,7.00,2020
September-04,13.00,2020
September-05,9.00,2020
September-06,22.00,2020
September-07,15.00,2020
September-08,16.00,2020
September-09,26.00,2020
September-10,11.00,2020
September-11,10.00,2020
September-12,10.00,2020
September-13,16.00,2020
September-14,9.00,2020
September-15,10.00,2020
September-16,8.00,2020
September-17,17.00,2020
September-18,9.00,2020
September-19,7.00,2020
September-20,14.00,2020
September-21,10.00,2020
September-22,22.00,2020
September-23,8.00,2020
September-24,11.00,2020
September-25,9.00,2020
September-26,8.00,2020
September-27,12.00,2020
September-28,14.00,2020
September-29,14.00,2020
September-30,6.00,2020
October-01,8.00,2020
October-02,19.00,2020
October-03,2.00,2020
October-04,15.00,2020
October-05,9.00,2020
October-06,5.00,2020
October-07,6.00,2020
October-08,6.00,2020
October-09,8.00,2020
October-10,2.00,2020
October-11,22.00,2020
October-12,18.00,2020
October-13,14.00,2020
October-14,14.00,2020
October-15,9.00,2020
October-16,8.00,2020
October-17,6.00,2020
October-18,15.00,2020
October-19,3.00,2020
October-20,8.00,2020
October-21,20.00,2020
October-22,15.00,2020
October-23,11.00,2020
October-24,2.00,2020
October-25,13.00,2020
October-26,7.00,2020
October-27,6.00,2020
October-28,17.00,2020
October-29,10.00,2020
October-30,6.00,2020
October-31,20.00,2020
November-01,15.00,2020
November-02,7.00,2020
November-03,15.00,2020
November-04,12.00,2020
November-05,9.00,2020
November-06,16.00,2020
November-07,15.00,2020
November-08,10.00,2020
November-09,6.00,2020
November-10,21.00,2020
November-11,14.00,2020
November-12,11.00,2020
November-13,14.00,2020
November-14,4.00,2020
November-15,20.00,2020
November-16,13.00,2020
November-17,12.00,2020
November-18,9.00,2020
November-19,4.00,2020
November-20,21.00,2020
November-21,2.00,2020
November-22,17.00,2020
November-23,11.00,2020
November-24,8.00,2020
November-25,18.00,2020
November-26,11.00,2020
November-27,13.00,2020
November-28,2.00,2020
November-29,14.00,2020
November-30,6.00,2020
December-01,13.00,2020
December-02,5.00,2020
December-03,6.00,2020
December-04,5.00,2020
December-05,5.00,2020
December-06,10.00,2020
December-07,10.00,2020
December-08,4.00,2020
December-09,5.00,2020
December-10,12.00,2020
December-11,6.00,2020
December-12,8.00,2020
December-13,12.00,2020
December-14,7.00,2020
December-15,11.00,2020
December-16,2.00,2020
December-17,12.00,2020
December-18,15.00,2020
December-19,5.00,2020
December-20,13.00,2020
December-21,7.00,2020
December-22,7.00,2020
December-23,12.00,2020
December-24,6.00,2020
December-25,6.00,2020
December-26,6.00,2020
December-27,16.00,2020
December-28,9.00,2020
December-29,12.00,2020
December-30,10.00,2020
December-31,15.00,2020
January-01,8.00,2021
January-02,2.00,2021
January-03,11.00,2021
January-04,8.00,2021
January-05,4.00,2021
January-06,8.00,2021
January-07,8.00,2021
January-08,8.00,2021
January-09,5.00,2021
January-10,2.00,2021
January-11,4.00,2021
January-12,9.00,2021
January-13,10.00,2021
January-14,5.00,2021
January-15,2.00,2021
January-16,5.00,2021
January-17,4.00,2021
January-18,3.00,2021
January-19,3.00,2021
January-20,6.00,2021
January-21,3.00,2021
January-22,5.00,2021
January-23,8.00,2021
January-24,5.00,2021
January-25,2.00,2021
January-26,1.00,2021
January-27,5.00,2021
January-28,2.00,2021
January-29,6.00,2021
January-30,6.00,2021
February-01,4.00,2021
February-02,2.00,2021
February-03,2.00,2021
February-04,4.00,2021
February-05,5.00,2021
February-07,2.00,2021
February-08,2.00,2021
February-09,1.00,2021
February-10,2.00,2021
February-11,2.00,2021
February-12,1.00,2021
February-14,3.00,2021
February-16,6.00,2021
February-17,2.00,2021
February-18,1.00,2021
February-19,3.00,2021
February-20,1.00,2021
February-21,6.00,2021
February-22,3.00,2021
February-23,8.00,2021
February-24,2.00,2021
February-25,10.00,2021
February-26,5.00,2021
February-27,1.00,2021
February-28,5.00,2021
March-01,3.00,2021
March-02,6.00,2021
March-03,6.00,2021
March-04,7.00,2021
March-05,7.00,2021
March-06,2.00,2021
March-07,5.00,2021
March-08,5.00,2021
March-09,7.00,2021
March-10,6.00,2021
March-11,7.00,2021
March-12,9.00,2021
March-14,10.00,2021
March-15,15.00,2021
March-16,28.00,2021
March-17,17.00,2021
March-18,8.00,2021
March-19,17.00,2021
March-20,14.00,2021
March-21,15.00,2021
March-22,12.00,2021
March-23,27.00,2021
March-24,25.00,2021
March-25,26.00,2021
March-26,22.00,2021
March-27,15.00,2021
March-28,27.00,2021
March-29,31.00,2021
March-30,44.00,2021
March-31,47.00,2021
April-01,54.00,2021
April-02,12.00,2021
April-03,63.00,2021
April-04,57.00,2021
April-05,52.00,2021
April-06,50.00,2021
April-07,45.00,2021
April-08,46.00,2021
April-09,50.00,2021
April-10,17.00,2021
April-11,48.00,2021
April-12,48.00,2021
April-13,38.00,2021
April-14,26.00,2021
April-15,16.00,2021
April-16,25.00,2021
April-17,20.00,2021
April-18,32.00,2021
April-19,46.00,2021
April-20,33.00,2021
April-21,32.00,2021
April-22,32.00,2021
April-23,21.00,2021
April-24,23.00,2021
April-25,23.00,2021
April-26,46.00,2021
April-27,33.00,2021
April-28,26.00,2021
April-29,32.00,2021
April-30,30.00,2021
May-01,15.00,2021
May-02,7.00,2021
May-03,19.00,2021
May-04,23.00,2021
May-05,20.00,2021
May-06,11.00,2021
May-07,13.00,2021
May-08,11.00,2021
May-09,22.00,2021
May-10,19.00,2021
May-11,8.00,2021
May-12,17.00,2021
May-13,14.00,2021
May-14,3.00,2021
May-15,11.00,2021
May-16,2.00,2021
May-17,18.00,2021
May-18,12.00,2021
May-19,11.00,2021
May-20,15.00,2021
May-21,8.00,2021
May-22,18.00,2021
May-23,17.00,2021
May-24,12.00,2021
May-25,15.00,2021
May-26,18.00,2021
May-27,8.00,2021
May-28,14.00,2021
May-29,22.00,2021
May-30,19.00,2021
May-31,18.00,2021
June-01,14.00,2021
June-02,12.00,2021
June-03,8.00,2021
June-04,10.00,2021
June-05,11.00,2021
June-06,33.00,2021
June-07,26.00,2021
June-08,12.00,2021
June-09,25.00,2021
June-10,32.00,2021
June-11,25.00,2021
June-12,40.00,2021
June-13,19.00,2021
June-14,43.00,2021
June-15,39.00,2021
June-16,35.00,2021
June-17,39.00,2021
June-18,40.00,2021
June-19,29.00,2021
June-20,49.00,2021
June-21,41.00,2021
June-22,69.00,2021
June-23,64.00,2021
June-24,85.00,2021
June-25,125.00,2021
June-26,73.00,2021
June-27,101.00,2021
June-28,95.00,2021
June-29,101.00,2021
June-30,111.00,2021
July-01,127.00,2021
July-02,102.00,2021
July-03,143.00,2021
