Category,Confirmed case,Year
April-13,1.00,2020
April-14,1.00,2020
April-22,1.00,2020
April-24,6.00,2020
April-25,1.00,2020
April-27,1.00,2020
April-28,1.00,2020
May-08,1.00,2020
May-10,1.00,2020
May-15,1.00,2020
May-16,4.00,2020
May-29,2.00,2020
May-30,1.00,2020
May-31,1.00,2020
June-01,1.00,2020
June-02,1.00,2020
June-03,2.00,2020
June-05,1.00,2020
June-06,1.00,2020
June-08,3.00,2020
June-09,3.00,2020
June-10,2.00,2020
June-11,2.00,2020
June-12,7.00,2020
June-13,1.00,2020
June-15,2.00,2020
June-16,1.00,2020
June-17,1.00,2020
June-18,8.00,2020
June-19,2.00,2020
June-21,1.00,2020
June-22,1.00,2020
June-24,2.00,2020
June-25,4.00,2020
June-26,2.00,2020
June-27,1.00,2020
June-28,5.00,2020
June-29,5.00,2020
June-30,6.00,2020
July-01,41.00,2020
July-02,7.00,2020
July-03,7.00,2020
July-04,4.00,2020
July-05,10.00,2020
July-06,5.00,2020
July-07,5.00,2020
July-08,5.00,2020
July-09,14.00,2020
July-10,7.00,2020
July-11,8.00,2020
July-12,11.00,2020
July-13,2.00,2020
July-14,8.00,2020
July-15,18.00,2020
July-16,3.00,2020
July-17,18.00,2020
July-18,9.00,2020
July-19,8.00,2020
July-20,7.00,2020
July-21,15.00,2020
July-22,19.00,2020
July-23,13.00,2020
July-24,12.00,2020
July-25,18.00,2020
July-26,19.00,2020
July-27,10.00,2020
July-28,10.00,2020
July-29,16.00,2020
July-30,15.00,2020
July-31,5.00,2020
August-01,10.00,2020
August-02,17.00,2020
August-03,16.00,2020
August-04,13.00,2020
August-05,16.00,2020
August-06,12.00,2020
August-07,14.00,2020
August-08,7.00,2020
August-09,9.00,2020
August-10,11.00,2020
August-11,10.00,2020
August-12,10.00,2020
August-13,9.00,2020
August-14,17.00,2020
August-15,44.00,2020
August-16,15.00,2020
August-17,6.00,2020
August-18,6.00,2020
August-19,8.00,2020
August-20,11.00,2020
August-21,4.00,2020
August-22,12.00,2020
August-23,4.00,2020
August-24,10.00,2020
August-25,10.00,2020
August-26,4.00,2020
August-27,5.00,2020
August-28,9.00,2020
August-29,6.00,2020
August-30,19.00,2020
August-31,6.00,2020
September-01,1.00,2020
September-02,1.00,2020
September-03,1.00,2020
September-04,13.00,2020
September-05,7.00,2020
September-06,1.00,2020
September-07,5.00,2020
September-08,10.00,2020
September-09,1.00,2020
September-10,2.00,2020
