Category,Confirmed case,Year
April-09,1.00,2020
April-10,1.00,2020
April-12,1.00,2020
April-13,2.00,2020
April-14,4.00,2020
April-18,2.00,2020
April-19,2.00,2020
April-21,2.00,2020
April-22,1.00,2020
April-23,4.00,2020
April-27,3.00,2020
April-28,3.00,2020
April-30,3.00,2020
May-01,2.00,2020
May-06,1.00,2020
May-08,1.00,2020
May-13,1.00,2020
May-15,3.00,2020
May-17,9.00,2020
May-18,9.00,2020
May-20,17.00,2020
May-21,10.00,2020
May-22,14.00,2020
May-23,1.00,2020
May-26,5.00,2020
May-27,30.00,2020
May-29,7.00,2020
May-30,24.00,2020
May-31,11.00,2020
June-02,3.00,2020
June-04,11.00,2020
June-05,45.00,2020
June-07,2.00,2020
June-08,23.00,2020
June-09,23.00,2020
June-10,17.00,2020
June-11,46.00,2020
June-12,4.00,2020
June-13,2.00,2020
June-14,2.00,2020
June-15,39.00,2020
June-16,23.00,2020
June-17,3.00,2020
June-18,1.00,2020
June-19,11.00,2020
June-20,34.00,2020
June-21,24.00,2020
June-22,82.00,2020
June-23,35.00,2020
June-24,39.00,2020
June-25,36.00,2020
June-26,1.00,2020
June-27,36.00,2020
June-28,43.00,2020
June-29,69.00,2020
June-30,41.00,2020
July-01,16.00,2020
July-02,20.00,2020
July-03,3.00,2020
July-04,16.00,2020
July-05,17.00,2020
July-06,18.00,2020
July-07,19.00,2020
July-08,27.00,2020
July-09,35.00,2020
July-11,20.00,2020
July-12,10.00,2020
July-13,28.00,2020
July-14,33.00,2020
July-15,27.00,2020
July-16,14.00,2020
July-17,1.00,2020
July-18,15.00,2020
July-19,28.00,2020
July-20,16.00,2020
July-21,14.00,2020
July-22,22.00,2020
July-23,12.00,2020
July-25,42.00,2020
July-26,6.00,2020
July-27,24.00,2020
July-28,18.00,2020
July-29,34.00,2020
July-30,24.00,2020
July-31,19.00,2020
August-01,2.00,2020
August-03,7.00,2020
August-04,30.00,2020
August-05,29.00,2020
August-06,28.00,2020
August-07,5.00,2020
August-08,43.00,2020
August-09,51.00,2020
August-10,40.00,2020
August-11,36.00,2020
August-12,6.00,2020
August-13,28.00,2020
August-14,2.00,2020
August-15,28.00,2020
August-16,23.00,2020
August-17,24.00,2020
August-18,9.00,2020
August-19,18.00,2020
August-20,21.00,2020
August-22,14.00,2020
August-23,24.00,2020
August-24,13.00,2020
August-25,17.00,2020
August-26,4.00,2020
August-27,24.00,2020
August-28,1.00,2020
August-29,11.00,2020
August-30,4.00,2020
August-31,39.00,2020
September-01,26.00,2020
September-02,12.00,2020
September-03,19.00,2020
September-04,2.00,2020
September-05,9.00,2020
September-06,18.00,2020
September-07,11.00,2020
September-08,6.00,2020
September-09,6.00,2020
September-10,4.00,2020
September-12,9.00,2020
September-13,18.00,2020
September-14,5.00,2020
September-15,6.00,2020
September-16,2.00,2020
September-17,8.00,2020
September-18,1.00,2020
September-19,8.00,2020
September-20,6.00,2020
September-21,6.00,2020
September-22,5.00,2020
September-23,7.00,2020
September-24,3.00,2020
September-27,7.00,2020
September-28,5.00,2020
September-29,7.00,2020
September-30,4.00,2020
October-01,6.00,2020
October-02,1.00,2020
October-03,4.00,2020
October-04,5.00,2020
October-05,2.00,2020
October-06,4.00,2020
October-07,7.00,2020
October-08,3.00,2020
October-09,5.00,2020
October-10,7.00,2020
October-11,4.00,2020
October-12,2.00,2020
October-13,3.00,2020
October-14,5.00,2020
October-15,6.00,2020
October-16,2.00,2020
October-17,4.00,2020
October-18,4.00,2020
October-19,2.00,2020
October-20,10.00,2020
October-21,6.00,2020
October-22,3.00,2020
October-24,2.00,2020
October-25,5.00,2020
October-27,1.00,2020
October-28,2.00,2020
October-29,3.00,2020
October-31,5.00,2020
November-01,3.00,2020
November-02,6.00,2020
November-03,6.00,2020
November-05,2.00,2020
November-06,1.00,2020
November-07,3.00,2020
November-08,1.00,2020
November-09,4.00,2020
