Category,Confirmed case,Year
April-11,1.00,2020
April-28,1.00,2020
May-15,7.00,2020
May-16,1.00,2020
May-26,1.00,2020
May-30,4.00,2020
June-02,3.00,2020
June-04,1.00,2020
June-06,1.00,2020
June-08,2.00,2020
June-09,1.00,2020
June-10,1.00,2020
June-12,4.00,2020
June-13,2.00,2020
June-14,2.00,2020
June-15,3.00,2020
June-17,2.00,2020
June-19,1.00,2020
June-21,5.00,2020
June-22,2.00,2020
June-24,3.00,2020
June-25,4.00,2020
June-26,2.00,2020
June-27,4.00,2020
June-28,10.00,2020
June-29,9.00,2020
June-30,4.00,2020
July-01,25.00,2020
July-02,7.00,2020
July-04,5.00,2020
July-05,16.00,2020
July-06,6.00,2020
July-07,7.00,2020
July-08,4.00,2020
July-09,7.00,2020
July-10,4.00,2020
July-11,11.00,2020
July-12,5.00,2020
July-13,2.00,2020
July-14,3.00,2020
July-15,11.00,2020
July-16,9.00,2020
July-17,6.00,2020
July-18,13.00,2020
July-19,14.00,2020
July-20,5.00,2020
July-21,16.00,2020
July-22,11.00,2020
July-23,10.00,2020
July-24,16.00,2020
July-25,10.00,2020
July-26,17.00,2020
July-27,11.00,2020
July-28,13.00,2020
July-29,6.00,2020
July-30,5.00,2020
July-31,7.00,2020
August-01,4.00,2020
August-02,20.00,2020
August-03,13.00,2020
August-04,11.00,2020
August-05,10.00,2020
August-06,11.00,2020
August-07,13.00,2020
August-08,19.00,2020
August-09,13.00,2020
August-10,9.00,2020
August-11,5.00,2020
August-12,10.00,2020
August-13,9.00,2020
August-14,12.00,2020
August-15,34.00,2020
August-16,11.00,2020
August-17,7.00,2020
August-18,13.00,2020
August-19,9.00,2020
August-20,10.00,2020
August-21,10.00,2020
August-22,12.00,2020
August-23,11.00,2020
August-24,11.00,2020
August-25,9.00,2020
August-26,17.00,2020
August-27,7.00,2020
August-28,8.00,2020
August-29,7.00,2020
August-30,13.00,2020
August-31,24.00,2020
September-01,1.00,2020
September-02,9.00,2020
September-03,1.00,2020
September-04,24.00,2020
September-05,8.00,2020
September-06,9.00,2020
September-07,5.00,2020
September-08,10.00,2020
September-09,5.00,2020
September-10,5.00,2020
September-11,4.00,2020
September-12,6.00,2020
September-13,5.00,2020
September-14,4.00,2020
September-15,8.00,2020
September-16,4.00,2020
September-17,8.00,2020
September-18,10.00,2020
September-19,8.00,2020
September-20,2.00,2020
September-21,3.00,2020
September-22,7.00,2020
September-23,3.00,2020
September-25,2.00,2020
September-26,2.00,2020
September-27,2.00,2020
September-28,7.00,2020
