Category,Confirmed case,Year
April-07,3.00,2020
April-08,2.00,2020
April-10,2.00,2020
April-12,1.00,2020
April-13,1.00,2020
April-14,1.00,2020
April-15,2.00,2020
April-18,1.00,2020
April-19,1.00,2020
April-20,3.00,2020
April-21,2.00,2020
April-22,3.00,2020
April-23,2.00,2020
April-27,1.00,2020
April-29,1.00,2020
April-30,1.00,2020
May-02,1.00,2020
May-04,1.00,2020
May-06,1.00,2020
May-18,1.00,2020
May-28,9.00,2020
May-31,25.00,2020
June-02,20.00,2020
June-03,1.00,2020
June-04,85.00,2020
June-05,31.00,2020
June-06,17.00,2020
June-07,29.00,2020
June-08,19.00,2020
June-09,10.00,2020
June-10,8.00,2020
June-11,10.00,2020
June-12,17.00,2020
June-14,1.00,2020
June-16,1.00,2020
June-17,2.00,2020
June-18,23.00,2020
June-19,30.00,2020
June-20,25.00,2020
June-21,1.00,2020
June-22,3.00,2020
June-23,3.00,2020
June-24,20.00,2020
June-25,51.00,2020
June-26,14.00,2020
June-27,10.00,2020
June-28,9.00,2020
June-29,7.00,2020
June-30,25.00,2020
July-01,11.00,2020
July-02,15.00,2020
July-03,9.00,2020
July-04,3.00,2020
July-05,1.00,2020
July-08,65.00,2020
July-09,3.00,2020
July-10,10.00,2020
July-11,1.00,2020
July-12,5.00,2020
July-13,1.00,2020
July-14,30.00,2020
July-15,12.00,2020
July-16,23.00,2020
July-17,16.00,2020
July-18,18.00,2020
July-19,9.00,2020
July-20,16.00,2020
July-21,15.00,2020
July-22,4.00,2020
July-23,3.00,2020
July-24,2.00,2020
July-25,18.00,2020
July-26,3.00,2020
July-27,7.00,2020
July-28,16.00,2020
July-29,6.00,2020
July-30,4.00,2020
July-31,1.00,2020
August-02,17.00,2020
August-04,9.00,2020
August-05,12.00,2020
August-06,22.00,2020
August-08,23.00,2020
August-09,5.00,2020
August-10,5.00,2020
August-11,1.00,2020
August-12,4.00,2020
August-13,63.00,2020
August-14,2.00,2020
August-15,46.00,2020
August-16,4.00,2020
August-17,12.00,2020
August-18,64.00,2020
August-19,21.00,2020
August-20,15.00,2020
August-22,31.00,2020
August-23,8.00,2020
August-24,17.00,2020
August-25,19.00,2020
August-26,16.00,2020
August-27,16.00,2020
August-28,1.00,2020
