Category,Confirmed case,Year
April-24,1.00,2020
April-26,1.00,2020
May-05,2.00,2020
May-18,1.00,2020
May-23,5.00,2020
May-27,1.00,2020
May-28,1.00,2020
May-29,4.00,2020
May-30,8.00,2020
May-31,1.00,2020
June-06,2.00,2020
June-07,4.00,2020
June-09,3.00,2020
June-11,1.00,2020
June-14,2.00,2020
June-15,1.00,2020
June-16,2.00,2020
June-17,5.00,2020
June-18,1.00,2020
June-19,2.00,2020
June-20,6.00,2020
June-21,2.00,2020
June-22,7.00,2020
June-23,5.00,2020
June-24,8.00,2020
June-25,2.00,2020
June-26,1.00,2020
June-27,16.00,2020
June-29,4.00,2020
June-30,2.00,2020
July-01,4.00,2020
July-02,18.00,2020
July-03,5.00,2020
July-05,1.00,2020
July-06,3.00,2020
July-07,2.00,2020
July-08,3.00,2020
July-10,2.00,2020
July-11,2.00,2020
July-12,5.00,2020
July-13,4.00,2020
July-14,5.00,2020
July-15,6.00,2020
July-16,6.00,2020
July-17,4.00,2020
July-18,6.00,2020
July-19,4.00,2020
July-20,5.00,2020
July-21,3.00,2020
July-22,3.00,2020
July-23,2.00,2020
July-24,3.00,2020
July-25,6.00,2020
July-26,1.00,2020
July-27,2.00,2020
July-28,2.00,2020
July-29,11.00,2020
July-30,8.00,2020
July-31,7.00,2020
August-01,8.00,2020
August-02,1.00,2020
August-03,9.00,2020
August-04,12.00,2020
August-05,3.00,2020
August-06,12.00,2020
August-07,14.00,2020
August-08,13.00,2020
August-09,21.00,2020
August-10,3.00,2020
August-11,14.00,2020
August-12,18.00,2020
August-13,13.00,2020
August-14,27.00,2020
August-15,14.00,2020
August-16,9.00,2020
August-17,15.00,2020
August-19,23.00,2020
August-20,1.00,2020
August-21,1.00,2020
August-22,3.00,2020
August-23,50.00,2020
August-24,2.00,2020
August-25,27.00,2020
August-26,14.00,2020
August-27,6.00,2020
August-28,5.00,2020
August-29,7.00,2020
August-30,8.00,2020
August-31,4.00,2020
September-01,15.00,2020
September-02,7.00,2020
September-03,2.00,2020
September-04,1.00,2020
September-05,12.00,2020
September-06,3.00,2020
September-07,6.00,2020
September-08,3.00,2020
September-09,6.00,2020
September-10,6.00,2020
September-11,2.00,2020
September-13,6.00,2020
September-14,5.00,2020
September-15,2.00,2020
September-16,3.00,2020
September-17,4.00,2020
September-18,4.00,2020
September-19,1.00,2020
September-21,4.00,2020
September-22,2.00,2020
September-23,2.00,2020
September-24,2.00,2020
September-25,4.00,2020
September-26,2.00,2020
September-27,4.00,2020
September-28,1.00,2020
September-29,6.00,2020
September-30,1.00,2020
October-01,1.00,2020
October-02,2.00,2020
October-04,4.00,2020
October-05,7.00,2020
October-06,3.00,2020
October-08,2.00,2020
October-09,6.00,2020
October-11,2.00,2020
October-12,2.00,2020
October-13,1.00,2020
October-14,1.00,2020
October-15,1.00,2020
October-16,3.00,2020
October-18,5.00,2020
October-19,2.00,2020
October-20,2.00,2020
October-21,1.00,2020
October-22,1.00,2020
October-23,4.00,2020
October-26,1.00,2020
October-27,1.00,2020
October-28,1.00,2020
October-29,1.00,2020
October-30,3.00,2020
November-01,3.00,2020
November-02,3.00,2020
November-03,4.00,2020
November-04,2.00,2020
November-05,3.00,2020
November-06,1.00,2020
November-07,6.00,2020
November-08,3.00,2020
November-13,2.00,2020
November-15,6.00,2020
November-16,1.00,2020
November-17,5.00,2020
November-19,1.00,2020
November-20,4.00,2020
November-21,1.00,2020
November-22,2.00,2020
November-23,5.00,2020
November-25,6.00,2020
November-27,1.00,2020
November-28,1.00,2020
November-29,4.00,2020
November-30,3.00,2020
December-01,2.00,2020
December-02,6.00,2020
December-03,2.00,2020
December-04,1.00,2020
December-06,1.00,2020
December-08,7.00,2020
December-10,9.00,2020
December-11,1.00,2020
December-12,1.00,2020
December-14,2.00,2020
December-15,3.00,2020
December-16,1.00,2020
December-20,2.00,2020
December-21,1.00,2020
December-23,2.00,2020
December-26,1.00,2020
December-27,2.00,2020
December-31,1.00,2020
January-02,1.00,2021
January-09,1.00,2021
January-10,1.00,2021
January-11,2.00,2021
January-13,1.00,2021
January-16,1.00,2021
January-19,2.00,2021
January-20,4.00,2021
January-26,1.00,2021
January-29,3.00,2021
January-30,1.00,2021
February-01,1.00,2021
February-13,1.00,2021
February-14,1.00,2021
February-19,1.00,2021
February-27,1.00,2021
March-02,1.00,2021
March-08,1.00,2021
March-15,2.00,2021
March-16,3.00,2021
March-18,3.00,2021
March-19,1.00,2021
March-20,2.00,2021
March-22,1.00,2021
March-23,3.00,2021
March-24,4.00,2021
March-25,7.00,2021
March-27,5.00,2021
March-28,5.00,2021
March-29,3.00,2021
March-30,4.00,2021
March-31,8.00,2021
April-01,6.00,2021
April-02,5.00,2021
April-03,10.00,2021
April-04,4.00,2021
April-05,5.00,2021
April-06,4.00,2021
April-07,4.00,2021
April-08,8.00,2021
April-09,12.00,2021
April-10,10.00,2021
April-11,1.00,2021
April-12,12.00,2021
April-13,5.00,2021
April-14,1.00,2021
April-15,3.00,2021
April-16,2.00,2021
April-17,2.00,2021
April-18,5.00,2021
April-19,2.00,2021
April-20,5.00,2021
April-21,4.00,2021
April-22,1.00,2021
April-23,4.00,2021
April-25,5.00,2021
April-26,1.00,2021
April-27,5.00,2021
April-28,2.00,2021
April-29,1.00,2021
May-02,2.00,2021
May-03,7.00,2021
May-04,1.00,2021
May-05,2.00,2021
May-06,5.00,2021
May-08,1.00,2021
May-09,6.00,2021
May-11,2.00,2021
May-12,1.00,2021
May-14,1.00,2021
May-15,3.00,2021
May-16,5.00,2021
May-17,8.00,2021
May-18,6.00,2021
May-19,7.00,2021
May-20,6.00,2021
May-21,5.00,2021
May-22,1.00,2021
May-23,5.00,2021
May-24,1.00,2021
May-25,3.00,2021
May-27,5.00,2021
May-28,5.00,2021
May-29,15.00,2021
May-30,3.00,2021
May-31,7.00,2021
June-01,8.00,2021
June-02,3.00,2021
June-03,4.00,2021
June-04,2.00,2021
June-05,8.00,2021
June-06,6.00,2021
June-07,13.00,2021
June-08,12.00,2021
June-09,8.00,2021
June-10,8.00,2021
June-11,10.00,2021
June-12,19.00,2021
June-13,20.00,2021
June-14,16.00,2021
June-15,27.00,2021
June-16,13.00,2021
June-17,19.00,2021
June-18,11.00,2021
June-19,18.00,2021
June-20,28.00,2021
June-21,24.00,2021
June-22,28.00,2021
June-23,28.00,2021
June-24,50.00,2021
June-25,11.00,2021
June-26,49.00,2021
June-27,60.00,2021
June-28,78.00,2021
June-29,57.00,2021
June-30,35.00,2021
July-01,130.00,2021
July-02,5.00,2021
July-03,69.00,2021
July-04,100.00,2021
July-05,57.00,2021
July-06,33.00,2021
