Category,Confirmed case,Year
April-05,1.00,2020
April-09,2.00,2020
April-14,1.00,2020
April-17,1.00,2020
April-21,3.00,2020
April-22,5.00,2020
April-24,3.00,2020
April-25,1.00,2020
April-26,12.00,2020
April-30,4.00,2020
May-02,2.00,2020
May-03,1.00,2020
May-04,1.00,2020
May-05,7.00,2020
May-07,1.00,2020
May-09,2.00,2020
May-10,8.00,2020
May-12,1.00,2020
May-13,8.00,2020
May-15,2.00,2020
May-16,1.00,2020
May-20,1.00,2020
May-24,9.00,2020
May-26,1.00,2020
May-30,33.00,2020
June-01,3.00,2020
June-02,8.00,2020
June-03,14.00,2020
June-04,6.00,2020
June-08,1.00,2020
June-09,1.00,2020
June-10,26.00,2020
June-11,1.00,2020
June-12,17.00,2020
June-15,7.00,2020
June-18,9.00,2020
June-19,4.00,2020
June-21,27.00,2020
June-22,30.00,2020
June-25,7.00,2020
June-26,1.00,2020
June-27,5.00,2020
June-28,3.00,2020
June-29,13.00,2020
June-30,70.00,2020
July-01,10.00,2020
July-02,4.00,2020
July-03,86.00,2020
July-05,10.00,2020
July-06,7.00,2020
July-07,15.00,2020
July-08,1.00,2020
July-09,54.00,2020
July-10,1.00,2020
July-11,24.00,2020
July-12,1.00,2020
July-13,4.00,2020
July-14,26.00,2020
July-15,45.00,2020
July-16,73.00,2020
July-17,1.00,2020
July-19,9.00,2020
July-20,32.00,2020
July-21,3.00,2020
July-22,8.00,2020
July-23,26.00,2020
July-24,5.00,2020
July-25,3.00,2020
July-26,38.00,2020
July-27,10.00,2020
July-28,23.00,2020
July-29,9.00,2020
July-30,4.00,2020
July-31,8.00,2020
August-01,4.00,2020
August-02,13.00,2020
August-03,9.00,2020
August-04,19.00,2020
August-05,11.00,2020
August-06,12.00,2020
August-07,23.00,2020
August-08,34.00,2020
August-09,2.00,2020
August-10,18.00,2020
August-11,50.00,2020
August-12,62.00,2020
August-13,5.00,2020
August-14,10.00,2020
August-15,4.00,2020
August-16,27.00,2020
August-17,5.00,2020
August-18,33.00,2020
August-19,21.00,2020
August-20,31.00,2020
August-21,34.00,2020
August-22,27.00,2020
August-23,21.00,2020
August-24,17.00,2020
August-25,40.00,2020
August-26,18.00,2020
August-27,20.00,2020
August-28,5.00,2020
August-29,11.00,2020
August-30,37.00,2020
August-31,1.00,2020
September-01,10.00,2020
September-02,30.00,2020
September-03,9.00,2020
September-04,14.00,2020
September-05,15.00,2020
September-06,15.00,2020
September-07,8.00,2020
September-08,9.00,2020
September-09,11.00,2020
September-10,17.00,2020
September-11,21.00,2020
September-12,2.00,2020
September-13,2.00,2020
September-14,1.00,2020
September-15,21.00,2020
September-16,18.00,2020
September-17,1.00,2020
September-18,12.00,2020
September-19,3.00,2020
September-20,6.00,2020
September-21,3.00,2020
September-22,7.00,2020
September-23,4.00,2020
September-24,4.00,2020
September-25,3.00,2020
September-26,4.00,2020
September-27,10.00,2020
September-28,6.00,2020
September-29,13.00,2020
September-30,5.00,2020
October-01,2.00,2020
October-02,7.00,2020
October-03,1.00,2020
October-04,7.00,2020
October-05,4.00,2020
October-06,3.00,2020
October-07,9.00,2020
October-08,6.00,2020
October-09,1.00,2020
October-10,1.00,2020
October-11,7.00,2020
October-12,5.00,2020
October-13,13.00,2020
October-14,7.00,2020
October-15,6.00,2020
October-16,12.00,2020
October-18,7.00,2020
October-20,3.00,2020
October-21,3.00,2020
October-22,4.00,2020
October-23,2.00,2020
October-24,5.00,2020
October-25,3.00,2020
October-26,4.00,2020
October-27,8.00,2020
October-28,10.00,2020
October-29,4.00,2020
October-30,5.00,2020
October-31,7.00,2020
November-01,7.00,2020
November-02,9.00,2020
November-03,3.00,2020
November-04,6.00,2020
November-05,5.00,2020
November-06,1.00,2020
November-07,4.00,2020
November-08,6.00,2020
November-09,4.00,2020
November-10,4.00,2020
November-11,4.00,2020
November-12,6.00,2020
November-13,5.00,2020
November-14,4.00,2020
November-15,3.00,2020
November-16,8.00,2020
November-17,2.00,2020
November-18,2.00,2020
November-19,2.00,2020
November-20,1.00,2020
November-22,6.00,2020
November-23,2.00,2020
November-24,5.00,2020
November-25,2.00,2020
November-26,6.00,2020
November-27,3.00,2020
November-28,3.00,2020
November-29,3.00,2020
November-30,2.00,2020
December-01,2.00,2020
December-02,9.00,2020
December-03,3.00,2020
December-04,3.00,2020
December-05,2.00,2020
December-06,2.00,2020
December-07,4.00,2020
December-08,2.00,2020
December-09,6.00,2020
December-10,5.00,2020
December-11,1.00,2020
December-13,5.00,2020
December-14,5.00,2020
December-15,1.00,2020
December-16,5.00,2020
December-17,3.00,2020
December-18,3.00,2020
December-19,2.00,2020
December-20,1.00,2020
December-22,1.00,2020
December-23,6.00,2020
December-24,4.00,2020
December-26,1.00,2020
December-27,1.00,2020
December-28,3.00,2020
December-29,1.00,2020
December-30,5.00,2020
December-31,3.00,2020
January-01,3.00,2021
January-02,1.00,2021
January-03,2.00,2021
January-04,9.00,2021
January-05,2.00,2021
January-06,3.00,2021
January-07,8.00,2021
January-08,1.00,2021
January-09,1.00,2021
January-10,1.00,2021
January-11,7.00,2021
January-12,3.00,2021
January-13,5.00,2021
January-14,3.00,2021
January-15,2.00,2021
January-17,2.00,2021
January-18,3.00,2021
January-19,2.00,2021
January-21,4.00,2021
January-22,1.00,2021
January-23,1.00,2021
January-24,4.00,2021
January-25,5.00,2021
January-26,9.00,2021
January-27,3.00,2021
January-28,4.00,2021
January-29,1.00,2021
January-31,2.00,2021
February-02,1.00,2021
February-03,2.00,2021
February-04,5.00,2021
February-05,1.00,2021
February-09,2.00,2021
February-11,1.00,2021
February-12,5.00,2021
February-13,2.00,2021
February-14,3.00,2021
February-15,2.00,2021
February-16,1.00,2021
February-17,1.00,2021
February-18,2.00,2021
February-19,3.00,2021
February-20,1.00,2021
February-21,3.00,2021
February-22,2.00,2021
February-23,2.00,2021
February-24,2.00,2021
February-25,2.00,2021
February-26,2.00,2021
February-27,1.00,2021
February-28,5.00,2021
March-01,1.00,2021
March-02,2.00,2021
March-03,3.00,2021
March-04,5.00,2021
March-05,3.00,2021
March-06,2.00,2021
March-07,7.00,2021
March-09,2.00,2021
March-10,5.00,2021
March-12,3.00,2021
March-13,2.00,2021
March-14,6.00,2021
March-15,5.00,2021
March-16,9.00,2021
March-17,5.00,2021
March-18,6.00,2021
March-19,7.00,2021
March-20,5.00,2021
March-21,15.00,2021
March-22,7.00,2021
March-23,24.00,2021
March-24,8.00,2021
March-25,9.00,2021
March-26,10.00,2021
March-27,15.00,2021
March-28,13.00,2021
March-29,37.00,2021
March-30,19.00,2021
March-31,15.00,2021
April-01,22.00,2021
April-02,14.00,2021
April-03,16.00,2021
April-04,31.00,2021
April-05,13.00,2021
April-06,37.00,2021
April-07,34.00,2021
April-08,14.00,2021
April-09,43.00,2021
April-10,27.00,2021
April-11,23.00,2021
April-12,14.00,2021
April-13,29.00,2021
April-15,15.00,2021
April-16,6.00,2021
April-17,8.00,2021
April-18,24.00,2021
April-19,14.00,2021
April-20,23.00,2021
April-21,26.00,2021
April-22,17.00,2021
April-23,16.00,2021
April-24,4.00,2021
April-25,17.00,2021
April-26,14.00,2021
April-27,13.00,2021
April-28,20.00,2021
April-29,17.00,2021
April-30,9.00,2021
May-01,8.00,2021
May-02,6.00,2021
May-03,19.00,2021
May-04,9.00,2021
May-05,11.00,2021
May-06,9.00,2021
May-07,14.00,2021
May-08,11.00,2021
May-09,28.00,2021
May-10,16.00,2021
May-11,15.00,2021
May-12,13.00,2021
May-13,9.00,2021
May-14,2.00,2021
May-15,2.00,2021
May-16,6.00,2021
May-17,12.00,2021
May-18,9.00,2021
May-19,11.00,2021
May-20,9.00,2021
May-21,9.00,2021
