Category,Confirmed case,Year
April-13,1.00,2020
April-14,4.00,2020
April-15,2.00,2020
April-16,4.00,2020
April-17,2.00,2020
April-19,1.00,2020
April-21,2.00,2020
April-22,3.00,2020
April-23,6.00,2020
April-24,10.00,2020
April-25,2.00,2020
April-26,7.00,2020
April-27,3.00,2020
April-28,5.00,2020
April-29,4.00,2020
April-30,12.00,2020
May-01,22.00,2020
May-02,5.00,2020
May-03,19.00,2020
May-04,32.00,2020
May-05,12.00,2020
May-17,1.00,2020
May-18,1.00,2020
May-20,2.00,2020
May-21,4.00,2020
May-24,2.00,2020
May-26,1.00,2020
May-27,2.00,2020
June-02,2.00,2020
June-03,4.00,2020
June-05,3.00,2020
June-06,4.00,2020
June-07,2.00,2020
June-08,3.00,2020
June-09,2.00,2020
June-10,7.00,2020
June-12,2.00,2020
June-13,1.00,2020
June-15,2.00,2020
June-16,6.00,2020
June-17,3.00,2020
June-18,7.00,2020
June-19,2.00,2020
June-20,2.00,2020
June-21,2.00,2020
June-22,3.00,2020
June-23,4.00,2020
June-24,2.00,2020
June-25,4.00,2020
June-26,6.00,2020
June-27,3.00,2020
June-28,3.00,2020
June-29,4.00,2020
June-30,3.00,2020
July-01,1.00,2020
July-02,5.00,2020
July-03,4.00,2020
July-04,4.00,2020
July-05,2.00,2020
July-06,2.00,2020
July-07,4.00,2020
July-08,2.00,2020
July-09,3.00,2020
July-10,5.00,2020
July-11,1.00,2020
July-12,1.00,2020
July-13,2.00,2020
July-14,4.00,2020
July-15,2.00,2020
July-16,4.00,2020
July-17,1.00,2020
July-19,3.00,2020
July-20,3.00,2020
July-21,3.00,2020
July-22,2.00,2020
July-23,3.00,2020
July-24,1.00,2020
July-25,12.00,2020
July-26,10.00,2020
July-27,4.00,2020
July-28,5.00,2020
July-29,7.00,2020
July-30,2.00,2020
July-31,3.00,2020
August-01,1.00,2020
August-02,3.00,2020
August-04,4.00,2020
August-05,6.00,2020
August-06,2.00,2020
August-09,1.00,2020
August-10,7.00,2020
August-11,8.00,2020
August-12,2.00,2020
August-13,3.00,2020
August-14,2.00,2020
August-15,5.00,2020
August-16,6.00,2020
August-17,1.00,2020
August-18,4.00,2020
August-19,7.00,2020
August-21,2.00,2020
August-22,1.00,2020
August-23,4.00,2020
August-24,3.00,2020
August-25,5.00,2020
August-26,2.00,2020
August-27,2.00,2020
August-28,3.00,2020
August-29,3.00,2020
August-30,3.00,2020
September-02,3.00,2020
September-03,5.00,2020
September-04,5.00,2020
September-05,1.00,2020
September-06,5.00,2020
September-07,3.00,2020
September-08,3.00,2020
September-09,2.00,2020
September-10,1.00,2020
September-12,4.00,2020
September-13,3.00,2020
September-14,3.00,2020
September-15,2.00,2020
September-16,3.00,2020
September-17,5.00,2020
September-19,4.00,2020
September-20,4.00,2020
September-21,1.00,2020
September-22,5.00,2020
September-23,1.00,2020
September-24,5.00,2020
September-25,2.00,2020
September-26,2.00,2020
September-28,1.00,2020
September-29,9.00,2020
September-30,4.00,2020
October-01,2.00,2020
October-02,2.00,2020
October-03,1.00,2020
October-04,2.00,2020
October-05,11.00,2020
October-06,4.00,2020
October-07,6.00,2020
October-08,5.00,2020
October-09,2.00,2020
October-10,4.00,2020
October-11,2.00,2020
October-12,1.00,2020
October-13,3.00,2020
October-14,3.00,2020
October-15,5.00,2020
October-16,4.00,2020
October-17,2.00,2020
October-18,2.00,2020
October-19,4.00,2020
October-20,5.00,2020
October-22,2.00,2020
October-23,4.00,2020
October-24,3.00,2020
October-25,3.00,2020
October-26,3.00,2020
October-27,9.00,2020
October-28,4.00,2020
October-29,5.00,2020
October-30,1.00,2020
October-31,4.00,2020
November-01,5.00,2020
November-02,3.00,2020
November-03,3.00,2020
November-04,3.00,2020
November-05,4.00,2020
November-06,1.00,2020
November-07,2.00,2020
November-08,6.00,2020
November-09,3.00,2020
November-10,3.00,2020
November-11,5.00,2020
November-12,5.00,2020
November-13,5.00,2020
November-14,4.00,2020
November-15,3.00,2020
November-16,6.00,2020
November-17,8.00,2020
November-18,5.00,2020
November-19,4.00,2020
November-20,9.00,2020
November-21,7.00,2020
November-22,3.00,2020
November-23,7.00,2020
November-24,9.00,2020
November-25,15.00,2020
November-26,7.00,2020
November-27,9.00,2020
November-28,3.00,2020
November-29,12.00,2020
November-30,6.00,2020
December-01,6.00,2020
December-02,5.00,2020
December-03,8.00,2020
December-04,7.00,2020
December-05,9.00,2020
December-06,5.00,2020
December-07,6.00,2020
December-08,14.00,2020
December-09,10.00,2020
December-10,15.00,2020
December-11,3.00,2020
December-12,12.00,2020
December-13,7.00,2020
December-14,6.00,2020
December-15,4.00,2020
December-16,3.00,2020
December-17,5.00,2020
December-18,5.00,2020
December-19,6.00,2020
December-20,5.00,2020
December-21,4.00,2020
December-22,2.00,2020
December-23,3.00,2020
December-24,3.00,2020
December-25,3.00,2020
December-26,6.00,2020
December-27,5.00,2020
December-28,2.00,2020
December-29,3.00,2020
December-30,4.00,2020
December-31,2.00,2020
January-01,1.00,2021
January-02,5.00,2021
January-03,4.00,2021
January-04,3.00,2021
January-05,2.00,2021
January-06,1.00,2021
January-08,1.00,2021
January-09,8.00,2021
January-10,3.00,2021
January-11,6.00,2021
January-12,9.00,2021
January-13,2.00,2021
January-14,3.00,2021
January-15,2.00,2021
January-16,2.00,2021
January-17,8.00,2021
January-18,2.00,2021
January-19,5.00,2021
January-20,11.00,2021
January-21,3.00,2021
January-22,1.00,2021
January-23,7.00,2021
January-24,5.00,2021
January-25,3.00,2021
January-26,7.00,2021
January-27,3.00,2021
January-28,2.00,2021
January-29,3.00,2021
January-30,3.00,2021
January-31,1.00,2021
February-01,2.00,2021
February-02,4.00,2021
February-03,2.00,2021
February-04,5.00,2021
February-06,4.00,2021
February-09,2.00,2021
February-10,1.00,2021
February-11,1.00,2021
February-12,1.00,2021
February-14,3.00,2021
February-17,3.00,2021
February-18,2.00,2021
February-19,3.00,2021
February-20,1.00,2021
February-21,3.00,2021
February-22,5.00,2021
February-23,3.00,2021
February-24,2.00,2021
February-25,2.00,2021
February-26,3.00,2021
February-27,2.00,2021
February-28,3.00,2021
March-02,3.00,2021
March-03,4.00,2021
March-04,1.00,2021
March-05,3.00,2021
March-06,4.00,2021
March-07,6.00,2021
March-08,4.00,2021
March-09,6.00,2021
March-10,8.00,2021
March-11,5.00,2021
March-12,2.00,2021
March-13,6.00,2021
March-14,16.00,2021
March-15,11.00,2021
March-16,12.00,2021
March-17,10.00,2021
March-18,17.00,2021
March-19,6.00,2021
March-20,18.00,2021
March-21,25.00,2021
March-22,26.00,2021
March-23,24.00,2021
March-24,38.00,2021
March-25,20.00,2021
March-26,18.00,2021
March-27,29.00,2021
March-28,33.00,2021
March-29,27.00,2021
March-30,18.00,2021
March-31,48.00,2021
April-01,34.00,2021
April-02,27.00,2021
