Category,Confirmed case,Year
April-08,1.00,2020
April-09,1.00,2020
April-10,1.00,2020
April-12,8.00,2020
April-13,6.00,2020
April-14,3.00,2020
April-15,7.00,2020
April-16,19.00,2020
April-17,2.00,2020
April-18,9.00,2020
April-19,19.00,2020
April-20,11.00,2020
April-21,17.00,2020
April-22,4.00,2020
April-23,5.00,2020
April-24,27.00,2020
April-25,4.00,2020
April-26,20.00,2020
April-27,15.00,2020
April-28,11.00,2020
April-29,20.00,2020
April-30,6.00,2020
May-01,4.00,2020
May-02,5.00,2020
May-03,14.00,2020
May-04,1.00,2020
May-05,21.00,2020
May-06,5.00,2020
May-07,1.00,2020
May-08,8.00,2020
May-09,9.00,2020
May-10,8.00,2020
May-11,14.00,2020
May-12,2.00,2020
May-13,15.00,2020
May-14,13.00,2020
May-15,6.00,2020
May-16,12.00,2020
May-17,41.00,2020
May-18,13.00,2020
May-19,14.00,2020
May-20,14.00,2020
May-21,25.00,2020
May-22,2.00,2020
May-23,16.00,2020
May-24,27.00,2020
May-25,1.00,2020
May-26,13.00,2020
May-27,7.00,2020
May-28,41.00,2020
May-29,13.00,2020
May-30,20.00,2020
May-31,16.00,2020
June-01,72.00,2020
June-02,6.00,2020
June-04,25.00,2020
June-05,31.00,2020
June-06,46.00,2020
June-07,45.00,2020
June-08,19.00,2020
June-09,73.00,2020
June-10,30.00,2020
June-11,25.00,2020
June-12,53.00,2020
June-13,15.00,2020
June-14,35.00,2020
June-15,9.00,2020
June-16,7.00,2020
June-17,4.00,2020
June-18,4.00,2020
June-19,1.00,2020
June-20,86.00,2020
June-21,93.00,2020
June-22,115.00,2020
June-23,32.00,2020
June-24,123.00,2020
June-25,18.00,2020
June-26,23.00,2020
June-27,51.00,2020
June-28,164.00,2020
June-29,51.00,2020
June-30,25.00,2020
July-01,75.00,2020
July-02,29.00,2020
July-03,89.00,2020
July-04,29.00,2020
July-05,32.00,2020
July-06,43.00,2020
July-07,39.00,2020
July-08,30.00,2020
July-09,45.00,2020
July-10,34.00,2020
July-11,21.00,2020
July-12,23.00,2020
July-13,52.00,2020
July-14,37.00,2020
July-15,30.00,2020
July-16,32.00,2020
July-17,42.00,2020
July-18,14.00,2020
July-19,50.00,2020
July-20,42.00,2020
July-21,45.00,2020
July-22,13.00,2020
July-23,37.00,2020
July-24,30.00,2020
July-25,18.00,2020
July-26,22.00,2020
July-27,30.00,2020
July-28,33.00,2020
July-29,11.00,2020
July-30,33.00,2020
July-31,13.00,2020
August-01,6.00,2020
August-02,12.00,2020
August-03,7.00,2020
August-04,39.00,2020
August-05,19.00,2020
August-06,55.00,2020
August-07,43.00,2020
August-08,24.00,2020
August-09,49.00,2020
August-10,36.00,2020
August-11,34.00,2020
August-12,38.00,2020
August-13,51.00,2020
August-14,20.00,2020
August-15,12.00,2020
August-16,33.00,2020
August-17,33.00,2020
August-18,16.00,2020
August-19,44.00,2020
August-20,29.00,2020
August-21,28.00,2020
August-22,26.00,2020
August-23,20.00,2020
August-24,21.00,2020
August-25,19.00,2020
August-26,16.00,2020
August-27,18.00,2020
August-28,32.00,2020
August-29,22.00,2020
August-30,20.00,2020
August-31,31.00,2020
September-01,26.00,2020
September-02,16.00,2020
September-03,31.00,2020
September-04,27.00,2020
September-05,8.00,2020
September-06,33.00,2020
September-07,17.00,2020
September-08,17.00,2020
September-09,41.00,2020
September-10,24.00,2020
September-11,13.00,2020
September-12,12.00,2020
September-13,15.00,2020
September-14,15.00,2020
September-15,10.00,2020
September-16,15.00,2020
September-17,15.00,2020
September-18,10.00,2020
September-19,10.00,2020
September-20,17.00,2020
September-21,11.00,2020
September-22,16.00,2020
September-23,9.00,2020
September-24,13.00,2020
September-25,12.00,2020
September-26,10.00,2020
September-27,15.00,2020
September-28,21.00,2020
September-29,17.00,2020
September-30,15.00,2020
October-01,9.00,2020
October-02,5.00,2020
October-03,7.00,2020
October-04,8.00,2020
October-05,8.00,2020
October-06,7.00,2020
October-07,7.00,2020
October-08,6.00,2020
October-09,13.00,2020
October-10,6.00,2020
October-11,5.00,2020
October-12,7.00,2020
October-13,8.00,2020
October-14,2.00,2020
October-15,12.00,2020
October-16,4.00,2020
October-17,2.00,2020
October-18,2.00,2020
October-19,9.00,2020
October-20,8.00,2020
October-21,5.00,2020
October-22,14.00,2020
October-23,8.00,2020
October-24,5.00,2020
October-25,7.00,2020
October-26,6.00,2020
October-27,9.00,2020
October-28,18.00,2020
October-29,24.00,2020
October-30,9.00,2020
October-31,4.00,2020
November-01,7.00,2020
November-02,7.00,2020
November-03,11.00,2020
November-04,13.00,2020
November-05,11.00,2020
November-06,11.00,2020
November-07,11.00,2020
November-08,10.00,2020
November-09,15.00,2020
November-10,21.00,2020
November-11,7.00,2020
November-12,5.00,2020
November-13,12.00,2020
November-14,6.00,2020
November-15,4.00,2020
November-16,9.00,2020
November-17,18.00,2020
November-18,16.00,2020
November-19,15.00,2020
November-20,8.00,2020
November-21,13.00,2020
November-22,11.00,2020
November-23,22.00,2020
November-24,32.00,2020
November-25,18.00,2020
November-26,14.00,2020
November-27,28.00,2020
November-28,15.00,2020
November-29,21.00,2020
November-30,20.00,2020
December-01,18.00,2020
December-02,31.00,2020
December-03,14.00,2020
December-04,14.00,2020
December-05,25.00,2020
December-06,15.00,2020
December-07,24.00,2020
December-08,16.00,2020
December-09,14.00,2020
December-10,10.00,2020
December-11,12.00,2020
December-12,11.00,2020
December-13,22.00,2020
December-14,23.00,2020
December-15,23.00,2020
December-16,11.00,2020
December-17,10.00,2020
December-18,6.00,2020
December-19,7.00,2020
December-20,24.00,2020
December-21,13.00,2020
December-22,12.00,2020
December-23,14.00,2020
December-24,19.00,2020
December-25,10.00,2020
December-26,8.00,2020
December-27,2.00,2020
December-28,13.00,2020
December-29,4.00,2020
December-30,15.00,2020
December-31,7.00,2020
January-01,5.00,2021
January-02,8.00,2021
January-03,11.00,2021
January-04,5.00,2021
January-05,6.00,2021
January-06,1.00,2021
January-07,9.00,2021
January-08,5.00,2021
January-09,3.00,2021
January-10,11.00,2021
January-11,5.00,2021
January-12,7.00,2021
January-13,4.00,2021
January-14,2.00,2021
January-15,3.00,2021
January-16,7.00,2021
January-17,9.00,2021
January-18,5.00,2021
January-19,6.00,2021
January-20,2.00,2021
January-21,4.00,2021
January-22,2.00,2021
January-23,7.00,2021
January-24,5.00,2021
January-25,6.00,2021
January-26,1.00,2021
January-27,3.00,2021
January-28,3.00,2021
January-29,3.00,2021
January-30,1.00,2021
January-31,6.00,2021
February-01,6.00,2021
February-02,6.00,2021
February-03,3.00,2021
February-04,2.00,2021
February-05,3.00,2021
February-06,2.00,2021
February-07,4.00,2021
February-08,1.00,2021
February-09,4.00,2021
February-10,5.00,2021
February-11,1.00,2021
February-12,3.00,2021
February-13,1.00,2021
February-14,17.00,2021
February-15,7.00,2021
February-16,6.00,2021
February-17,1.00,2021
February-18,2.00,2021
February-22,1.00,2021
February-23,2.00,2021
February-28,3.00,2021
March-01,3.00,2021
March-03,3.00,2021
March-04,3.00,2021
March-05,3.00,2021
March-06,4.00,2021
March-07,4.00,2021
March-08,3.00,2021
March-09,4.00,2021
March-10,5.00,2021
March-11,7.00,2021
March-12,2.00,2021
March-13,1.00,2021
March-14,5.00,2021
March-15,1.00,2021
March-16,7.00,2021
March-17,7.00,2021
March-18,6.00,2021
March-19,10.00,2021
March-20,8.00,2021
March-21,18.00,2021
March-22,11.00,2021
March-23,15.00,2021
March-24,20.00,2021
March-25,12.00,2021
March-26,16.00,2021
March-27,14.00,2021
March-28,26.00,2021
March-29,24.00,2021
March-30,40.00,2021
March-31,39.00,2021
April-01,23.00,2021
April-02,37.00,2021
April-03,31.00,2021
April-04,61.00,2021
April-05,54.00,2021
April-06,98.00,2021
April-07,70.00,2021
April-08,48.00,2021
April-09,37.00,2021
April-10,38.00,2021
April-11,44.00,2021
April-12,42.00,2021
April-13,62.00,2021
April-14,97.00,2021
April-15,43.00,2021
April-16,49.00,2021
April-17,42.00,2021
April-18,59.00,2021
April-19,14.00,2021
April-20,54.00,2021
April-21,58.00,2021
April-22,21.00,2021
April-23,20.00,2021
April-24,15.00,2021
April-25,31.00,2021
April-26,29.00,2021
April-27,31.00,2021
April-28,38.00,2021
April-29,30.00,2021
April-30,19.00,2021
May-01,13.00,2021
May-02,18.00,2021
May-03,19.00,2021
May-04,49.00,2021
May-05,41.00,2021
May-06,17.00,2021
May-07,34.00,2021
May-08,23.00,2021
May-09,25.00,2021
May-10,12.00,2021
May-11,17.00,2021
May-12,14.00,2021
May-13,6.00,2021
May-14,3.00,2021
May-15,7.00,2021
May-16,6.00,2021
May-17,9.00,2021
May-18,5.00,2021
May-19,10.00,2021
May-20,9.00,2021
May-21,8.00,2021
May-22,7.00,2021
May-23,22.00,2021
May-24,29.00,2021
May-25,32.00,2021
May-26,24.00,2021
May-27,22.00,2021
May-28,18.00,2021
May-29,18.00,2021
May-30,21.00,2021
May-31,21.00,2021
June-01,17.00,2021
June-02,22.00,2021
June-03,39.00,2021
June-04,20.00,2021
June-05,13.00,2021
June-06,22.00,2021
June-07,9.00,2021
June-08,18.00,2021
June-09,25.00,2021
June-10,31.00,2021
June-11,20.00,2021
June-12,16.00,2021
June-13,25.00,2021
June-14,20.00,2021
June-15,16.00,2021
June-16,20.00,2021
June-17,30.00,2021
June-18,39.00,2021
June-19,27.00,2021
June-20,29.00,2021
June-21,35.00,2021
June-22,43.00,2021
June-23,22.00,2021
June-24,39.00,2021
June-25,50.00,2021
June-26,99.00,2021
June-27,91.00,2021
June-28,94.00,2021
June-29,160.00,2021
June-30,67.00,2021
July-01,109.00,2021
July-02,75.00,2021
July-03,101.00,2021
July-04,138.00,2021
July-05,107.00,2021
July-06,125.00,2021
July-07,147.00,2021
July-08,180.00,2021
July-09,145.00,2021
July-10,157.00,2021
July-11,234.00,2021
July-12,196.00,2021
July-13,206.00,2021
July-14,197.00,2021
July-15,137.00,2021
July-16,116.00,2021
July-17,111.00,2021
July-18,179.00,2021
July-19,122.00,2021
July-20,79.00,2021
July-21,66.00,2021
July-22,94.00,2021
July-23,102.00,2021
July-24,132.00,2021
July-25,223.00,2021
July-26,247.00,2021
July-27,282.00,2021
July-28,270.00,2021
July-29,255.00,2021
July-30,117.00,2021
July-31,265.00,2021
August-01,341.00,2021
August-02,245.00,2021
August-03,275.00,2021
August-04,211.00,2021
August-05,270.00,2021
August-06,82.00,2021
August-07,179.00,2021
August-08,162.00,2021
August-09,140.00,2021
August-10,318.00,2021
August-11,372.00,2021
August-12,149.00,2021
August-13,124.00,2021
August-14,186.00,2021
August-15,97.00,2021
August-16,118.00,2021
August-17,165.00,2021
August-18,157.00,2021
August-19,96.00,2021
August-20,61.00,2021
August-21,115.00,2021
August-22,126.00,2021
August-23,141.00,2021
August-24,145.00,2021
August-25,109.00,2021
August-26,50.00,2021
August-27,33.00,2021
August-28,96.00,2021
August-29,61.00,2021
August-30,87.00,2021
August-31,90.00,2021
September-01,108.00,2021
September-02,42.00,2021
September-03,33.00,2021
September-04,33.00,2021
September-05,28.00,2021
September-06,36.00,2021
September-07,32.00,2021
September-08,32.00,2021
September-09,45.00,2021
September-10,21.00,2021
September-11,25.00,2021
September-12,25.00,2021
September-13,24.00,2021
September-14,25.00,2021
September-15,29.00,2021
September-16,35.00,2021
September-17,21.00,2021
September-18,21.00,2021
September-19,17.00,2021
September-20,21.00,2021
September-21,18.00,2021
September-22,21.00,2021
September-23,23.00,2021
September-24,8.00,2021
September-25,26.00,2021
September-26,19.00,2021
September-27,26.00,2021
September-28,15.00,2021
September-29,19.00,2021
September-30,12.00,2021
October-01,8.00,2021
October-02,7.00,2021
October-03,11.00,2021
October-04,8.00,2021
October-05,9.00,2021
October-06,18.00,2021
October-07,8.00,2021
October-09,2.00,2021
October-10,2.00,2021
October-11,8.00,2021
October-12,7.00,2021
October-14,2.00,2021
October-15,5.00,2021
October-16,1.00,2021
October-17,2.00,2021
October-18,3.00,2021
October-19,4.00,2021
October-20,3.00,2021
October-21,8.00,2021
October-23,2.00,2021
October-24,2.00,2021
October-25,4.00,2021
October-26,1.00,2021
October-28,3.00,2021
October-29,4.00,2021
October-30,3.00,2021
October-31,4.00,2021
November-01,2.00,2021
November-02,3.00,2021
November-03,2.00,2021
November-05,2.00,2021
November-06,1.00,2021
November-07,1.00,2021
November-09,1.00,2021
November-10,1.00,2021
November-11,3.00,2021
November-13,1.00,2021
November-14,3.00,2021
November-15,1.00,2021
November-18,3.00,2021
November-19,1.00,2021
November-23,1.00,2021
November-25,8.00,2021
November-26,2.00,2021
November-27,1.00,2021
November-29,1.00,2021
November-30,3.00,2021
December-01,1.00,2021
December-02,7.00,2021
December-03,2.00,2021
December-04,3.00,2021
December-05,1.00,2021
December-07,1.00,2021
December-08,1.00,2021
December-09,1.00,2021
December-10,1.00,2021
December-11,4.00,2021
December-12,5.00,2021
December-13,3.00,2021
December-14,4.00,2021
December-15,1.00,2021
December-18,1.00,2021
December-20,1.00,2021
December-22,1.00,2021
December-23,2.00,2021
December-24,3.00,2021
December-25,1.00,2021
December-26,2.00,2021
December-27,5.00,2021
December-28,3.00,2021
December-29,9.00,2021
December-30,1.00,2021
December-31,3.00,2021
January-01,3.00,2022
January-02,2.00,2022
January-03,3.00,2022
January-04,7.00,2022
January-05,4.00,2022
January-06,3.00,2022
January-07,6.00,2022
January-08,3.00,2022
January-09,12.00,2022
January-10,13.00,2022
January-11,12.00,2022
January-12,16.00,2022
January-13,23.00,2022
January-14,14.00,2022
January-15,40.00,2022
January-16,78.00,2022
January-17,59.00,2022
January-18,61.00,2022
January-19,90.00,2022
January-20,116.00,2022
January-21,57.00,2022
January-22,142.00,2022
January-23,127.00,2022
January-24,162.00,2022
January-25,133.00,2022
January-26,174.00,2022
January-27,137.00,2022
January-28,148.00,2022
January-29,113.00,2022
January-30,211.00,2022
January-31,227.00,2022
February-01,154.00,2022
February-02,203.00,2022
February-03,102.00,2022
February-04,94.00,2022
February-05,88.00,2022
February-06,103.00,2022
February-07,155.00,2022
February-08,81.00,2022
February-09,69.00,2022
February-10,59.00,2022
February-11,76.00,2022
February-12,57.00,2022
February-13,29.00,2022
February-14,51.00,2022
February-15,65.00,2022
February-16,35.00,2022
February-17,41.00,2022
February-18,32.00,2022
February-19,49.00,2022
February-20,25.00,2022
February-21,23.00,2022
February-22,25.00,2022
February-23,24.00,2022
February-24,16.00,2022
February-25,8.00,2022
February-26,15.00,2022
February-27,11.00,2022
February-28,6.00,2022
March-01,5.00,2022
March-02,7.00,2022
March-03,3.00,2022
March-04,1.00,2022
March-05,1.00,2022
March-06,11.00,2022
March-07,10.00,2022
March-08,7.00,2022
March-09,5.00,2022
March-10,2.00,2022
