Category,Confirmed case,Year
April-12,2.00,2020
April-13,1.00,2020
April-19,1.00,2020
April-22,1.00,2020
April-26,1.00,2020
April-28,1.00,2020
May-02,1.00,2020
May-03,1.00,2020
May-21,3.00,2020
May-26,1.00,2020
May-27,3.00,2020
May-28,6.00,2020
May-30,2.00,2020
May-31,3.00,2020
June-02,1.00,2020
June-05,4.00,2020
June-06,1.00,2020
June-08,24.00,2020
June-09,1.00,2020
June-10,2.00,2020
June-11,6.00,2020
June-12,9.00,2020
June-13,4.00,2020
June-14,2.00,2020
June-15,15.00,2020
June-16,5.00,2020
June-17,6.00,2020
June-18,8.00,2020
June-19,3.00,2020
June-20,4.00,2020
June-21,6.00,2020
June-22,20.00,2020
June-23,15.00,2020
June-24,25.00,2020
June-25,1.00,2020
June-26,28.00,2020
June-27,12.00,2020
June-28,14.00,2020
June-29,1.00,2020
June-30,25.00,2020
July-01,23.00,2020
July-02,62.00,2020
July-03,5.00,2020
July-04,17.00,2020
July-06,28.00,2020
July-07,20.00,2020
July-08,19.00,2020
July-09,21.00,2020
July-10,14.00,2020
July-11,20.00,2020
July-13,32.00,2020
July-14,15.00,2020
July-15,30.00,2020
July-16,24.00,2020
July-17,20.00,2020
July-18,19.00,2020
July-19,1.00,2020
July-20,2.00,2020
July-21,36.00,2020
July-22,17.00,2020
July-23,12.00,2020
July-24,38.00,2020
July-25,1.00,2020
July-26,17.00,2020
July-27,19.00,2020
July-28,17.00,2020
July-30,29.00,2020
July-31,27.00,2020
August-01,12.00,2020
August-02,28.00,2020
August-03,8.00,2020
August-04,2.00,2020
August-05,2.00,2020
August-06,23.00,2020
August-07,31.00,2020
August-08,19.00,2020
August-09,28.00,2020
August-10,6.00,2020
August-11,20.00,2020
August-12,19.00,2020
August-13,14.00,2020
August-14,2.00,2020
August-15,17.00,2020
August-16,3.00,2020
August-17,4.00,2020
August-18,1.00,2020
August-19,14.00,2020
August-20,21.00,2020
August-21,15.00,2020
August-22,3.00,2020
August-23,22.00,2020
August-24,3.00,2020
August-25,15.00,2020
August-26,14.00,2020
August-27,4.00,2020
August-28,12.00,2020
August-29,14.00,2020
August-30,22.00,2020
August-31,1.00,2020
September-01,13.00,2020
September-03,5.00,2020
September-04,10.00,2020
September-05,2.00,2020
September-06,20.00,2020
September-07,2.00,2020
September-08,10.00,2020
September-09,16.00,2020
September-10,4.00,2020
September-11,3.00,2020
September-12,3.00,2020
September-13,3.00,2020
September-14,2.00,2020
September-15,12.00,2020
September-16,13.00,2020
September-17,5.00,2020
September-18,3.00,2020
September-19,5.00,2020
September-20,7.00,2020
September-21,5.00,2020
September-22,2.00,2020
September-23,4.00,2020
September-24,4.00,2020
September-25,2.00,2020
September-26,6.00,2020
September-27,2.00,2020
September-28,2.00,2020
September-29,2.00,2020
September-30,5.00,2020
October-03,4.00,2020
October-04,5.00,2020
October-05,1.00,2020
October-06,5.00,2020
October-08,2.00,2020
October-11,2.00,2020
October-13,1.00,2020
October-15,4.00,2020
October-17,1.00,2020
October-18,6.00,2020
October-19,2.00,2020
October-24,2.00,2020
October-29,7.00,2020
October-31,1.00,2020
November-02,3.00,2020
November-03,7.00,2020
November-04,2.00,2020
November-06,1.00,2020
November-07,2.00,2020
November-08,4.00,2020
November-09,2.00,2020
November-10,1.00,2020
November-11,4.00,2020
November-12,1.00,2020
November-16,1.00,2020
November-17,7.00,2020
November-18,2.00,2020
November-19,5.00,2020
November-21,4.00,2020
November-22,7.00,2020
November-23,3.00,2020
November-24,4.00,2020
November-25,5.00,2020
November-26,1.00,2020
November-28,1.00,2020
November-29,3.00,2020
November-30,1.00,2020
December-02,2.00,2020
December-03,2.00,2020
December-04,1.00,2020
December-05,1.00,2020
December-07,2.00,2020
December-08,1.00,2020
December-10,3.00,2020
December-12,1.00,2020
December-13,6.00,2020
December-14,3.00,2020
December-15,2.00,2020
December-16,1.00,2020
December-17,1.00,2020
December-18,1.00,2020
December-21,1.00,2020
December-23,1.00,2020
December-24,1.00,2020
December-26,3.00,2020
December-27,1.00,2020
December-28,1.00,2020
December-30,1.00,2020
January-02,1.00,2021
January-05,1.00,2021
January-06,1.00,2021
January-07,4.00,2021
January-08,1.00,2021
January-09,1.00,2021
January-10,1.00,2021
January-13,1.00,2021
January-14,4.00,2021
January-15,4.00,2021
January-16,1.00,2021
January-17,4.00,2021
January-19,3.00,2021
January-22,2.00,2021
January-23,2.00,2021
January-24,1.00,2021
January-25,1.00,2021
January-26,1.00,2021
January-29,1.00,2021
January-30,3.00,2021
January-31,3.00,2021
February-04,2.00,2021
February-05,3.00,2021
February-09,2.00,2021
February-17,1.00,2021
February-20,1.00,2021
February-23,1.00,2021
February-24,1.00,2021
February-25,1.00,2021
February-28,1.00,2021
March-02,2.00,2021
March-03,1.00,2021
March-04,1.00,2021
March-06,1.00,2021
March-07,2.00,2021
March-10,2.00,2021
March-11,2.00,2021
March-13,2.00,2021
March-14,2.00,2021
March-15,1.00,2021
March-16,2.00,2021
March-17,2.00,2021
March-18,3.00,2021
March-21,5.00,2021
March-22,5.00,2021
March-23,4.00,2021
March-24,1.00,2021
March-25,6.00,2021
March-26,5.00,2021
March-27,2.00,2021
March-28,6.00,2021
March-29,5.00,2021
March-30,2.00,2021
April-01,17.00,2021
April-02,3.00,2021
April-03,6.00,2021
April-04,9.00,2021
April-05,11.00,2021
April-06,4.00,2021
April-07,6.00,2021
April-08,11.00,2021
April-09,3.00,2021
April-10,2.00,2021
April-11,6.00,2021
April-12,17.00,2021
April-13,10.00,2021
April-14,5.00,2021
April-15,7.00,2021
April-16,3.00,2021
April-17,3.00,2021
April-18,17.00,2021
April-19,9.00,2021
April-20,9.00,2021
April-21,9.00,2021
April-22,6.00,2021
April-23,1.00,2021
April-24,6.00,2021
April-25,8.00,2021
April-26,9.00,2021
April-27,10.00,2021
April-28,3.00,2021
April-29,4.00,2021
April-30,3.00,2021
May-01,1.00,2021
May-02,1.00,2021
May-03,2.00,2021
May-04,2.00,2021
May-05,1.00,2021
May-06,1.00,2021
May-08,3.00,2021
May-09,5.00,2021
May-10,2.00,2021
May-11,4.00,2021
May-12,12.00,2021
May-13,1.00,2021
May-15,1.00,2021
May-16,5.00,2021
May-17,2.00,2021
May-18,3.00,2021
May-20,6.00,2021
May-21,1.00,2021
May-22,2.00,2021
May-23,2.00,2021
May-24,2.00,2021
May-25,3.00,2021
May-26,1.00,2021
May-28,1.00,2021
May-30,10.00,2021
May-31,3.00,2021
June-01,4.00,2021
June-02,6.00,2021
June-03,7.00,2021
June-04,2.00,2021
June-05,6.00,2021
June-06,5.00,2021
June-07,5.00,2021
June-08,12.00,2021
June-09,33.00,2021
June-10,32.00,2021
June-11,11.00,2021
June-12,19.00,2021
June-13,39.00,2021
June-14,29.00,2021
June-15,29.00,2021
