Category,Confirmed case,Year
April-05,7.00,2020
April-06,4.00,2020
April-07,13.00,2020
April-08,12.00,2020
April-09,31.00,2020
April-10,5.00,2020
April-11,5.00,2020
April-12,25.00,2020
April-13,30.00,2020
April-14,13.00,2020
April-15,39.00,2020
April-16,36.00,2020
April-17,42.00,2020
April-18,38.00,2020
April-19,23.00,2020
April-20,28.00,2020
April-21,28.00,2020
April-22,21.00,2020
April-23,7.00,2020
April-24,37.00,2020
April-25,27.00,2020
April-26,25.00,2020
April-27,28.00,2020
April-28,57.00,2020
April-29,50.00,2020
April-30,68.00,2020
May-01,32.00,2020
May-02,50.00,2020
May-04,2.00,2020
May-06,62.00,2020
May-08,4.00,2020
May-09,2.00,2020
May-10,1.00,2020
May-11,30.00,2020
May-12,18.00,2020
May-13,6.00,2020
May-14,40.00,2020
May-16,21.00,2020
May-17,33.00,2020
May-18,6.00,2020
May-19,46.00,2020
May-20,33.00,2020
May-21,51.00,2020
May-22,97.00,2020
May-23,47.00,2020
May-24,71.00,2020
May-25,67.00,2020
May-26,45.00,2020
May-27,79.00,2020
May-29,80.00,2020
May-30,44.00,2020
May-31,54.00,2020
June-01,62.00,2020
June-02,122.00,2020
June-03,54.00,2020
June-04,83.00,2020
June-05,93.00,2020
June-06,86.00,2020
June-07,78.00,2020
June-08,36.00,2020
June-09,43.00,2020
June-10,81.00,2020
June-11,56.00,2020
June-12,96.00,2020
June-13,83.00,2020
June-14,40.00,2020
June-15,41.00,2020
June-16,107.00,2020
June-17,143.00,2020
June-18,19.00,2020
June-19,106.00,2020
June-20,68.00,2020
June-21,57.00,2020
June-22,11.00,2020
June-23,35.00,2020
June-24,76.00,2020
June-25,126.00,2020
June-26,43.00,2020
June-27,30.00,2020
June-28,39.00,2020
June-29,64.00,2020
June-30,35.00,2020
July-01,63.00,2020
July-02,31.00,2020
July-03,23.00,2020
July-04,25.00,2020
July-05,88.00,2020
July-06,5.00,2020
July-07,89.00,2020
July-08,70.00,2020
July-09,26.00,2020
July-10,26.00,2020
July-11,15.00,2020
July-12,38.00,2020
July-13,49.00,2020
July-14,36.00,2020
July-15,31.00,2020
July-16,32.00,2020
July-17,19.00,2020
July-18,19.00,2020
July-19,33.00,2020
July-20,15.00,2020
July-21,11.00,2020
July-22,29.00,2020
July-23,17.00,2020
July-24,15.00,2020
July-25,23.00,2020
July-26,23.00,2020
July-27,32.00,2020
July-28,27.00,2020
July-29,31.00,2020
July-30,24.00,2020
July-31,24.00,2020
August-01,6.00,2020
August-02,15.00,2020
August-03,24.00,2020
August-04,27.00,2020
August-05,37.00,2020
August-06,32.00,2020
August-07,18.00,2020
August-08,14.00,2020
August-09,30.00,2020
August-10,27.00,2020
August-11,26.00,2020
August-12,30.00,2020
August-13,26.00,2020
August-14,26.00,2020
August-15,18.00,2020
August-16,23.00,2020
August-17,28.00,2020
August-18,29.00,2020
August-19,47.00,2020
August-20,23.00,2020
August-21,18.00,2020
August-22,13.00,2020
August-23,20.00,2020
August-24,26.00,2020
August-25,33.00,2020
August-26,23.00,2020
August-27,31.00,2020
August-28,14.00,2020
August-29,21.00,2020
August-30,35.00,2020
August-31,18.00,2020
September-01,28.00,2020
September-02,19.00,2020
September-03,22.00,2020
September-04,19.00,2020
September-05,21.00,2020
September-06,30.00,2020
September-07,22.00,2020
September-08,14.00,2020
September-09,23.00,2020
September-10,28.00,2020
September-11,12.00,2020
September-12,10.00,2020
September-13,22.00,2020
September-14,38.00,2020
September-15,22.00,2020
September-16,8.00,2020
September-17,15.00,2020
September-18,8.00,2020
September-19,10.00,2020
September-20,21.00,2020
September-21,18.00,2020
September-22,12.00,2020
September-23,21.00,2020
September-24,17.00,2020
September-25,14.00,2020
September-26,8.00,2020
September-27,10.00,2020
