Category,Confirmed case,Year
April-06,1.00,2020
April-07,1.00,2020
April-08,4.00,2020
April-09,7.00,2020
April-13,28.00,2020
April-14,3.00,2020
April-15,9.00,2020
April-16,21.00,2020
April-17,24.00,2020
April-18,15.00,2020
April-19,31.00,2020
April-20,26.00,2020
April-21,6.00,2020
April-22,9.00,2020
April-23,10.00,2020
April-24,5.00,2020
April-25,4.00,2020
April-26,16.00,2020
April-27,6.00,2020
April-28,8.00,2020
April-29,4.00,2020
April-30,4.00,2020
May-01,2.00,2020
May-05,1.00,2020
May-08,1.00,2020
May-11,1.00,2020
May-16,2.00,2020
May-18,1.00,2020
May-20,2.00,2020
May-23,1.00,2020
May-27,1.00,2020
May-30,1.00,2020
June-01,1.00,2020
June-02,2.00,2020
June-03,1.00,2020
June-04,1.00,2020
June-06,2.00,2020
June-07,2.00,2020
June-08,1.00,2020
June-09,2.00,2020
June-10,4.00,2020
June-11,2.00,2020
June-12,6.00,2020
June-13,35.00,2020
June-14,3.00,2020
June-15,3.00,2020
June-16,1.00,2020
June-17,4.00,2020
June-18,3.00,2020
June-19,1.00,2020
June-20,2.00,2020
June-21,2.00,2020
June-22,3.00,2020
June-23,4.00,2020
June-24,1.00,2020
June-25,1.00,2020
June-26,6.00,2020
June-27,3.00,2020
June-28,4.00,2020
June-29,32.00,2020
June-30,16.00,2020
July-01,11.00,2020
July-02,6.00,2020
July-03,17.00,2020
July-04,9.00,2020
July-05,8.00,2020
July-06,1.00,2020
July-07,5.00,2020
July-08,1.00,2020
July-09,1.00,2020
July-10,16.00,2020
July-11,3.00,2020
July-12,6.00,2020
July-13,11.00,2020
July-14,11.00,2020
July-15,2.00,2020
July-16,12.00,2020
July-17,7.00,2020
July-18,4.00,2020
July-19,13.00,2020
July-20,2.00,2020
July-21,2.00,2020
July-22,14.00,2020
July-23,5.00,2020
July-24,11.00,2020
July-25,2.00,2020
July-26,3.00,2020
July-27,16.00,2020
July-28,9.00,2020
July-29,14.00,2020
July-30,2.00,2020
July-31,9.00,2020
August-02,2.00,2020
August-03,6.00,2020
August-04,6.00,2020
August-05,4.00,2020
August-06,2.00,2020
August-07,14.00,2020
August-08,26.00,2020
August-09,11.00,2020
August-10,9.00,2020
August-11,9.00,2020
August-12,12.00,2020
August-13,12.00,2020
August-14,8.00,2020
August-15,9.00,2020
August-16,13.00,2020
August-17,13.00,2020
August-18,12.00,2020
August-19,10.00,2020
August-20,11.00,2020
August-21,13.00,2020
August-22,7.00,2020
August-23,14.00,2020
August-24,8.00,2020
August-25,17.00,2020
August-26,12.00,2020
August-27,9.00,2020
August-28,17.00,2020
August-29,10.00,2020
August-30,20.00,2020
August-31,12.00,2020
September-01,17.00,2020
September-02,18.00,2020
September-03,14.00,2020
September-04,33.00,2020
September-05,7.00,2020
September-06,18.00,2020
September-07,10.00,2020
September-08,39.00,2020
September-09,7.00,2020
September-10,7.00,2020
September-11,10.00,2020
September-12,7.00,2020
September-13,10.00,2020
September-14,6.00,2020
September-15,4.00,2020
September-16,5.00,2020
September-17,9.00,2020
September-18,3.00,2020
September-19,10.00,2020
September-20,9.00,2020
September-21,4.00,2020
September-22,3.00,2020
September-23,9.00,2020
September-24,16.00,2020
September-25,3.00,2020
September-26,2.00,2020
September-27,3.00,2020
September-28,9.00,2020
September-29,4.00,2020
September-30,5.00,2020
October-01,3.00,2020
October-02,3.00,2020
October-03,7.00,2020
October-04,7.00,2020
October-05,12.00,2020
October-06,5.00,2020
October-07,4.00,2020
October-08,6.00,2020
October-09,5.00,2020
October-10,5.00,2020
October-11,6.00,2020
October-12,3.00,2020
October-13,3.00,2020
October-14,5.00,2020
October-15,3.00,2020
October-16,3.00,2020
October-17,8.00,2020
October-18,4.00,2020
October-19,5.00,2020
October-20,3.00,2020
October-21,5.00,2020
October-22,8.00,2020
October-23,2.00,2020
October-24,4.00,2020
October-25,8.00,2020
October-26,3.00,2020
October-27,5.00,2020
October-28,5.00,2020
October-29,5.00,2020
October-30,4.00,2020
October-31,7.00,2020
November-01,5.00,2020
November-02,15.00,2020
November-03,8.00,2020
November-04,7.00,2020
November-05,9.00,2020
November-06,8.00,2020
November-07,6.00,2020
November-08,13.00,2020
November-09,15.00,2020
November-10,8.00,2020
November-11,11.00,2020
November-12,8.00,2020
November-13,9.00,2020
November-14,14.00,2020
November-15,9.00,2020
November-16,7.00,2020
November-17,12.00,2020
November-18,16.00,2020
November-19,4.00,2020
November-20,7.00,2020
November-21,6.00,2020
November-22,21.00,2020
November-23,13.00,2020
November-24,15.00,2020
November-25,14.00,2020
November-26,8.00,2020
November-27,7.00,2020
November-28,10.00,2020
November-29,10.00,2020
November-30,8.00,2020
December-01,17.00,2020
December-02,7.00,2020
December-03,10.00,2020
December-04,10.00,2020
December-05,4.00,2020
December-06,14.00,2020
December-07,4.00,2020
December-08,8.00,2020
December-09,11.00,2020
December-10,10.00,2020
December-11,3.00,2020
December-12,7.00,2020
December-13,7.00,2020
December-14,8.00,2020
December-15,13.00,2020
December-16,4.00,2020
December-17,4.00,2020
December-18,10.00,2020
December-19,1.00,2020
December-20,4.00,2020
December-21,4.00,2020
December-22,3.00,2020
December-23,1.00,2020
December-24,1.00,2020
December-25,5.00,2020
December-26,2.00,2020
December-27,2.00,2020
December-28,6.00,2020
December-29,3.00,2020
December-30,4.00,2020
December-31,5.00,2020
January-02,1.00,2021
January-03,5.00,2021
January-04,2.00,2021
January-05,3.00,2021
January-06,2.00,2021
January-07,5.00,2021
January-08,3.00,2021
January-09,3.00,2021
January-10,3.00,2021
January-11,4.00,2021
January-12,4.00,2021
January-13,1.00,2021
January-14,5.00,2021
January-15,5.00,2021
January-16,3.00,2021
January-17,3.00,2021
January-18,4.00,2021
January-19,5.00,2021
January-20,4.00,2021
January-22,4.00,2021
January-25,4.00,2021
January-27,4.00,2021
January-28,1.00,2021
January-29,3.00,2021
January-30,3.00,2021
January-31,2.00,2021
February-01,1.00,2021
February-02,1.00,2021
February-04,1.00,2021
February-05,1.00,2021
February-06,2.00,2021
February-08,4.00,2021
February-10,2.00,2021
February-11,4.00,2021
February-13,3.00,2021
February-14,3.00,2021
February-15,3.00,2021
February-16,8.00,2021
February-17,5.00,2021
February-18,7.00,2021
February-19,5.00,2021
February-20,1.00,2021
February-21,3.00,2021
February-22,2.00,2021
February-23,2.00,2021
February-24,6.00,2021
February-25,2.00,2021
February-26,1.00,2021
February-27,2.00,2021
February-28,5.00,2021
March-01,5.00,2021
March-02,6.00,2021
March-03,2.00,2021
March-04,7.00,2021
March-05,8.00,2021
March-06,6.00,2021
March-07,9.00,2021
March-08,9.00,2021
March-09,5.00,2021
March-10,17.00,2021
March-11,12.00,2021
