Category,Confirmed case,Year
April-13,1.00,2020
April-16,1.00,2020
April-17,1.00,2020
April-21,1.00,2020
April-25,7.00,2020
April-26,1.00,2020
April-28,1.00,2020
April-30,1.00,2020
May-05,1.00,2020
May-08,1.00,2020
May-14,1.00,2020
May-16,1.00,2020
May-25,1.00,2020
June-02,1.00,2020
June-04,2.00,2020
June-05,2.00,2020
June-08,2.00,2020
June-09,1.00,2020
June-10,4.00,2020
June-12,3.00,2020
June-14,1.00,2020
June-15,3.00,2020
June-16,2.00,2020
June-17,10.00,2020
June-18,5.00,2020
June-19,3.00,2020
June-20,6.00,2020
June-21,10.00,2020
June-23,1.00,2020
June-24,2.00,2020
June-25,8.00,2020
June-27,4.00,2020
June-29,10.00,2020
June-30,44.00,2020
July-01,16.00,2020
July-02,13.00,2020
July-04,15.00,2020
July-05,6.00,2020
July-06,3.00,2020
July-07,5.00,2020
July-08,2.00,2020
July-09,10.00,2020
July-10,20.00,2020
July-11,13.00,2020
July-12,15.00,2020
July-13,1.00,2020
July-14,1.00,2020
July-15,3.00,2020
July-16,22.00,2020
July-17,18.00,2020
July-18,12.00,2020
July-19,1.00,2020
July-20,39.00,2020
July-21,2.00,2020
July-22,2.00,2020
July-23,4.00,2020
July-25,4.00,2020
July-26,36.00,2020
July-27,2.00,2020
July-28,38.00,2020
July-29,1.00,2020
July-30,14.00,2020
July-31,1.00,2020
August-01,1.00,2020
August-02,56.00,2020
August-03,1.00,2020
August-04,3.00,2020
August-06,69.00,2020
August-07,15.00,2020
August-08,1.00,2020
August-09,5.00,2020
August-10,2.00,2020
August-11,35.00,2020
August-12,1.00,2020
August-13,2.00,2020
August-14,2.00,2020
August-15,3.00,2020
August-16,66.00,2020
August-17,13.00,2020
August-18,3.00,2020
August-19,2.00,2020
August-20,10.00,2020
August-21,28.00,2020
August-22,10.00,2020
August-23,11.00,2020
August-24,43.00,2020
August-25,8.00,2020
August-26,5.00,2020
August-27,4.00,2020
August-28,21.00,2020
August-29,9.00,2020
August-30,3.00,2020
August-31,1.00,2020
September-01,1.00,2020
September-02,12.00,2020
September-03,1.00,2020
September-04,1.00,2020
September-05,2.00,2020
September-06,23.00,2020
September-08,7.00,2020
September-09,5.00,2020
September-10,4.00,2020
September-11,21.00,2020
September-12,10.00,2020
September-15,4.00,2020
September-16,13.00,2020
