Category,Confirmed case,Year
April-12,1.00,2020
April-20,1.00,2020
April-24,2.00,2020
April-25,15.00,2020
April-26,1.00,2020
April-27,1.00,2020
April-28,2.00,2020
April-29,1.00,2020
April-30,2.00,2020
May-02,1.00,2020
May-05,6.00,2020
May-07,26.00,2020
May-09,7.00,2020
May-10,1.00,2020
May-14,1.00,2020
May-18,6.00,2020
May-20,14.00,2020
May-22,14.00,2020
May-24,1.00,2020
May-29,14.00,2020
May-30,15.00,2020
June-02,15.00,2020
June-05,16.00,2020
June-06,1.00,2020
June-07,1.00,2020
June-08,4.00,2020
June-11,2.00,2020
June-12,14.00,2020
June-13,38.00,2020
June-14,8.00,2020
June-16,1.00,2020
June-17,12.00,2020
June-18,6.00,2020
June-19,1.00,2020
June-21,1.00,2020
June-23,1.00,2020
June-24,1.00,2020
June-25,114.00,2020
June-26,35.00,2020
June-27,33.00,2020
June-28,37.00,2020
June-29,2.00,2020
June-30,90.00,2020
July-01,42.00,2020
July-02,24.00,2020
July-03,4.00,2020
July-04,29.00,2020
July-05,4.00,2020
July-06,1.00,2020
July-07,2.00,2020
July-08,5.00,2020
July-09,86.00,2020
July-10,2.00,2020
July-11,1.00,2020
July-12,3.00,2020
July-13,21.00,2020
July-14,44.00,2020
July-15,10.00,2020
July-16,27.00,2020
July-17,4.00,2020
July-19,34.00,2020
July-20,29.00,2020
July-21,4.00,2020
July-22,35.00,2020
July-23,9.00,2020
July-24,37.00,2020
July-25,4.00,2020
July-26,1.00,2020
July-27,1.00,2020
July-28,14.00,2020
July-29,2.00,2020
July-30,2.00,2020
July-31,8.00,2020
August-01,11.00,2020
August-02,1.00,2020
August-03,1.00,2020
August-05,2.00,2020
August-06,34.00,2020
August-07,3.00,2020
August-08,9.00,2020
August-09,1.00,2020
August-10,6.00,2020
August-11,8.00,2020
August-12,16.00,2020
August-13,3.00,2020
August-14,22.00,2020
August-15,5.00,2020
August-16,3.00,2020
August-17,11.00,2020
August-18,22.00,2020
August-19,2.00,2020
August-20,8.00,2020
August-21,14.00,2020
August-22,2.00,2020
August-23,4.00,2020
August-24,1.00,2020
August-25,13.00,2020
August-26,3.00,2020
August-28,12.00,2020
August-30,7.00,2020
August-31,10.00,2020
September-01,6.00,2020
September-02,1.00,2020
September-03,29.00,2020
September-05,1.00,2020
September-07,20.00,2020
September-08,12.00,2020
September-09,1.00,2020
September-10,7.00,2020
September-12,20.00,2020
September-13,2.00,2020
September-14,1.00,2020
September-15,3.00,2020
September-16,2.00,2020
September-17,1.00,2020
September-18,1.00,2020
September-19,29.00,2020
September-20,8.00,2020
September-21,7.00,2020
September-22,10.00,2020
September-23,3.00,2020
September-25,6.00,2020
September-26,2.00,2020
September-28,4.00,2020
September-30,2.00,2020
October-01,6.00,2020
October-02,1.00,2020
October-03,1.00,2020
October-05,1.00,2020
October-06,2.00,2020
October-09,6.00,2020
October-11,3.00,2020
October-13,8.00,2020
October-15,5.00,2020
October-19,1.00,2020
October-20,2.00,2020
October-21,2.00,2020
October-23,2.00,2020
October-24,1.00,2020
October-25,2.00,2020
October-26,1.00,2020
October-27,3.00,2020
October-28,15.00,2020
October-29,1.00,2020
October-30,2.00,2020
October-31,5.00,2020
November-01,1.00,2020
November-02,2.00,2020
November-03,10.00,2020
November-06,5.00,2020
November-08,3.00,2020
November-10,15.00,2020
November-13,11.00,2020
November-14,1.00,2020
November-15,2.00,2020
November-16,2.00,2020
November-18,4.00,2020
November-19,2.00,2020
November-20,9.00,2020
November-21,1.00,2020
November-22,3.00,2020
November-24,12.00,2020
November-25,7.00,2020
November-27,11.00,2020
November-28,6.00,2020
November-30,1.00,2020
December-02,11.00,2020
December-04,35.00,2020
December-05,2.00,2020
December-08,6.00,2020
December-09,4.00,2020
December-10,6.00,2020
December-11,8.00,2020
December-12,5.00,2020
December-13,1.00,2020
December-14,3.00,2020
December-15,13.00,2020
December-16,1.00,2020
December-18,2.00,2020
December-19,3.00,2020
December-20,3.00,2020
December-21,1.00,2020
December-22,8.00,2020
December-23,3.00,2020
December-24,3.00,2020
December-25,1.00,2020
December-26,6.00,2020
December-27,4.00,2020
December-28,4.00,2020
December-29,20.00,2020
December-31,1.00,2020
January-01,9.00,2021
January-03,5.00,2021
January-04,12.00,2021
January-05,1.00,2021
January-06,1.00,2021
January-07,1.00,2021
January-08,1.00,2021
January-09,1.00,2021
January-10,9.00,2021
January-11,2.00,2021
January-12,4.00,2021
January-14,1.00,2021
January-15,2.00,2021
January-16,6.00,2021
January-17,2.00,2021
January-19,9.00,2021
January-20,7.00,2021
January-21,1.00,2021
January-22,3.00,2021
January-23,2.00,2021
January-24,4.00,2021
January-25,2.00,2021
January-26,7.00,2021
January-27,2.00,2021
January-29,3.00,2021
January-30,4.00,2021
February-01,1.00,2021
February-02,2.00,2021
February-03,1.00,2021
February-05,1.00,2021
February-07,1.00,2021
February-08,2.00,2021
February-09,2.00,2021
February-10,1.00,2021
February-12,3.00,2021
February-13,4.00,2021
February-14,3.00,2021
February-16,3.00,2021
February-17,3.00,2021
February-18,3.00,2021
February-19,1.00,2021
February-22,1.00,2021
February-23,2.00,2021
February-24,1.00,2021
February-25,2.00,2021
February-26,2.00,2021
February-27,1.00,2021
March-02,2.00,2021
March-11,4.00,2021
March-12,1.00,2021
March-14,2.00,2021
March-15,1.00,2021
March-16,10.00,2021
March-18,1.00,2021
March-19,7.00,2021
March-20,2.00,2021
March-21,1.00,2021
March-22,7.00,2021
March-23,2.00,2021
March-24,4.00,2021
March-25,8.00,2021
March-26,19.00,2021
March-27,5.00,2021
March-28,6.00,2021
March-29,9.00,2021
March-30,2.00,2021
March-31,20.00,2021
April-01,11.00,2021
April-02,7.00,2021
April-03,4.00,2021
April-04,4.00,2021
April-05,7.00,2021
April-06,24.00,2021
April-07,4.00,2021
April-08,9.00,2021
April-09,2.00,2021
April-10,4.00,2021
April-11,37.00,2021
April-12,4.00,2021
April-13,4.00,2021
April-14,14.00,2021
April-15,20.00,2021
April-16,19.00,2021
April-17,27.00,2021
April-18,5.00,2021
April-19,10.00,2021
April-20,10.00,2021
April-21,35.00,2021
April-22,2.00,2021
April-23,17.00,2021
April-24,12.00,2021
April-25,11.00,2021
April-26,9.00,2021
April-27,2.00,2021
April-28,14.00,2021
April-29,2.00,2021
April-30,10.00,2021
May-01,2.00,2021
May-02,17.00,2021
May-03,7.00,2021
May-04,27.00,2021
May-05,3.00,2021
May-06,5.00,2021
May-07,4.00,2021
May-08,3.00,2021
May-09,3.00,2021
