Category,Confirmed case,Year
April-03,1.00,2020
April-14,1.00,2020
April-17,1.00,2020
April-21,2.00,2020
April-23,2.00,2020
April-24,2.00,2020
April-25,1.00,2020
April-27,3.00,2020
April-28,1.00,2020
May-04,1.00,2020
May-06,1.00,2020
May-07,1.00,2020
May-17,1.00,2020
May-20,3.00,2020
May-23,5.00,2020
May-24,12.00,2020
May-26,4.00,2020
May-27,1.00,2020
May-29,9.00,2020
May-30,4.00,2020
May-31,10.00,2020
June-03,5.00,2020
June-04,2.00,2020
June-08,4.00,2020
June-09,1.00,2020
June-10,1.00,2020
June-11,1.00,2020
June-12,4.00,2020
June-13,7.00,2020
June-14,3.00,2020
June-15,3.00,2020
June-16,1.00,2020
June-17,4.00,2020
June-18,4.00,2020
June-19,4.00,2020
June-20,3.00,2020
June-21,1.00,2020
June-23,2.00,2020
June-25,4.00,2020
June-27,2.00,2020
June-28,3.00,2020
June-29,2.00,2020
June-30,3.00,2020
July-01,4.00,2020
July-03,4.00,2020
July-04,1.00,2020
July-06,7.00,2020
July-07,2.00,2020
July-08,3.00,2020
July-09,4.00,2020
July-11,7.00,2020
July-12,7.00,2020
July-14,5.00,2020
July-15,9.00,2020
July-16,4.00,2020
July-17,4.00,2020
July-18,15.00,2020
July-20,7.00,2020
July-21,4.00,2020
July-22,12.00,2020
July-23,15.00,2020
July-25,7.00,2020
July-26,15.00,2020
July-27,15.00,2020
July-28,14.00,2020
July-29,13.00,2020
July-30,7.00,2020
July-31,2.00,2020
August-01,10.00,2020
August-02,4.00,2020
August-03,7.00,2020
August-05,14.00,2020
August-07,8.00,2020
August-08,6.00,2020
August-09,9.00,2020
August-10,20.00,2020
August-11,8.00,2020
August-12,7.00,2020
August-13,6.00,2020
August-14,8.00,2020
August-15,3.00,2020
August-16,5.00,2020
August-17,5.00,2020
August-18,1.00,2020
August-19,5.00,2020
August-20,10.00,2020
August-21,4.00,2020
August-22,5.00,2020
August-24,13.00,2020
August-25,12.00,2020
August-26,4.00,2020
August-27,3.00,2020
August-28,5.00,2020
August-29,2.00,2020
August-30,4.00,2020
August-31,5.00,2020
September-01,2.00,2020
September-02,7.00,2020
September-03,1.00,2020
September-05,1.00,2020
September-07,4.00,2020
September-09,3.00,2020
September-12,12.00,2020
September-15,1.00,2020
September-16,1.00,2020
September-19,23.00,2020
September-20,4.00,2020
September-22,6.00,2020
September-23,1.00,2020
September-26,5.00,2020
September-28,1.00,2020
September-29,4.00,2020
September-30,1.00,2020
October-02,10.00,2020
October-03,1.00,2020
October-05,6.00,2020
October-06,3.00,2020
October-08,1.00,2020
October-10,1.00,2020
October-11,3.00,2020
October-12,2.00,2020
October-14,6.00,2020
October-15,5.00,2020
October-16,2.00,2020
October-19,2.00,2020
October-20,1.00,2020
October-21,4.00,2020
October-23,3.00,2020
October-24,2.00,2020
October-27,1.00,2020
October-29,4.00,2020
October-31,6.00,2020
November-01,1.00,2020
November-02,4.00,2020
November-03,2.00,2020
November-04,7.00,2020
November-05,3.00,2020
November-06,2.00,2020
November-07,1.00,2020
November-09,1.00,2020
November-10,9.00,2020
November-11,1.00,2020
November-12,1.00,2020
November-14,1.00,2020
