Category,Confirmed case,Year
April-08,1.00,2020
April-11,1.00,2020
April-12,2.00,2020
April-13,1.00,2020
April-20,3.00,2020
April-21,2.00,2020
April-22,2.00,2020
April-24,1.00,2020
April-25,1.00,2020
April-26,3.00,2020
April-27,3.00,2020
April-29,3.00,2020
May-03,7.00,2020
May-04,3.00,2020
May-05,1.00,2020
May-08,1.00,2020
May-11,1.00,2020
May-17,2.00,2020
May-18,1.00,2020
May-19,1.00,2020
May-21,7.00,2020
May-22,1.00,2020
May-24,1.00,2020
May-26,1.00,2020
May-27,6.00,2020
May-29,11.00,2020
May-30,3.00,2020
May-31,2.00,2020
June-01,2.00,2020
June-02,3.00,2020
June-03,1.00,2020
June-04,3.00,2020
June-05,2.00,2020
June-06,4.00,2020
June-08,22.00,2020
June-10,32.00,2020
June-11,8.00,2020
June-12,16.00,2020
June-13,28.00,2020
June-14,14.00,2020
June-15,16.00,2020
June-16,25.00,2020
June-17,6.00,2020
June-18,22.00,2020
June-19,11.00,2020
June-20,7.00,2020
June-21,7.00,2020
June-22,9.00,2020
June-23,8.00,2020
June-24,24.00,2020
June-25,21.00,2020
June-26,25.00,2020
June-27,9.00,2020
June-28,22.00,2020
June-29,7.00,2020
June-30,28.00,2020
July-01,11.00,2020
July-02,20.00,2020
July-03,11.00,2020
July-04,27.00,2020
July-05,24.00,2020
July-06,30.00,2020
July-07,7.00,2020
July-08,17.00,2020
July-09,18.00,2020
July-10,25.00,2020
July-11,33.00,2020
July-12,9.00,2020
July-13,15.00,2020
July-14,16.00,2020
July-15,6.00,2020
July-16,35.00,2020
July-17,4.00,2020
July-18,37.00,2020
July-19,2.00,2020
July-20,16.00,2020
July-21,10.00,2020
July-22,16.00,2020
July-23,21.00,2020
July-24,5.00,2020
July-25,8.00,2020
July-26,8.00,2020
July-27,7.00,2020
July-28,3.00,2020
July-29,10.00,2020
July-30,11.00,2020
July-31,7.00,2020
August-01,10.00,2020
August-02,1.00,2020
August-03,10.00,2020
August-04,6.00,2020
August-05,5.00,2020
August-06,16.00,2020
August-07,5.00,2020
August-08,13.00,2020
August-09,12.00,2020
August-10,7.00,2020
August-11,15.00,2020
August-12,8.00,2020
August-13,7.00,2020
August-14,9.00,2020
August-15,14.00,2020
August-16,5.00,2020
August-17,6.00,2020
August-18,14.00,2020
August-19,7.00,2020
August-20,6.00,2020
August-21,5.00,2020
August-22,3.00,2020
August-23,6.00,2020
August-24,5.00,2020
August-25,11.00,2020
August-26,2.00,2020
August-27,7.00,2020
August-28,11.00,2020
August-29,3.00,2020
August-30,6.00,2020
August-31,3.00,2020
September-01,7.00,2020
September-02,5.00,2020
September-04,10.00,2020
September-05,4.00,2020
September-06,5.00,2020
September-08,2.00,2020
September-09,4.00,2020
September-10,2.00,2020
September-11,8.00,2020
September-12,1.00,2020
September-13,1.00,2020
September-14,8.00,2020
September-15,3.00,2020
September-16,7.00,2020
September-17,9.00,2020
September-18,3.00,2020
September-19,5.00,2020
September-20,4.00,2020
September-21,4.00,2020
September-22,5.00,2020
September-23,4.00,2020
September-26,1.00,2020
September-27,2.00,2020
September-29,2.00,2020
October-01,2.00,2020
October-02,3.00,2020
October-04,3.00,2020
October-05,4.00,2020
October-06,1.00,2020
October-07,2.00,2020
October-08,2.00,2020
October-09,2.00,2020
October-11,5.00,2020
October-12,2.00,2020
October-13,1.00,2020
October-14,2.00,2020
October-15,1.00,2020
October-16,2.00,2020
October-17,1.00,2020
October-18,8.00,2020
October-19,2.00,2020
October-20,2.00,2020
October-21,1.00,2020
October-23,2.00,2020
October-25,3.00,2020
October-26,3.00,2020
October-27,3.00,2020
October-28,5.00,2020
October-29,1.00,2020
October-30,5.00,2020
October-31,5.00,2020
November-01,5.00,2020
November-02,4.00,2020
November-03,2.00,2020
November-04,12.00,2020
November-05,2.00,2020
November-06,3.00,2020
November-07,5.00,2020
November-08,4.00,2020
November-10,5.00,2020
November-11,2.00,2020
November-12,6.00,2020
November-14,1.00,2020
November-15,6.00,2020
November-16,1.00,2020
November-17,4.00,2020
November-19,3.00,2020
November-21,4.00,2020
November-22,2.00,2020
November-23,5.00,2020
November-24,3.00,2020
November-25,3.00,2020
November-26,5.00,2020
November-27,7.00,2020
November-28,4.00,2020
November-29,3.00,2020
November-30,12.00,2020
December-01,1.00,2020
December-02,2.00,2020
December-03,2.00,2020
December-04,5.00,2020
December-05,1.00,2020
December-06,6.00,2020
December-07,2.00,2020
December-08,11.00,2020
December-10,11.00,2020
December-11,5.00,2020
December-12,8.00,2020
December-13,3.00,2020
December-14,11.00,2020
December-15,3.00,2020
December-16,1.00,2020
December-17,1.00,2020
December-18,5.00,2020
December-20,4.00,2020
December-21,5.00,2020
December-22,2.00,2020
December-23,1.00,2020
December-24,1.00,2020
December-25,1.00,2020
December-26,8.00,2020
December-27,1.00,2020
December-28,10.00,2020
December-29,7.00,2020
December-30,4.00,2020
December-31,1.00,2020
January-01,4.00,2021
January-02,2.00,2021
January-04,1.00,2021
January-05,2.00,2021
January-07,4.00,2021
January-08,1.00,2021
January-09,2.00,2021
January-10,3.00,2021
January-11,2.00,2021
January-12,1.00,2021
January-13,5.00,2021
January-14,2.00,2021
January-15,1.00,2021
January-16,1.00,2021
January-18,4.00,2021
January-19,1.00,2021
