Category,Confirmed case,Year
April-10,1.00,2020
April-13,2.00,2020
April-15,2.00,2020
April-23,1.00,2020
April-25,2.00,2020
April-26,1.00,2020
April-29,1.00,2020
April-30,1.00,2020
May-01,1.00,2020
May-14,2.00,2020
May-19,7.00,2020
May-23,5.00,2020
May-28,49.00,2020
May-29,3.00,2020
May-31,1.00,2020
June-02,13.00,2020
June-03,1.00,2020
June-06,8.00,2020
June-07,1.00,2020
June-08,6.00,2020
June-09,3.00,2020
June-10,1.00,2020
June-12,8.00,2020
June-13,21.00,2020
June-14,7.00,2020
June-15,9.00,2020
June-16,12.00,2020
June-17,6.00,2020
June-18,5.00,2020
June-19,21.00,2020
June-20,22.00,2020
June-21,17.00,2020
June-22,62.00,2020
June-23,17.00,2020
June-24,15.00,2020
June-25,44.00,2020
June-26,28.00,2020
June-27,66.00,2020
June-28,4.00,2020
June-29,12.00,2020
June-30,25.00,2020
July-01,31.00,2020
July-02,34.00,2020
July-03,16.00,2020
July-04,23.00,2020
July-05,1.00,2020
July-06,42.00,2020
July-07,13.00,2020
July-08,33.00,2020
July-09,23.00,2020
July-10,19.00,2020
July-11,21.00,2020
July-12,1.00,2020
July-13,31.00,2020
July-14,23.00,2020
July-15,36.00,2020
July-16,32.00,2020
July-17,26.00,2020
July-18,36.00,2020
July-19,2.00,2020
July-20,43.00,2020
July-21,40.00,2020
July-22,35.00,2020
July-23,27.00,2020
July-24,39.00,2020
July-25,44.00,2020
July-26,1.00,2020
July-27,39.00,2020
July-29,39.00,2020
July-30,48.00,2020
July-31,17.00,2020
August-01,12.00,2020
August-02,48.00,2020
August-03,1.00,2020
August-04,21.00,2020
August-05,67.00,2020
August-06,41.00,2020
August-07,60.00,2020
August-08,62.00,2020
August-09,5.00,2020
August-10,73.00,2020
August-11,96.00,2020
August-12,70.00,2020
August-13,1.00,2020
August-14,103.00,2020
August-15,98.00,2020
August-16,2.00,2020
August-17,38.00,2020
August-18,147.00,2020
August-19,58.00,2020
August-20,61.00,2020
August-21,30.00,2020
August-22,34.00,2020
August-23,2.00,2020
August-24,69.00,2020
August-25,47.00,2020
August-26,43.00,2020
August-27,48.00,2020
August-28,35.00,2020
August-29,40.00,2020
August-30,2.00,2020
August-31,54.00,2020
September-01,4.00,2020
September-02,59.00,2020
September-03,39.00,2020
September-04,52.00,2020
September-05,25.00,2020
September-07,32.00,2020
September-08,23.00,2020
September-09,24.00,2020
September-10,28.00,2020
September-11,9.00,2020
September-12,17.00,2020
September-14,18.00,2020
September-15,15.00,2020
September-16,15.00,2020
September-17,12.00,2020
September-18,12.00,2020
September-19,29.00,2020
September-20,1.00,2020
September-21,9.00,2020
September-22,10.00,2020
September-23,15.00,2020
September-24,10.00,2020
September-25,19.00,2020
September-26,11.00,2020
September-28,6.00,2020
September-29,17.00,2020
September-30,10.00,2020
October-01,9.00,2020
October-02,8.00,2020
October-03,7.00,2020
October-04,3.00,2020
October-05,5.00,2020
October-07,8.00,2020
October-09,15.00,2020
October-10,1.00,2020
October-11,6.00,2020
October-12,2.00,2020
October-13,18.00,2020
October-14,1.00,2020
October-15,12.00,2020
October-17,6.00,2020
October-18,5.00,2020
October-19,1.00,2020
October-20,4.00,2020
October-21,12.00,2020
October-23,7.00,2020
October-24,1.00,2020
October-25,3.00,2020
October-26,1.00,2020
October-27,9.00,2020
October-28,3.00,2020
October-29,3.00,2020
October-30,5.00,2020
November-01,1.00,2020
November-02,5.00,2020
November-03,2.00,2020
November-04,10.00,2020
November-06,13.00,2020
November-07,1.00,2020
November-08,2.00,2020
November-09,2.00,2020
November-10,10.00,2020
November-12,8.00,2020
November-13,1.00,2020
November-14,12.00,2020
November-16,3.00,2020
November-18,15.00,2020
November-20,12.00,2020
November-21,2.00,2020
November-22,16.00,2020
November-24,13.00,2020
November-26,10.00,2020
November-28,10.00,2020
November-29,1.00,2020
November-30,7.00,2020
December-02,26.00,2020
December-03,1.00,2020
December-04,8.00,2020
December-05,1.00,2020
December-06,6.00,2020
December-07,2.00,2020
December-08,13.00,2020
December-10,2.00,2020
December-11,2.00,2020
December-12,8.00,2020
December-14,11.00,2020
December-16,8.00,2020
December-17,3.00,2020
December-18,4.00,2020
December-19,1.00,2020
December-20,9.00,2020
December-21,1.00,2020
December-22,6.00,2020
December-24,10.00,2020
December-25,1.00,2020
December-26,6.00,2020
December-27,1.00,2020
December-28,4.00,2020
December-30,9.00,2020
January-01,1.00,2021
January-02,2.00,2021
January-03,1.00,2021
January-05,8.00,2021
January-07,3.00,2021
January-09,6.00,2021
January-10,1.00,2021
January-11,4.00,2021
January-12,2.00,2021
January-13,3.00,2021
January-14,2.00,2021
January-15,3.00,2021
January-17,3.00,2021
January-19,8.00,2021
January-20,1.00,2021
January-21,2.00,2021
January-23,4.00,2021
January-25,1.00,2021
January-27,3.00,2021
January-30,1.00,2021
February-04,2.00,2021
February-08,2.00,2021
February-09,1.00,2021
February-10,1.00,2021
February-12,2.00,2021
February-13,1.00,2021
February-15,2.00,2021
February-16,2.00,2021
February-18,2.00,2021
February-25,1.00,2021
February-26,3.00,2021
March-02,1.00,2021
March-03,1.00,2021
March-04,2.00,2021
March-06,3.00,2021
March-08,3.00,2021
March-09,1.00,2021
March-10,3.00,2021
March-12,8.00,2021
March-14,3.00,2021
March-15,3.00,2021
March-16,13.00,2021
March-18,8.00,2021
March-19,1.00,2021
March-20,4.00,2021
March-21,3.00,2021
March-22,12.00,2021
March-23,3.00,2021
March-24,35.00,2021
March-25,4.00,2021
March-26,23.00,2021
March-27,9.00,2021
March-28,14.00,2021
March-29,5.00,2021
March-30,8.00,2021
March-31,47.00,2021
April-01,21.00,2021
April-02,11.00,2021
April-03,63.00,2021
April-04,9.00,2021
April-05,27.00,2021
April-06,9.00,2021
April-07,51.00,2021
April-08,8.00,2021
April-09,1.00,2021
April-10,54.00,2021
April-11,17.00,2021
April-12,7.00,2021
April-13,53.00,2021
April-15,38.00,2021
April-16,3.00,2021
April-17,36.00,2021
April-18,7.00,2021
April-19,25.00,2021
April-20,5.00,2021
April-21,30.00,2021
April-22,2.00,2021
April-23,19.00,2021
April-24,3.00,2021
April-25,21.00,2021
April-26,1.00,2021
April-27,18.00,2021
April-28,2.00,2021
April-29,20.00,2021
May-01,28.00,2021
May-02,3.00,2021
May-03,2.00,2021
May-04,7.00,2021
May-05,23.00,2021
May-06,6.00,2021
May-07,15.00,2021
May-08,1.00,2021
May-09,5.00,2021
May-10,1.00,2021
May-11,12.00,2021
May-12,4.00,2021
May-13,5.00,2021
May-15,1.00,2021
May-16,2.00,2021
May-17,2.00,2021
May-18,7.00,2021
May-20,8.00,2021
May-21,2.00,2021
May-22,13.00,2021
May-23,1.00,2021
May-24,5.00,2021
May-25,4.00,2021
May-26,7.00,2021
May-27,1.00,2021
May-28,1.00,2021
May-29,3.00,2021
May-30,14.00,2021
May-31,3.00,2021
June-01,14.00,2021
June-02,6.00,2021
June-03,6.00,2021
June-05,15.00,2021
June-06,9.00,2021
June-07,18.00,2021
June-08,5.00,2021
June-09,32.00,2021
June-10,3.00,2021
June-11,7.00,2021
June-12,7.00,2021
June-13,13.00,2021
June-14,27.00,2021
June-15,43.00,2021
June-16,21.00,2021
June-17,37.00,2021
June-18,3.00,2021
June-19,53.00,2021
June-20,13.00,2021
June-21,24.00,2021
June-22,39.00,2021
June-23,90.00,2021
June-24,24.00,2021
June-25,56.00,2021
June-26,39.00,2021
June-27,66.00,2021
June-28,50.00,2021
June-29,174.00,2021
June-30,53.00,2021
July-01,180.00,2021
July-02,5.00,2021
July-03,228.00,2021
July-04,54.00,2021
July-05,133.00,2021
July-06,77.00,2021
July-07,141.00,2021
July-08,63.00,2021
July-09,139.00,2021
July-10,103.00,2021
July-11,98.00,2021
July-12,79.00,2021
July-13,146.00,2021
July-14,54.00,2021
July-15,156.00,2021
July-16,48.00,2021
July-17,144.00,2021
July-18,94.00,2021
July-19,61.00,2021
July-20,30.00,2021
July-21,6.00,2021
July-22,15.00,2021
July-23,83.00,2021
July-24,118.00,2021
July-25,142.00,2021
July-26,92.00,2021
July-27,121.00,2021
July-28,100.00,2021
July-29,78.00,2021
July-30,75.00,2021
July-31,87.00,2021
August-01,135.00,2021
August-02,102.00,2021
August-03,39.00,2021
August-04,124.00,2021
August-05,95.00,2021
August-06,12.00,2021
August-07,149.00,2021
August-08,94.00,2021
August-09,25.00,2021
August-10,44.00,2021
August-11,138.00,2021
August-12,87.00,2021
August-13,15.00,2021
August-14,42.00,2021
August-15,50.00,2021
August-16,70.00,2021
August-17,30.00,2021
August-18,18.00,2021
August-19,49.00,2021
August-20,14.00,2021
August-21,40.00,2021
August-22,36.00,2021
August-23,7.00,2021
August-24,50.00,2021
August-25,6.00,2021
August-26,33.00,2021
August-27,1.00,2021
August-28,7.00,2021
August-29,17.00,2021
August-30,3.00,2021
August-31,18.00,2021
September-01,26.00,2021
September-02,4.00,2021
September-03,25.00,2021
September-04,8.00,2021
September-05,18.00,2021
September-06,7.00,2021
September-07,39.00,2021
September-08,8.00,2021
September-09,22.00,2021
September-10,3.00,2021
September-11,17.00,2021
September-12,16.00,2021
September-13,12.00,2021
September-14,3.00,2021
September-15,19.00,2021
September-16,3.00,2021
September-17,14.00,2021
September-18,10.00,2021
September-19,11.00,2021
September-20,3.00,2021
September-21,12.00,2021
September-22,2.00,2021
September-23,13.00,2021
September-24,2.00,2021
September-25,2.00,2021
September-26,1.00,2021
September-27,5.00,2021
September-29,11.00,2021
September-30,4.00,2021
October-01,1.00,2021
October-02,2.00,2021
October-03,2.00,2021
October-04,1.00,2021
October-05,3.00,2021
October-06,8.00,2021
October-08,2.00,2021
October-09,1.00,2021
October-10,2.00,2021
October-11,1.00,2021
October-12,1.00,2021
October-13,4.00,2021
October-14,2.00,2021
October-15,1.00,2021
October-17,3.00,2021
October-20,1.00,2021
October-21,4.00,2021
October-25,2.00,2021
October-27,2.00,2021
October-28,1.00,2021
October-29,2.00,2021
October-31,1.00,2021
November-01,1.00,2021
November-03,2.00,2021
November-09,1.00,2021
November-10,1.00,2021
November-13,1.00,2021
November-15,1.00,2021
November-16,4.00,2021
November-20,1.00,2021
November-21,1.00,2021
November-24,1.00,2021
November-25,1.00,2021
November-28,2.00,2021
November-29,1.00,2021
December-02,2.00,2021
December-05,1.00,2021
December-06,3.00,2021
December-07,1.00,2021
December-10,4.00,2021
December-14,1.00,2021
December-15,1.00,2021
December-16,2.00,2021
December-18,1.00,2021
December-22,3.00,2021
December-23,2.00,2021
December-26,1.00,2021
December-27,2.00,2021
December-28,2.00,2021
January-03,1.00,2022
January-06,4.00,2022
January-08,2.00,2022
January-09,3.00,2022
January-10,4.00,2022
January-11,5.00,2022
January-12,6.00,2022
January-13,7.00,2022
January-15,6.00,2022
January-16,8.00,2022
January-17,14.00,2022
January-18,19.00,2022
January-19,20.00,2022
January-20,23.00,2022
January-21,12.00,2022
January-22,31.00,2022
January-23,34.00,2022
January-24,43.00,2022
January-25,50.00,2022
January-26,58.00,2022
January-27,62.00,2022
January-28,23.00,2022
January-29,69.00,2022
January-30,75.00,2022
January-31,57.00,2022
February-01,65.00,2022
February-02,90.00,2022
February-03,81.00,2022
February-04,21.00,2022
February-05,60.00,2022
February-06,56.00,2022
February-07,62.00,2022
February-08,51.00,2022
February-09,50.00,2022
February-10,40.00,2022
February-11,12.00,2022
February-12,37.00,2022
February-13,40.00,2022
February-14,31.00,2022
February-15,25.00,2022
February-16,14.00,2022
February-17,28.00,2022
February-18,6.00,2022
February-19,14.00,2022
February-20,16.00,2022
February-21,4.00,2022
February-22,6.00,2022
February-23,7.00,2022
February-24,17.00,2022
February-25,6.00,2022
February-26,8.00,2022
February-27,6.00,2022
February-28,4.00,2022
March-01,6.00,2022
March-02,2.00,2022
March-03,3.00,2022
March-05,1.00,2022
March-06,1.00,2022
March-07,1.00,2022
