Category,Confirmed case,Year
April-09,1.00,2020
April-12,1.00,2020
April-17,1.00,2020
April-19,1.00,2020
April-21,1.00,2020
April-25,7.00,2020
April-26,6.00,2020
April-27,1.00,2020
April-30,11.00,2020
May-01,1.00,2020
May-02,1.00,2020
May-03,1.00,2020
May-05,3.00,2020
May-11,1.00,2020
May-20,1.00,2020
May-24,1.00,2020
June-03,2.00,2020
June-04,1.00,2020
June-06,1.00,2020
June-08,2.00,2020
June-09,1.00,2020
June-10,1.00,2020
June-12,1.00,2020
June-13,2.00,2020
June-14,1.00,2020
June-15,2.00,2020
June-17,3.00,2020
June-18,6.00,2020
June-19,5.00,2020
June-20,11.00,2020
June-21,9.00,2020
June-22,14.00,2020
June-23,10.00,2020
June-24,1.00,2020
June-25,31.00,2020
June-26,11.00,2020
June-27,31.00,2020
June-28,18.00,2020
June-29,26.00,2020
June-30,39.00,2020
July-01,47.00,2020
July-02,77.00,2020
July-03,55.00,2020
July-04,24.00,2020
July-05,23.00,2020
July-06,31.00,2020
July-07,28.00,2020
July-08,48.00,2020
July-09,15.00,2020
July-10,41.00,2020
July-11,92.00,2020
July-12,85.00,2020
July-13,109.00,2020
July-14,80.00,2020
July-15,64.00,2020
July-16,56.00,2020
July-17,73.00,2020
July-18,76.00,2020
July-19,147.00,2020
July-20,96.00,2020
July-21,93.00,2020
July-22,97.00,2020
July-23,139.00,2020
July-24,114.00,2020
July-25,98.00,2020
July-26,108.00,2020
July-27,142.00,2020
July-28,116.00,2020
July-29,85.00,2020
July-30,102.00,2020
July-31,76.00,2020
August-01,54.00,2020
August-02,61.00,2020
August-03,36.00,2020
August-04,48.00,2020
August-05,68.00,2020
August-06,98.00,2020
August-07,49.00,2020
August-08,56.00,2020
August-09,76.00,2020
August-10,71.00,2020
August-11,91.00,2020
August-12,67.00,2020
August-13,98.00,2020
August-14,77.00,2020
August-15,51.00,2020
August-16,67.00,2020
August-17,62.00,2020
August-18,46.00,2020
August-19,32.00,2020
August-20,55.00,2020
August-21,35.00,2020
August-22,51.00,2020
August-23,41.00,2020
August-24,31.00,2020
August-25,86.00,2020
August-26,61.00,2020
August-27,42.00,2020
August-28,28.00,2020
August-29,26.00,2020
August-30,21.00,2020
August-31,16.00,2020
September-01,25.00,2020
September-02,22.00,2020
September-03,18.00,2020
September-04,16.00,2020
September-05,15.00,2020
September-06,12.00,2020
September-07,26.00,2020
September-08,6.00,2020
September-09,14.00,2020
September-10,43.00,2020
September-11,17.00,2020
September-12,20.00,2020
September-13,14.00,2020
September-14,20.00,2020
September-15,19.00,2020
September-16,14.00,2020
September-17,29.00,2020
September-18,19.00,2020
September-19,8.00,2020
September-20,14.00,2020
September-21,21.00,2020
September-22,13.00,2020
September-23,33.00,2020
September-24,19.00,2020
September-25,7.00,2020
September-26,11.00,2020
September-27,8.00,2020
September-28,16.00,2020
September-29,14.00,2020
September-30,11.00,2020
October-01,8.00,2020
October-02,3.00,2020
October-03,3.00,2020
October-04,4.00,2020
October-05,17.00,2020
October-06,6.00,2020
October-07,11.00,2020
October-08,8.00,2020
October-09,5.00,2020
October-10,12.00,2020
October-11,8.00,2020
October-12,4.00,2020
October-13,7.00,2020
October-14,23.00,2020
October-15,6.00,2020
October-16,3.00,2020
October-17,4.00,2020
October-18,4.00,2020
October-19,5.00,2020
October-20,11.00,2020
October-21,8.00,2020
October-22,7.00,2020
October-23,6.00,2020
October-24,3.00,2020
October-25,5.00,2020
October-26,21.00,2020
October-27,11.00,2020
October-28,10.00,2020
October-29,18.00,2020
October-30,11.00,2020
October-31,18.00,2020
November-01,27.00,2020
November-02,15.00,2020
November-03,12.00,2020
November-04,13.00,2020
November-05,8.00,2020
November-06,15.00,2020
November-07,14.00,2020
November-08,28.00,2020
November-09,18.00,2020
November-10,9.00,2020
November-11,13.00,2020
November-12,17.00,2020
November-13,15.00,2020
November-14,12.00,2020
November-15,15.00,2020
November-16,17.00,2020
November-17,21.00,2020
November-18,17.00,2020
November-19,23.00,2020
November-20,9.00,2020
November-21,11.00,2020
November-22,24.00,2020
November-23,13.00,2020
November-24,22.00,2020
November-25,23.00,2020
November-26,9.00,2020
November-27,11.00,2020
November-28,15.00,2020
November-29,15.00,2020
November-30,35.00,2020
December-01,19.00,2020
December-02,30.00,2020
December-03,26.00,2020
December-04,8.00,2020
December-05,15.00,2020
December-06,9.00,2020
December-07,17.00,2020
December-08,14.00,2020
December-09,8.00,2020
December-10,20.00,2020
December-11,8.00,2020
December-12,23.00,2020
December-13,28.00,2020
December-14,11.00,2020
December-15,14.00,2020
December-16,17.00,2020
December-17,13.00,2020
December-18,7.00,2020
December-19,10.00,2020
December-20,11.00,2020
December-21,7.00,2020
December-22,8.00,2020
December-23,19.00,2020
December-24,11.00,2020
December-25,4.00,2020
December-26,6.00,2020
December-27,13.00,2020
December-28,4.00,2020
December-29,10.00,2020
December-30,13.00,2020
December-31,18.00,2020
January-02,7.00,2021
January-03,13.00,2021
January-04,5.00,2021
January-05,13.00,2021
January-06,10.00,2021
January-07,3.00,2021
January-08,7.00,2021
January-09,10.00,2021
January-10,7.00,2021
January-11,5.00,2021
January-12,10.00,2021
January-13,5.00,2021
January-14,9.00,2021
January-15,3.00,2021
January-16,9.00,2021
January-17,5.00,2021
January-18,3.00,2021
January-19,10.00,2021
January-20,9.00,2021
January-21,5.00,2021
January-22,4.00,2021
January-23,7.00,2021
January-24,13.00,2021
January-25,4.00,2021
January-26,2.00,2021
January-27,7.00,2021
January-28,1.00,2021
January-30,7.00,2021
January-31,5.00,2021
February-01,10.00,2021
February-02,11.00,2021
February-03,3.00,2021
February-04,5.00,2021
February-05,1.00,2021
February-06,10.00,2021
February-07,5.00,2021
February-08,5.00,2021
February-09,6.00,2021
February-10,6.00,2021
February-11,4.00,2021
February-12,3.00,2021
February-13,4.00,2021
February-14,4.00,2021
February-15,1.00,2021
February-16,7.00,2021
February-17,6.00,2021
February-18,1.00,2021
February-19,3.00,2021
February-20,5.00,2021
February-21,2.00,2021
February-22,4.00,2021
February-23,4.00,2021
February-24,3.00,2021
February-27,1.00,2021
February-28,7.00,2021
March-01,9.00,2021
March-02,5.00,2021
March-03,6.00,2021
March-04,8.00,2021
March-05,3.00,2021
March-06,5.00,2021
March-07,12.00,2021
March-08,4.00,2021
March-09,13.00,2021
March-10,7.00,2021
March-11,14.00,2021
March-12,5.00,2021
March-13,12.00,2021
March-14,14.00,2021
March-15,16.00,2021
March-16,6.00,2021
March-17,20.00,2021
March-18,21.00,2021
March-19,15.00,2021
March-20,18.00,2021
March-21,24.00,2021
March-22,32.00,2021
March-23,30.00,2021
March-24,51.00,2021
March-25,29.00,2021
March-26,12.00,2021
March-27,40.00,2021
March-28,29.00,2021
March-29,43.00,2021
March-30,51.00,2021
March-31,43.00,2021
April-01,73.00,2021
April-02,25.00,2021
April-03,52.00,2021
April-04,103.00,2021
April-05,60.00,2021
April-06,43.00,2021
April-07,58.00,2021
April-08,82.00,2021
April-09,101.00,2021
