Category,Confirmed case,Year
Apr-07,1,2020
Apr-08,1,2020
Apr-12,2,2020
Apr-14,1,2020
Apr-15,1,2020
Apr-17,1,2020
Apr-18,1,2020
Apr-19,1,2020
Apr-20,4,2020
Apr-21,1,2020
Apr-22,5,2020
Apr-23,4,2020
Apr-24,5,2020
Apr-25,2,2020
Apr-26,3,2020
Apr-27,5,2020
Apr-29,2,2020
Apr-30,1,2020
May-15,22,2020
May-16,1,2020
May-20,2,2020
May-25,4,2020
May-26,11,2020
May-29,10,2020
May-30,9,2020
May-31,9,2020
Jun-01,13,2020
Jun-02,12,2020
Jun-03,9,2020
Jun-04,11,2020
Jun-05,14,2020
Jun-06,5,2020
Jun-07,14,2020
Jun-08,23,2020
Jun-09,17,2020
Jun-10,16,2020
Jun-11,22,2020
Jun-12,22,2020
Jun-13,19,2020
Jun-14,12,2020
Jun-15,22,2020
Jun-16,13,2020
Jun-17,14,2020
Jun-18,8,2020
Jun-19,15,2020
Jun-20,12,2020
Jun-21,20,2020
Jun-22,13,2020
Jun-24,19,2020
Jun-25,8,2020
Jun-26,17,2020
Jun-27,24,2020
Jun-28,28,2020
Jun-29,24,2020
Jun-30,21,2020
Jul-01,100,2020
Jul-02,46,2020
Jul-03,43,2020
Jul-04,23,2020
Jul-05,35,2020
Jul-06,27,2020
Jul-07,31,2020
Jul-08,27,2020
Jul-09,34,2020
Jul-10,24,2020
Jul-11,37,2020
Jul-12,31,2020
Jul-13,28,2020
Jul-14,25,2020
Jul-15,35,2020
Jul-16,37,2020
Jul-17,33,2020
Jul-18,30,2020
Jul-19,30,2020
Jul-20,20,2020
Jul-21,33,2020
Jul-22,25,2020
Jul-23,29,2020
Jul-24,30,2020
Jul-25,19,2020
Jul-26,25,2020
Jul-27,13,2020
Jul-28,21,2020
Jul-29,21,2020
Jul-30,25,2020
Jul-31,15,2020
Aug-01,7,2020
Aug-02,16,2020
Aug-03,9,2020
Aug-04,34,2020
Aug-05,31,2020
Aug-06,28,2020
Aug-07,29,2020
Aug-08,19,2020
Aug-09,31,2020
Aug-10,29,2020
Aug-11,27,2020
Aug-12,26,2020
Aug-13,24,2020
Aug-14,34,2020
Aug-15,34,2020
Aug-16,24,2020
Aug-17,38,2020
Aug-18,28,2020
Aug-19,29,2020
Aug-20,28,2020
Aug-21,33,2020
Aug-22,31,2020
Aug-23,26,2020
Aug-24,25,2020
Aug-25,20,2020
Aug-26,25,2020
Aug-27,18,2020
Aug-28,24,2020
Aug-29,30,2020
Aug-30,61,2020
Aug-31,32,2020
Sep-01,33,2020
Sep-02,26,2020
Sep-03,1,2020
Sep-04,30,2020
Sep-05,22,2020
Sep-06,14,2020
Sep-07,16,2020
Sep-08,15,2020
Sep-09,13,2020
Sep-10,15,2020
Sep-11,17,2020
Sep-12,15,2020
Sep-13,16,2020
Sep-14,16,2020
Sep-15,11,2020
Sep-16,13,2020
Sep-17,16,2020
Sep-18,15,2020
Sep-19,8,2020
Sep-20,25,2020
Sep-21,16,2020
Sep-22,15,2020
Sep-23,9,2020
Sep-24,11,2020
Sep-25,16,2020
Sep-26,13,2020
Sep-27,13,2020
Sep-28,19,2020
Sep-29,13,2020
Sep-30,9,2020
Oct-01,16,2020
Oct-02,3,2020
Oct-03,3,2020
Oct-04,10,2020
Oct-05,13,2020
Oct-06,9,2020
Oct-07,7,2020
Oct-08,7,2020
Oct-09,6,2020
Oct-10,1,2020
Oct-11,4,2020
Oct-12,9,2020
Oct-13,6,2020
Oct-14,16,2020
Oct-15,13,2020
Oct-16,8,2020
Oct-17,2,2020
Oct-18,10,2020
Oct-19,6,2020
Oct-20,12,2020
Oct-21,9,2020
Oct-22,7,2020
Oct-23,15,2020
Oct-25,11,2020
Oct-26,23,2020
Oct-27,1,2020
Oct-28,22,2020
Oct-29,8,2020
Oct-30,20,2020
Oct-31,1,2020
Nov-01,19,2020
Nov-02,13,2020
Nov-03,14,2020
