Category,Confirmed case,Year
April-07,1.00,2020
April-11,4.00,2020
April-13,2.00,2020
April-14,1.00,2020
April-19,1.00,2020
April-24,2.00,2020
April-25,3.00,2020
April-26,3.00,2020
April-27,2.00,2020
April-29,5.00,2020
May-01,9.00,2020
May-03,4.00,2020
May-05,7.00,2020
May-06,2.00,2020
May-07,7.00,2020
May-17,1.00,2020
May-24,3.00,2020
May-27,1.00,2020
May-28,31.00,2020
May-30,4.00,2020
May-31,1.00,2020
June-01,2.00,2020
June-02,3.00,2020
June-03,17.00,2020
June-04,10.00,2020
June-05,4.00,2020
June-06,4.00,2020
June-07,11.00,2020
June-08,4.00,2020
June-09,13.00,2020
June-11,7.00,2020
June-13,43.00,2020
June-14,26.00,2020
June-15,9.00,2020
June-16,15.00,2020
June-18,6.00,2020
June-19,3.00,2020
June-20,2.00,2020
June-21,1.00,2020
June-22,4.00,2020
June-23,31.00,2020
June-24,1.00,2020
June-25,11.00,2020
June-26,48.00,2020
June-27,39.00,2020
June-28,2.00,2020
June-29,132.00,2020
June-30,45.00,2020
July-01,6.00,2020
July-02,3.00,2020
July-03,30.00,2020
July-04,31.00,2020
July-05,1.00,2020
July-06,24.00,2020
July-07,2.00,2020
July-08,30.00,2020
July-09,1.00,2020
July-10,36.00,2020
July-11,1.00,2020
July-12,20.00,2020
July-13,3.00,2020
July-14,22.00,2020
July-15,4.00,2020
July-16,43.00,2020
July-18,38.00,2020
July-19,1.00,2020
July-20,35.00,2020
July-22,38.00,2020
July-23,1.00,2020
July-24,46.00,2020
July-25,2.00,2020
July-26,2.00,2020
July-28,1.00,2020
July-29,1.00,2020
July-30,37.00,2020
July-31,1.00,2020
August-02,25.00,2020
August-03,3.00,2020
August-04,14.00,2020
August-05,6.00,2020
August-06,63.00,2020
August-07,2.00,2020
August-08,54.00,2020
August-09,2.00,2020
August-10,48.00,2020
August-11,1.00,2020
August-12,44.00,2020
August-13,1.00,2020
August-14,40.00,2020
August-15,1.00,2020
August-16,18.00,2020
August-17,2.00,2020
August-18,37.00,2020
August-19,3.00,2020
August-20,27.00,2020
August-21,2.00,2020
August-22,27.00,2020
August-23,3.00,2020
August-24,20.00,2020
August-25,3.00,2020
August-26,18.00,2020
August-28,21.00,2020
August-29,1.00,2020
September-01,13.00,2020
September-02,3.00,2020
September-03,12.00,2020
September-04,1.00,2020
September-05,17.00,2020
September-06,1.00,2020
September-07,12.00,2020
September-08,1.00,2020
September-09,12.00,2020
September-10,2.00,2020
September-11,14.00,2020
September-12,1.00,2020
September-13,19.00,2020
September-14,1.00,2020
September-15,18.00,2020
September-16,2.00,2020
September-17,9.00,2020
September-18,1.00,2020
September-19,11.00,2020
September-20,1.00,2020
September-21,6.00,2020
September-22,5.00,2020
September-23,8.00,2020
September-25,15.00,2020
September-27,4.00,2020
September-28,1.00,2020
September-29,12.00,2020
September-30,1.00,2020
October-01,8.00,2020
October-03,7.00,2020
October-04,1.00,2020
October-05,3.00,2020
October-06,1.00,2020
October-07,3.00,2020
October-09,11.00,2020
October-11,2.00,2020
October-12,3.00,2020
October-13,8.00,2020
October-14,4.00,2020
October-15,15.00,2020
October-16,1.00,2020
October-17,9.00,2020
October-18,8.00,2020
October-20,1.00,2020
October-21,10.00,2020
October-22,2.00,2020
October-23,3.00,2020
October-24,1.00,2020
October-25,1.00,2020
October-26,1.00,2020
October-27,4.00,2020
October-28,2.00,2020
October-29,5.00,2020
October-30,3.00,2020
November-02,2.00,2020
November-03,1.00,2020
November-04,5.00,2020
November-05,2.00,2020
