Category,Confirmed case,Year
April-18,1.00,2020
April-28,1.00,2020
May-05,1.00,2020
May-20,1.00,2020
May-22,3.00,2020
May-23,1.00,2020
May-25,1.00,2020
May-26,2.00,2020
May-27,3.00,2020
May-30,4.00,2020
June-03,1.00,2020
June-08,2.00,2020
June-10,1.00,2020
June-11,2.00,2020
June-13,6.00,2020
June-14,3.00,2020
June-15,8.00,2020
June-18,1.00,2020
June-20,5.00,2020
June-21,1.00,2020
June-22,5.00,2020
June-23,2.00,2020
June-25,5.00,2020
June-26,6.00,2020
June-27,12.00,2020
June-28,12.00,2020
June-29,10.00,2020
June-30,2.00,2020
July-01,1.00,2020
July-02,2.00,2020
July-03,66.00,2020
July-04,12.00,2020
July-05,2.00,2020
July-06,28.00,2020
July-07,31.00,2020
July-08,19.00,2020
July-09,18.00,2020
July-10,6.00,2020
July-11,16.00,2020
July-12,49.00,2020
July-13,2.00,2020
July-14,35.00,2020
July-15,2.00,2020
July-16,24.00,2020
July-17,24.00,2020
July-18,9.00,2020
July-19,19.00,2020
July-20,7.00,2020
July-21,37.00,2020
July-22,46.00,2020
July-23,6.00,2020
July-24,5.00,2020
July-25,27.00,2020
July-26,11.00,2020
July-27,21.00,2020
July-28,10.00,2020
July-29,14.00,2020
July-30,15.00,2020
July-31,10.00,2020
August-01,24.00,2020
August-02,2.00,2020
August-03,2.00,2020
August-04,6.00,2020
August-05,22.00,2020
August-06,6.00,2020
August-07,12.00,2020
August-08,19.00,2020
August-09,30.00,2020
August-10,2.00,2020
August-11,1.00,2020
August-12,15.00,2020
August-13,5.00,2020
August-14,36.00,2020
August-15,7.00,2020
August-16,14.00,2020
August-17,2.00,2020
August-18,9.00,2020
August-19,1.00,2020
August-20,11.00,2020
August-21,45.00,2020
August-22,10.00,2020
August-23,11.00,2020
August-24,4.00,2020
August-25,20.00,2020
August-26,3.00,2020
August-27,6.00,2020
August-28,9.00,2020
August-29,1.00,2020
August-30,4.00,2020
August-31,9.00,2020
September-01,10.00,2020
September-03,15.00,2020
September-04,2.00,2020
September-05,4.00,2020
September-06,4.00,2020
September-07,6.00,2020
September-08,1.00,2020
September-10,5.00,2020
September-11,8.00,2020
September-12,1.00,2020
September-14,1.00,2020
September-16,2.00,2020
September-17,2.00,2020
September-18,1.00,2020
September-19,1.00,2020
September-21,1.00,2020
September-22,1.00,2020
September-28,2.00,2020
September-30,2.00,2020
October-01,1.00,2020
October-02,2.00,2020
October-03,1.00,2020
October-06,3.00,2020
October-08,3.00,2020
October-09,2.00,2020
October-10,1.00,2020
October-13,4.00,2020
October-16,3.00,2020
October-18,1.00,2020
October-19,3.00,2020
October-20,2.00,2020
October-27,1.00,2020
October-28,1.00,2020
October-29,1.00,2020
October-30,1.00,2020
November-02,5.00,2020
November-03,1.00,2020
November-04,2.00,2020
November-05,2.00,2020
November-07,2.00,2020
November-08,4.00,2020
November-13,1.00,2020
November-14,6.00,2020
November-17,1.00,2020
November-18,1.00,2020
November-21,1.00,2020
November-23,1.00,2020
November-25,5.00,2020
November-26,1.00,2020
November-29,2.00,2020
December-02,2.00,2020
December-07,9.00,2020
December-08,2.00,2020
December-09,6.00,2020
December-10,1.00,2020
December-11,2.00,2020
December-14,1.00,2020
December-17,3.00,2020
December-19,1.00,2020
December-20,2.00,2020
December-21,2.00,2020
December-25,1.00,2020
December-26,1.00,2020
December-27,2.00,2020
December-31,1.00,2020
January-06,1.00,2021
January-08,1.00,2021
January-09,1.00,2021
January-12,6.00,2021
January-13,2.00,2021
January-14,1.00,2021
January-19,2.00,2021
January-24,1.00,2021
January-29,1.00,2021
February-01,1.00,2021
February-08,2.00,2021
February-14,1.00,2021
February-15,1.00,2021
February-19,2.00,2021
February-20,6.00,2021
February-22,2.00,2021
February-25,5.00,2021
March-01,1.00,2021
March-08,1.00,2021
March-09,1.00,2021
March-10,1.00,2021
March-13,1.00,2021
March-16,1.00,2021
March-17,1.00,2021
March-18,2.00,2021
March-19,2.00,2021
March-21,1.00,2021
March-22,1.00,2021
March-23,4.00,2021
March-24,2.00,2021
March-25,2.00,2021
March-26,8.00,2021
March-27,2.00,2021
March-28,4.00,2021
March-29,2.00,2021
March-30,3.00,2021
March-31,3.00,2021
April-01,3.00,2021
April-02,4.00,2021
April-03,1.00,2021
April-04,12.00,2021
April-05,9.00,2021
April-06,1.00,2021
April-07,4.00,2021
April-08,6.00,2021
April-09,5.00,2021
April-10,7.00,2021
April-11,9.00,2021
April-12,7.00,2021
April-13,9.00,2021
April-14,7.00,2021
April-15,3.00,2021
April-16,10.00,2021
April-17,1.00,2021
April-18,6.00,2021
April-19,5.00,2021
April-20,9.00,2021
April-21,5.00,2021
April-22,5.00,2021
April-23,1.00,2021
April-25,4.00,2021
April-26,3.00,2021
April-27,7.00,2021
April-28,5.00,2021
April-29,2.00,2021
April-30,2.00,2021
May-01,1.00,2021
May-03,6.00,2021
May-04,3.00,2021
May-05,2.00,2021
May-06,4.00,2021
May-07,3.00,2021
May-09,6.00,2021
May-10,14.00,2021
May-11,2.00,2021
May-12,4.00,2021
May-13,4.00,2021
May-17,8.00,2021
May-18,16.00,2021
May-19,12.00,2021
May-20,13.00,2021
May-21,10.00,2021
May-22,1.00,2021
May-23,30.00,2021
May-24,28.00,2021
May-25,24.00,2021
May-26,27.00,2021
May-27,1.00,2021
May-28,33.00,2021
May-29,22.00,2021
May-30,38.00,2021
May-31,39.00,2021
June-01,30.00,2021
June-02,53.00,2021
June-03,53.00,2021
June-04,87.00,2021
June-05,3.00,2021
June-06,50.00,2021
June-07,103.00,2021
June-08,92.00,2021
June-09,52.00,2021
June-10,120.00,2021
June-11,71.00,2021
June-12,52.00,2021
June-13,49.00,2021
June-14,89.00,2021
June-15,103.00,2021
June-16,92.00,2021
June-17,87.00,2021
June-18,60.00,2021
June-19,26.00,2021
June-20,48.00,2021
June-21,95.00,2021
June-22,61.00,2021
June-23,97.00,2021
June-24,60.00,2021
June-25,46.00,2021
June-26,60.00,2021
June-27,37.00,2021
June-28,42.00,2021
June-29,56.00,2021
June-30,60.00,2021
July-01,32.00,2021
July-02,32.00,2021
July-03,51.00,2021
July-04,45.00,2021
July-05,51.00,2021
July-06,48.00,2021
July-07,76.00,2021
July-08,109.00,2021
July-09,46.00,2021
July-10,130.00,2021
July-11,58.00,2021
July-12,75.00,2021
July-13,23.00,2021
July-14,43.00,2021
July-15,55.00,2021
July-16,35.00,2021
July-17,71.00,2021
July-18,66.00,2021
July-19,46.00,2021
July-20,43.00,2021
July-21,23.00,2021
July-22,13.00,2021
July-23,4.00,2021
July-24,27.00,2021
July-25,55.00,2021
July-26,49.00,2021
July-27,26.00,2021
July-28,11.00,2021
July-29,10.00,2021
July-30,1.00,2021
July-31,49.00,2021
August-01,101.00,2021
August-02,23.00,2021
August-03,92.00,2021
August-04,41.00,2021
August-05,45.00,2021
August-06,22.00,2021
August-07,46.00,2021
August-08,55.00,2021
August-09,37.00,2021
August-10,21.00,2021
August-11,41.00,2021
August-12,30.00,2021
August-13,17.00,2021
August-14,7.00,2021
August-15,17.00,2021
August-16,21.00,2021
August-17,21.00,2021
August-18,21.00,2021
August-19,14.00,2021
August-20,19.00,2021
August-21,24.00,2021
August-22,21.00,2021
August-23,12.00,2021
August-24,16.00,2021
August-25,15.00,2021
August-26,10.00,2021
August-27,5.00,2021
August-28,7.00,2021
August-29,16.00,2021
August-30,10.00,2021
August-31,14.00,2021
September-01,25.00,2021
September-02,7.00,2021
September-03,5.00,2021
September-04,1.00,2021
September-05,9.00,2021
September-06,12.00,2021
September-07,8.00,2021
September-08,9.00,2021
September-09,10.00,2021
September-10,6.00,2021
September-11,2.00,2021
September-12,8.00,2021
September-13,9.00,2021
September-14,7.00,2021
September-15,8.00,2021
September-16,6.00,2021
September-17,1.00,2021
September-18,3.00,2021
September-19,2.00,2021
September-20,8.00,2021
September-21,3.00,2021
September-22,2.00,2021
September-23,1.00,2021
September-24,5.00,2021
September-25,1.00,2021
September-26,2.00,2021
September-27,3.00,2021
September-28,4.00,2021
September-29,2.00,2021
October-03,4.00,2021
October-04,3.00,2021
October-06,1.00,2021
October-07,1.00,2021
October-08,1.00,2021
October-10,2.00,2021
October-11,1.00,2021
October-13,1.00,2021
October-16,4.00,2021
October-17,1.00,2021
October-20,1.00,2021
October-23,1.00,2021
November-01,1.00,2021
November-30,1.00,2021
December-13,1.00,2021
December-17,2.00,2021
December-23,1.00,2021
December-26,2.00,2021
December-28,1.00,2021
December-31,1.00,2021
January-02,2.00,2022
January-03,2.00,2022
January-05,1.00,2022
January-06,1.00,2022
January-07,2.00,2022
January-09,1.00,2022
January-10,4.00,2022
January-11,4.00,2022
January-12,3.00,2022
January-13,2.00,2022
January-14,3.00,2022
January-15,6.00,2022
January-16,9.00,2022
January-17,9.00,2022
January-18,21.00,2022
January-19,13.00,2022
January-20,19.00,2022
January-21,9.00,2022
January-22,18.00,2022
January-23,35.00,2022
January-24,58.00,2022
January-25,49.00,2022
January-26,48.00,2022
January-27,63.00,2022
January-28,11.00,2022
January-29,75.00,2022
January-30,69.00,2022
January-31,43.00,2022
February-01,39.00,2022
February-02,68.00,2022
February-03,21.00,2022
