Category,Confirmed case,Year
April-05,2.00,2020
April-09,2.00,2020
April-10,1.00,2020
April-13,1.00,2020
April-15,10.00,2020
April-17,8.00,2020
April-19,2.00,2020
April-20,10.00,2020
April-21,2.00,2020
April-22,1.00,2020
April-25,1.00,2020
April-26,4.00,2020
April-27,1.00,2020
April-28,2.00,2020
April-29,1.00,2020
April-30,2.00,2020
May-01,2.00,2020
May-02,3.00,2020
May-07,2.00,2020
May-09,6.00,2020
May-10,3.00,2020
May-16,1.00,2020
May-17,14.00,2020
May-18,11.00,2020
May-19,2.00,2020
May-21,2.00,2020
May-22,7.00,2020
May-23,3.00,2020
May-24,2.00,2020
May-26,2.00,2020
May-27,3.00,2020
May-31,7.00,2020
June-02,20.00,2020
June-04,5.00,2020
June-05,2.00,2020
June-06,8.00,2020
June-07,1.00,2020
June-08,6.00,2020
June-09,14.00,2020
June-11,10.00,2020
June-12,7.00,2020
June-13,7.00,2020
June-14,10.00,2020
June-15,10.00,2020
June-16,1.00,2020
June-20,20.00,2020
June-21,8.00,2020
June-22,9.00,2020
June-23,1.00,2020
June-24,3.00,2020
June-25,12.00,2020
June-26,4.00,2020
June-29,12.00,2020
June-30,6.00,2020
July-01,6.00,2020
July-02,2.00,2020
July-03,2.00,2020
July-04,2.00,2020
July-06,6.00,2020
July-07,2.00,2020
July-08,1.00,2020
July-09,8.00,2020
July-10,4.00,2020
July-11,3.00,2020
July-12,1.00,2020
July-13,4.00,2020
July-14,14.00,2020
July-15,4.00,2020
July-16,1.00,2020
July-17,2.00,2020
July-18,1.00,2020
July-19,1.00,2020
July-20,3.00,2020
July-21,1.00,2020
July-22,1.00,2020
July-23,2.00,2020
July-24,1.00,2020
July-25,1.00,2020
July-26,1.00,2020
July-27,1.00,2020
July-28,10.00,2020
July-30,6.00,2020
July-31,2.00,2020
August-01,3.00,2020
August-04,6.00,2020
August-05,4.00,2020
August-06,5.00,2020
August-07,2.00,2020
August-08,2.00,2020
August-09,3.00,2020
August-10,7.00,2020
August-11,16.00,2020
August-12,2.00,2020
August-13,6.00,2020
August-14,11.00,2020
August-16,11.00,2020
August-17,6.00,2020
August-18,7.00,2020
August-19,2.00,2020
August-20,7.00,2020
August-21,2.00,2020
August-22,2.00,2020
August-23,2.00,2020
August-24,3.00,2020
August-25,2.00,2020
August-26,4.00,2020
August-27,1.00,2020
August-28,8.00,2020
August-29,7.00,2020
August-30,2.00,2020
August-31,3.00,2020
September-02,2.00,2020
September-03,3.00,2020
September-04,2.00,2020
September-05,5.00,2020
September-06,3.00,2020
September-07,1.00,2020
September-08,5.00,2020
September-09,2.00,2020
September-10,2.00,2020
September-11,3.00,2020
September-12,1.00,2020
September-13,1.00,2020
September-14,3.00,2020
September-15,4.00,2020
September-16,2.00,2020
September-17,1.00,2020
September-18,1.00,2020
September-19,2.00,2020
September-21,3.00,2020
September-22,2.00,2020
September-23,1.00,2020
September-24,1.00,2020
September-26,2.00,2020
September-27,3.00,2020
September-28,1.00,2020
September-29,5.00,2020
September-30,4.00,2020
October-01,1.00,2020
October-02,2.00,2020
October-03,4.00,2020
October-04,1.00,2020
October-06,1.00,2020
October-07,1.00,2020
October-08,1.00,2020
October-10,4.00,2020
October-11,1.00,2020
October-13,1.00,2020
October-14,4.00,2020
October-15,1.00,2020
October-17,1.00,2020
October-19,1.00,2020
October-20,3.00,2020
October-21,1.00,2020
October-22,1.00,2020
October-23,5.00,2020
October-24,1.00,2020
October-25,2.00,2020
October-28,1.00,2020
October-29,2.00,2020
October-30,1.00,2020
October-31,1.00,2020
November-02,1.00,2020
November-03,2.00,2020
November-04,2.00,2020
November-05,2.00,2020
November-06,4.00,2020
November-10,1.00,2020
November-11,1.00,2020
November-14,1.00,2020
November-15,1.00,2020
November-16,2.00,2020
November-20,2.00,2020
November-21,1.00,2020
November-22,1.00,2020
November-23,3.00,2020
November-24,3.00,2020
November-25,1.00,2020
November-27,1.00,2020
November-29,1.00,2020
November-30,1.00,2020
December-01,3.00,2020
December-02,3.00,2020
December-05,1.00,2020
December-07,2.00,2020
December-08,1.00,2020
December-09,9.00,2020
December-11,3.00,2020
December-12,4.00,2020
December-13,1.00,2020
December-14,1.00,2020
December-16,1.00,2020
December-17,2.00,2020
December-19,4.00,2020
December-21,1.00,2020
December-23,5.00,2020
December-24,1.00,2020
December-25,2.00,2020
December-26,2.00,2020
December-27,1.00,2020
December-29,2.00,2020
December-30,1.00,2020
December-31,1.00,2020
January-01,1.00,2021
January-02,1.00,2021
January-03,1.00,2021
January-07,1.00,2021
January-08,1.00,2021
January-12,1.00,2021
January-13,1.00,2021
January-22,2.00,2021
February-09,1.00,2021
February-12,1.00,2021
February-21,1.00,2021
February-23,1.00,2021
March-01,3.00,2021
March-02,1.00,2021
March-08,1.00,2021
March-09,1.00,2021
March-10,4.00,2021
March-11,1.00,2021
March-12,1.00,2021
March-15,1.00,2021
March-17,2.00,2021
March-18,2.00,2021
March-19,2.00,2021
March-21,3.00,2021
March-22,1.00,2021
March-24,2.00,2021
March-25,1.00,2021
March-26,2.00,2021
March-27,2.00,2021
March-28,2.00,2021
March-29,5.00,2021
March-30,2.00,2021
March-31,4.00,2021
April-01,3.00,2021
April-02,2.00,2021
April-03,3.00,2021
April-04,1.00,2021
April-05,8.00,2021
April-06,5.00,2021
April-07,4.00,2021
April-08,5.00,2021
April-09,5.00,2021
April-10,2.00,2021
April-11,8.00,2021
April-12,5.00,2021
April-13,8.00,2021
April-14,7.00,2021
April-15,4.00,2021
April-17,5.00,2021
April-18,2.00,2021
April-19,6.00,2021
April-20,3.00,2021
April-21,9.00,2021
April-22,2.00,2021
April-24,3.00,2021
April-25,1.00,2021
April-26,2.00,2021
April-27,1.00,2021
April-28,2.00,2021
April-29,2.00,2021
April-30,1.00,2021
May-01,1.00,2021
May-02,2.00,2021
May-03,1.00,2021
May-04,1.00,2021
May-05,9.00,2021
May-06,3.00,2021
May-07,1.00,2021
May-08,3.00,2021
May-10,1.00,2021
May-11,2.00,2021
May-18,1.00,2021
May-19,6.00,2021
May-20,1.00,2021
May-21,2.00,2021
May-22,1.00,2021
May-24,2.00,2021
May-25,6.00,2021
May-26,1.00,2021
May-27,5.00,2021
May-28,3.00,2021
May-29,8.00,2021
May-31,6.00,2021
June-01,6.00,2021
June-02,8.00,2021
June-03,10.00,2021
June-05,8.00,2021
June-07,5.00,2021
June-08,4.00,2021
June-09,8.00,2021
June-10,15.00,2021
June-11,1.00,2021
June-12,15.00,2021
June-13,6.00,2021
June-14,23.00,2021
June-15,22.00,2021
June-16,26.00,2021
June-17,41.00,2021
June-18,7.00,2021
June-19,34.00,2021
June-20,60.00,2021
June-21,38.00,2021
June-22,31.00,2021
June-23,41.00,2021
June-24,48.00,2021
June-25,2.00,2021
June-26,63.00,2021
June-27,61.00,2021
June-28,68.00,2021
June-29,56.00,2021
June-30,68.00,2021
July-01,40.00,2021
July-02,25.00,2021
July-03,71.00,2021
July-04,40.00,2021
July-05,51.00,2021
July-06,64.00,2021
July-07,92.00,2021
July-08,85.00,2021
July-09,33.00,2021
July-10,101.00,2021
July-11,58.00,2021
July-12,51.00,2021
July-13,54.00,2021
July-14,51.00,2021
July-15,50.00,2021
July-16,17.00,2021
July-17,59.00,2021
July-18,38.00,2021
July-19,32.00,2021
July-20,29.00,2021
July-21,1.00,2021
July-22,18.00,2021
July-23,40.00,2021
July-24,115.00,2021
July-25,90.00,2021
July-26,56.00,2021
July-27,51.00,2021
July-28,64.00,2021
July-29,52.00,2021
July-30,24.00,2021
July-31,68.00,2021
August-01,36.00,2021
August-02,47.00,2021
August-03,41.00,2021
August-04,27.00,2021
August-05,41.00,2021
August-06,21.00,2021
August-07,36.00,2021
August-08,18.00,2021
August-09,36.00,2021
August-10,52.00,2021
August-11,23.00,2021
August-12,39.00,2021
August-13,59.00,2021
August-14,16.00,2021
August-15,16.00,2021
August-16,60.00,2021
August-17,9.00,2021
August-18,13.00,2021
August-19,15.00,2021
August-20,15.00,2021
August-21,11.00,2021
August-22,7.00,2021
August-23,11.00,2021
August-24,20.00,2021
August-25,13.00,2021
August-26,5.00,2021
August-27,4.00,2021
August-28,10.00,2021
August-29,19.00,2021
August-30,11.00,2021
August-31,11.00,2021
September-01,3.00,2021
September-02,27.00,2021
September-03,8.00,2021
September-04,15.00,2021
September-05,1.00,2021
September-06,1.00,2021
September-07,9.00,2021
September-08,4.00,2021
September-09,6.00,2021
September-10,1.00,2021
September-11,5.00,2021
September-12,1.00,2021
September-14,2.00,2021
September-16,5.00,2021
September-17,1.00,2021
September-18,6.00,2021
September-20,2.00,2021
September-21,2.00,2021
September-22,3.00,2021
September-23,3.00,2021
September-24,1.00,2021
September-26,1.00,2021
September-27,3.00,2021
September-28,12.00,2021
September-29,5.00,2021
September-30,7.00,2021
October-01,1.00,2021
October-02,3.00,2021
October-03,3.00,2021
October-04,5.00,2021
October-05,4.00,2021
October-06,1.00,2021
October-07,2.00,2021
October-09,1.00,2021
October-11,1.00,2021
October-12,1.00,2021
October-14,1.00,2021
October-17,1.00,2021
October-18,1.00,2021
October-21,1.00,2021
October-31,1.00,2021
November-02,1.00,2021
November-12,1.00,2021
November-21,1.00,2021
November-23,1.00,2021
December-02,1.00,2021
December-07,2.00,2021
December-09,1.00,2021
December-11,1.00,2021
December-14,1.00,2021
December-21,2.00,2021
December-22,1.00,2021
December-26,2.00,2021
December-28,1.00,2021
January-02,1.00,2022
January-06,1.00,2022
January-08,2.00,2022
January-09,2.00,2022
January-10,1.00,2022
January-11,1.00,2022
January-12,5.00,2022
January-13,2.00,2022
January-15,4.00,2022
January-16,8.00,2022
January-17,3.00,2022
January-18,7.00,2022
January-19,11.00,2022
January-20,11.00,2022
January-21,10.00,2022
January-22,17.00,2022
January-23,9.00,2022
January-24,9.00,2022
January-25,9.00,2022
January-26,4.00,2022
January-27,13.00,2022
January-28,14.00,2022
January-29,19.00,2022
January-30,11.00,2022
January-31,16.00,2022
February-01,20.00,2022
February-02,17.00,2022
February-03,2.00,2022
February-04,7.00,2022
February-05,16.00,2022
February-06,5.00,2022
February-07,14.00,2022
February-08,9.00,2022
February-09,9.00,2022
February-10,8.00,2022
February-11,1.00,2022
February-12,5.00,2022
February-13,7.00,2022
February-14,3.00,2022
February-15,6.00,2022
February-16,5.00,2022
February-17,3.00,2022
February-18,2.00,2022
February-19,9.00,2022
February-20,2.00,2022
February-21,3.00,2022
February-22,3.00,2022
February-25,2.00,2022
February-27,3.00,2022
February-28,1.00,2022
March-01,1.00,2022
March-02,1.00,2022
March-03,2.00,2022
March-04,1.00,2022
March-08,3.00,2022
March-09,1.00,2022
