Category,Confirmed case,Year
April-01,1.00,2020
April-10,1.00,2020
April-12,2.00,2020
April-13,1.00,2020
April-14,3.00,2020
April-15,1.00,2020
April-16,1.00,2020
April-18,1.00,2020
April-22,6.00,2020
April-23,7.00,2020
April-24,1.00,2020
April-25,2.00,2020
April-26,18.00,2020
April-27,18.00,2020
April-28,3.00,2020
April-30,3.00,2020
May-01,2.00,2020
May-03,1.00,2020
May-08,3.00,2020
May-10,1.00,2020
May-11,2.00,2020
May-12,1.00,2020
May-15,2.00,2020
May-16,5.00,2020
May-19,10.00,2020
May-21,2.00,2020
May-22,2.00,2020
May-23,1.00,2020
May-24,1.00,2020
May-25,5.00,2020
May-26,1.00,2020
May-27,1.00,2020
May-28,1.00,2020
June-01,1.00,2020
June-02,1.00,2020
June-03,2.00,2020
June-04,4.00,2020
June-05,1.00,2020
June-06,1.00,2020
June-08,2.00,2020
June-09,1.00,2020
June-11,2.00,2020
June-12,22.00,2020
June-13,1.00,2020
June-14,4.00,2020
June-15,12.00,2020
June-16,4.00,2020
June-17,2.00,2020
June-18,3.00,2020
June-19,14.00,2020
June-20,2.00,2020
June-21,9.00,2020
June-23,6.00,2020
June-24,2.00,2020
June-25,12.00,2020
June-26,28.00,2020
June-27,38.00,2020
June-28,24.00,2020
June-29,19.00,2020
June-30,14.00,2020
July-01,28.00,2020
July-02,25.00,2020
July-03,43.00,2020
July-05,38.00,2020
July-06,16.00,2020
July-07,18.00,2020
July-08,24.00,2020
July-09,20.00,2020
July-10,14.00,2020
July-11,14.00,2020
July-12,10.00,2020
July-13,21.00,2020
July-14,18.00,2020
July-15,39.00,2020
July-16,24.00,2020
July-17,11.00,2020
July-18,4.00,2020
July-19,40.00,2020
July-20,20.00,2020
July-21,16.00,2020
July-22,28.00,2020
July-23,15.00,2020
July-24,13.00,2020
July-25,20.00,2020
July-26,43.00,2020
July-27,6.00,2020
July-28,14.00,2020
July-29,24.00,2020
July-30,19.00,2020
July-31,29.00,2020
August-01,22.00,2020
August-03,7.00,2020
August-04,17.00,2020
August-05,20.00,2020
August-06,26.00,2020
August-07,31.00,2020
August-08,6.00,2020
August-09,17.00,2020
August-10,34.00,2020
August-11,30.00,2020
August-12,21.00,2020
August-13,34.00,2020
August-14,25.00,2020
August-15,9.00,2020
August-16,6.00,2020
August-17,58.00,2020
August-18,23.00,2020
August-19,27.00,2020
August-20,30.00,2020
August-21,31.00,2020
August-22,15.00,2020
August-23,27.00,2020
August-24,24.00,2020
August-25,27.00,2020
August-26,16.00,2020
August-27,32.00,2020
August-28,19.00,2020
August-29,9.00,2020
August-30,21.00,2020
August-31,21.00,2020
September-01,13.00,2020
September-02,23.00,2020
September-03,15.00,2020
September-04,21.00,2020
September-05,13.00,2020
September-06,22.00,2020
September-07,11.00,2020
September-08,11.00,2020
September-09,23.00,2020
September-10,5.00,2020
September-11,37.00,2020
September-12,9.00,2020
September-13,34.00,2020
September-14,9.00,2020
September-15,4.00,2020
September-16,26.00,2020
September-17,10.00,2020
September-18,9.00,2020
September-19,2.00,2020
September-20,8.00,2020
September-21,6.00,2020
September-22,3.00,2020
September-23,3.00,2020
September-24,5.00,2020
September-25,1.00,2020
September-26,18.00,2020
September-27,7.00,2020
September-28,8.00,2020
September-29,8.00,2020
September-30,9.00,2020
October-01,4.00,2020
October-02,3.00,2020
October-03,1.00,2020
October-04,4.00,2020
October-05,15.00,2020
October-06,6.00,2020
October-07,7.00,2020
October-08,5.00,2020
October-09,3.00,2020
October-10,2.00,2020
October-11,5.00,2020
October-12,2.00,2020
October-13,3.00,2020
October-14,4.00,2020
October-15,6.00,2020
October-16,5.00,2020
October-17,3.00,2020
October-18,2.00,2020
October-19,3.00,2020
October-20,1.00,2020
October-21,5.00,2020
October-22,2.00,2020
October-23,7.00,2020
October-24,2.00,2020
October-25,4.00,2020
October-26,16.00,2020
October-27,2.00,2020
October-28,4.00,2020
October-29,8.00,2020
October-30,5.00,2020
October-31,3.00,2020
November-01,4.00,2020
November-02,2.00,2020
November-03,3.00,2020
November-04,4.00,2020
November-05,3.00,2020
November-06,5.00,2020
November-07,3.00,2020
November-08,7.00,2020
November-09,8.00,2020
November-10,5.00,2020
November-11,4.00,2020
November-12,5.00,2020
November-13,6.00,2020
November-14,1.00,2020
November-15,7.00,2020
November-16,6.00,2020
November-17,3.00,2020
November-18,2.00,2020
November-19,1.00,2020
November-20,5.00,2020
November-21,4.00,2020
November-22,3.00,2020
November-23,2.00,2020
November-24,9.00,2020
November-25,7.00,2020
