Category,Confirmed case,Year
April-04,1.00,2020
April-05,1.00,2020
April-08,1.00,2020
April-15,2.00,2020
April-16,1.00,2020
April-17,2.00,2020
April-19,1.00,2020
April-20,2.00,2020
April-21,2.00,2020
April-22,2.00,2020
April-23,6.00,2020
April-24,2.00,2020
April-25,2.00,2020
April-26,14.00,2020
April-27,11.00,2020
April-28,2.00,2020
April-29,2.00,2020
April-30,1.00,2020
May-01,6.00,2020
May-03,2.00,2020
May-04,1.00,2020
May-05,3.00,2020
May-06,1.00,2020
May-07,1.00,2020
May-08,3.00,2020
May-09,1.00,2020
May-10,2.00,2020
May-12,2.00,2020
May-15,3.00,2020
May-16,20.00,2020
May-17,16.00,2020
May-18,10.00,2020
May-19,15.00,2020
May-20,27.00,2020
May-21,11.00,2020
May-22,38.00,2020
May-23,16.00,2020
May-24,19.00,2020
May-25,16.00,2020
May-26,16.00,2020
May-27,44.00,2020
May-28,47.00,2020
May-29,26.00,2020
May-30,46.00,2020
May-31,20.00,2020
June-01,43.00,2020
June-02,28.00,2020
June-03,52.00,2020
June-04,57.00,2020
June-05,44.00,2020
June-06,67.00,2020
June-07,38.00,2020
June-08,57.00,2020
June-09,49.00,2020
June-10,33.00,2020
June-11,89.00,2020
June-12,74.00,2020
June-13,1.00,2020
June-14,4.00,2020
June-15,49.00,2020
June-16,40.00,2020
June-17,82.00,2020
June-18,44.00,2020
June-19,80.00,2020
June-20,20.00,2020
June-21,74.00,2020
June-22,8.00,2020
June-23,53.00,2020
June-24,105.00,2020
June-25,111.00,2020
June-26,125.00,2020
June-27,146.00,2020
June-28,25.00,2020
June-29,170.00,2020
June-30,124.00,2020
July-01,114.00,2020
July-02,84.00,2020
July-03,47.00,2020
July-04,28.00,2020
July-05,29.00,2020
July-06,47.00,2020
July-07,106.00,2020
July-08,47.00,2020
July-09,50.00,2020
July-10,29.00,2020
July-11,28.00,2020
July-12,55.00,2020
July-13,40.00,2020
July-14,60.00,2020
July-15,33.00,2020
July-16,88.00,2020
July-17,21.00,2020
July-18,3.00,2020
