Category,Confirmed case,Year
April-07,1.00,2020
April-08,3.00,2020
April-09,1.00,2020
April-12,7.00,2020
April-13,2.00,2020
April-14,3.00,2020
April-15,1.00,2020
April-17,2.00,2020
April-18,1.00,2020
April-19,2.00,2020
April-20,1.00,2020
April-21,1.00,2020
April-23,3.00,2020
April-24,3.00,2020
April-25,2.00,2020
April-26,4.00,2020
April-27,2.00,2020
April-28,2.00,2020
April-29,1.00,2020
April-30,1.00,2020
May-03,2.00,2020
May-08,1.00,2020
May-12,2.00,2020
May-13,1.00,2020
May-23,1.00,2020
May-24,1.00,2020
May-27,1.00,2020
May-30,2.00,2020
May-31,1.00,2020
June-03,1.00,2020
June-04,1.00,2020
June-05,1.00,2020
June-11,1.00,2020
June-12,14.00,2020
June-13,17.00,2020
June-14,10.00,2020
June-20,6.00,2020
June-21,4.00,2020
June-22,4.00,2020
June-23,7.00,2020
June-24,24.00,2020
June-25,3.00,2020
June-26,6.00,2020
June-27,29.00,2020
June-28,22.00,2020
June-29,41.00,2020
June-30,43.00,2020
July-01,17.00,2020
July-02,45.00,2020
July-03,3.00,2020
July-04,7.00,2020
July-05,36.00,2020
July-06,13.00,2020
July-07,16.00,2020
July-08,13.00,2020
July-09,7.00,2020
July-10,20.00,2020
July-11,30.00,2020
July-12,48.00,2020
July-13,30.00,2020
July-14,39.00,2020
July-15,33.00,2020
July-16,32.00,2020
July-17,15.00,2020
July-18,40.00,2020
July-19,73.00,2020
July-20,21.00,2020
July-21,31.00,2020
July-22,27.00,2020
July-23,25.00,2020
July-24,50.00,2020
July-25,12.00,2020
July-26,70.00,2020
July-27,38.00,2020
July-28,50.00,2020
July-29,51.00,2020
July-30,58.00,2020
July-31,71.00,2020
August-01,3.00,2020
August-02,6.00,2020
August-03,13.00,2020
August-04,33.00,2020
August-05,30.00,2020
August-06,57.00,2020
August-07,50.00,2020
August-08,21.00,2020
August-09,32.00,2020
August-10,34.00,2020
August-11,59.00,2020
August-12,15.00,2020
August-13,60.00,2020
August-14,64.00,2020
August-15,13.00,2020
August-16,29.00,2020
August-17,48.00,2020
August-18,56.00,2020
August-19,56.00,2020
August-20,43.00,2020
August-21,50.00,2020
August-22,18.00,2020
August-23,49.00,2020
August-24,32.00,2020
August-25,36.00,2020
August-26,42.00,2020
August-27,45.00,2020
August-28,35.00,2020
August-29,10.00,2020
August-30,78.00,2020
August-31,13.00,2020
September-01,55.00,2020
September-02,19.00,2020
September-03,49.00,2020
September-04,37.00,2020
September-05,4.00,2020
September-06,45.00,2020
September-07,22.00,2020
September-08,28.00,2020
September-09,14.00,2020
September-10,30.00,2020
September-11,5.00,2020
September-12,2.00,2020
September-13,29.00,2020
September-14,21.00,2020
September-15,24.00,2020
September-16,8.00,2020
September-17,37.00,2020
September-18,9.00,2020
September-19,6.00,2020
September-20,19.00,2020
September-21,8.00,2020
September-22,17.00,2020
September-23,13.00,2020
September-24,27.00,2020
September-25,1.00,2020
September-26,3.00,2020
September-27,23.00,2020
September-28,20.00,2020
September-29,17.00,2020
September-30,23.00,2020
October-01,10.00,2020
October-02,5.00,2020
October-03,3.00,2020
October-04,17.00,2020
October-05,8.00,2020
October-06,2.00,2020
October-07,11.00,2020
October-08,11.00,2020
October-09,9.00,2020
October-10,2.00,2020
October-11,23.00,2020
October-12,6.00,2020
October-13,10.00,2020
October-14,11.00,2020
October-15,10.00,2020
October-16,5.00,2020
October-17,5.00,2020
October-18,12.00,2020
October-19,7.00,2020
October-20,11.00,2020
October-21,11.00,2020
October-22,11.00,2020
October-23,3.00,2020
October-24,9.00,2020
October-25,9.00,2020
October-26,5.00,2020
October-27,4.00,2020
October-28,14.00,2020
October-29,7.00,2020
October-30,2.00,2020
October-31,4.00,2020
November-01,18.00,2020
November-02,7.00,2020
November-03,17.00,2020
November-04,18.00,2020
November-05,13.00,2020
November-06,8.00,2020
November-07,10.00,2020
November-08,18.00,2020
November-09,11.00,2020
November-10,10.00,2020
November-11,9.00,2020
November-12,7.00,2020
November-13,3.00,2020
November-14,4.00,2020
November-15,24.00,2020
November-16,11.00,2020
November-17,14.00,2020
November-18,9.00,2020
November-19,12.00,2020
November-20,4.00,2020
November-21,1.00,2020
November-22,17.00,2020
November-23,5.00,2020
November-24,10.00,2020
November-25,9.00,2020
November-26,7.00,2020
November-27,5.00,2020
November-28,8.00,2020
November-29,12.00,2020
November-30,6.00,2020
December-01,6.00,2020
December-02,13.00,2020
December-03,24.00,2020
December-04,3.00,2020
December-05,7.00,2020
December-06,21.00,2020
December-07,5.00,2020
December-08,13.00,2020
December-09,12.00,2020
December-10,18.00,2020
December-11,3.00,2020
December-12,3.00,2020
December-13,16.00,2020
December-14,15.00,2020
December-15,28.00,2020
December-16,6.00,2020
December-17,12.00,2020
December-18,3.00,2020
December-19,4.00,2020
December-20,23.00,2020
December-21,13.00,2020
December-22,14.00,2020
December-23,11.00,2020
December-24,8.00,2020
December-25,3.00,2020
December-26,5.00,2020
December-27,9.00,2020
December-28,5.00,2020
December-29,14.00,2020
December-30,11.00,2020
December-31,7.00,2020
January-01,4.00,2021
January-02,14.00,2021
January-03,11.00,2021
January-04,10.00,2021
January-05,2.00,2021
January-06,9.00,2021
January-07,15.00,2021
January-08,11.00,2021
January-10,9.00,2021
January-11,10.00,2021
January-12,6.00,2021
January-13,8.00,2021
January-14,14.00,2021
January-15,5.00,2021
January-16,7.00,2021
January-17,11.00,2021
January-18,4.00,2021
January-19,3.00,2021
January-20,3.00,2021
January-21,9.00,2021
January-22,3.00,2021
January-23,4.00,2021
January-24,3.00,2021
January-25,9.00,2021
January-26,2.00,2021
January-27,9.00,2021
January-28,8.00,2021
January-29,2.00,2021
January-30,1.00,2021
January-31,4.00,2021
February-01,5.00,2021
February-02,5.00,2021
February-03,9.00,2021
