"district","date","cases","deaths"
"Badin","2021-09-02","47","0"
"Karachi Central","2021-09-02","132","4"
"Dadu","2021-09-02","18","0"
"Karachi East","2021-09-02","214","2"
"Ghotki","2021-09-02","21","0"
"Hyderabad","2021-09-02","110","0"
"Jacobabad","2021-09-02","12","0"
"Jamshoro","2021-09-02","3","0"
"Shahdadkot","2021-09-02","13","0"
"Korangi","2021-09-02","29","2"
"Kashmore","2021-09-02","6","0"
"Khairpur","2021-09-02","34","0"
"Larkana","2021-09-02","2","0"
"Karachi Malir","2021-09-02","55","0"
"Matiari","2021-09-02","23","0"
"Mirpurkhas","2021-09-02","4","0"
"Nowshero Feroze","2021-09-02","26","0"
"Sanghar","2021-09-02","21","0"
"Shaheed Banazir Abad","2021-09-02","25","0"
"Shikarpur","2021-09-02","25","0"
"Karachi South","2021-09-02","130","0"
"Sujawal","2021-09-02","0","0"
"Sukkur","2021-09-02","6","0"
"Tando Allahyar","2021-09-02","18","0"
"Tando Muhammad Khan","2021-09-02","20","0"
"Tharparkar","2021-09-02","32","0"
"Thatta","2021-09-02","38","0"
"Umerkot","2021-09-02","20","0"
"Karachi West","2021-09-02","35","0"
"Badin","2021-09-03","27","0"
"Karachi Central","2021-09-03","137","3"
"Dadu","2021-09-03","18","0"
"Karachi East","2021-09-03","140","4"
"Ghotki","2021-09-03","17","0"
"Hyderabad","2021-09-03","118","0"
"Jacobabad","2021-09-03","10","0"
"Jamshoro","2021-09-03","66","0"
"Shahdadkot","2021-09-03","0","0"
"Korangi","2021-09-03","39","1"
"Kashmore","2021-09-03","20","0"
"Khairpur","2021-09-03","21","0"
"Larkana","2021-09-03","6","0"
"Karachi Malir","2021-09-03","50","0"
"Matiari","2021-09-03","27","0"
"Mirpurkhas","2021-09-03","16","0"
"Nowshero Feroze","2021-09-03","26","0"
"Sanghar","2021-09-03","29","1"
"Shaheed Banazir Abad","2021-09-03","23","0"
"Shikarpur","2021-09-03","16","0"
"Karachi South","2021-09-03","101","1"
"Sujawal","2021-09-03","19","0"
"Sukkur","2021-09-03","23","0"
"Tando Allahyar","2021-09-03","45","0"
"Tando Muhammad Khan","2021-09-03","0","0"
"Tharparkar","2021-09-03","35","1"
"Thatta","2021-09-03","31","0"
"Umerkot","2021-09-03","21","0"
"Karachi West","2021-09-03","25","1"
"Badin","2021-09-04","25","0"
"Karachi Central","2021-09-04","65","2"
"Dadu","2021-09-04","10","0"
"Karachi East","2021-09-04","205","1"
"Ghotki","2021-09-04","36","0"
"Hyderabad","2021-09-04","179","0"
"Jacobabad","2021-09-04","6","0"
"Jamshoro","2021-09-04","3","0"
"Shahdadkot","2021-09-04","14","0"
"Korangi","2021-09-04","24","1"
"Kashmore","2021-09-04","21","0"
"Khairpur","2021-09-04","15","0"
"Larkana","2021-09-04","1","0"
"Karachi Malir","2021-09-04","54","0"
"Matiari","2021-09-04","30","0"
"Mirpurkhas","2021-09-04","22","0"
"Nowshero Feroze","2021-09-04","26","0"
"Sanghar","2021-09-04","25","0"
"Shaheed Banazir Abad","2021-09-04","6","0"
"Shikarpur","2021-09-04","11","0"
"Karachi South","2021-09-04","38","3"
"Sujawal","2021-09-04","27","0"
"Sukkur","2021-09-04","14","0"
"Tando Allahyar","2021-09-04","1","0"
"Tando Muhammad Khan","2021-09-04","15","0"
"Tharparkar","2021-09-04","18","0"
"Thatta","2021-09-04","31","1"
"Umerkot","2021-09-04","11","1"
"Karachi West","2021-09-04","26","1"
"Badin","2021-09-05","51","0"
"Karachi Central","2021-09-05","55","3"
"Dadu","2021-09-05","8","0"
"Karachi East","2021-09-05","100","0"
"Ghotki","2021-09-05","18","0"
"Hyderabad","2021-09-05","108","0"
"Jacobabad","2021-09-05","8","0"
"Jamshoro","2021-09-05","30","0"
"Shahdadkot","2021-09-05","32","0"
"Korangi","2021-09-05","27","0"
"Kashmore","2021-09-05","14","0"
"Khairpur","2021-09-05","18","0"
"Larkana","2021-09-05","7","0"
"Karachi Malir","2021-09-05","31","0"
"Matiari","2021-09-05","21","0"
"Mirpurkhas","2021-09-05","46","0"
"Nowshero Feroze","2021-09-05","22","0"
