"district","date","cases","deaths"
"Badin","2021-08-19","37","0"
"Karachi Central","2021-08-19","95","3"
"Dadu","2021-08-19","24","0"
"Karachi East","2021-08-19","196","10"
"Ghotki","2021-08-19","17","0"
"Hyderabad","2021-08-19","241","5"
"Jacobabad","2021-08-19","12","0"
"Jamshoro","2021-08-19","26","0"
"Shahdadkot","2021-08-19","0","0"
"Korangi","2021-08-19","52","3"
"Kashmore","2021-08-19","0","0"
"Khairpur","2021-08-19","9","0"
"Larkana","2021-08-19","7","0"
"Karachi Malir","2021-08-19","96","0"
"Matiari","2021-08-19","36","0"
"Mirpurkhas","2021-08-19","10","0"
"Nowshero Feroze","2021-08-19","18","1"
"Sanghar","2021-08-19","28","1"
"Shaheed Banazir Abad","2021-08-19","64","0"
"Shikarpur","2021-08-19","16","0"
"Karachi South","2021-08-19","77","0"
"Sujawal","2021-08-19","25","0"
"Sukkur","2021-08-19","15","0"
"Tando Allahyar","2021-08-19","16","0"
"Tando Muhammad Khan","2021-08-19","0","0"
"Tharparkar","2021-08-19","38","0"
"Thatta","2021-08-19","14","0"
"Umerkot","2021-08-19","11","0"
"Karachi West","2021-08-19","10","3"
"Badin","2021-08-20","32","0"
"Karachi Central","2021-08-20","104","1"
"Dadu","2021-08-20","3","0"
"Karachi East","2021-08-20","181","1"
"Ghotki","2021-08-20","27","0"
"Hyderabad","2021-08-20","79","5"
"Jacobabad","2021-08-20","13","0"
"Jamshoro","2021-08-20","3","0"
"Shahdadkot","2021-08-20","0","0"
"Korangi","2021-08-20","64","0"
"Kashmore","2021-08-20","39","0"
"Khairpur","2021-08-20","2","0"
"Larkana","2021-08-20","6","0"
"Karachi Malir","2021-08-20","20","0"
"Matiari","2021-08-20","35","0"
"Mirpurkhas","2021-08-20","37","0"
"Nowshero Feroze","2021-08-20","34","0"
"Sanghar","2021-08-20","3","0"
"Shaheed Banazir Abad","2021-08-20","4","0"
"Shikarpur","2021-08-20","14","0"
"Karachi South","2021-08-20","122","1"
